street,name,city,postal,address,Latitude,Longitude,,date
7100 Tecumseth Rd E,7100 Tecumseh Road East - Walmart,"Windsor, ON",N8T 1E6,"7100 Tecumseth Rd E Windsor, ON N8T 1E6",42.3145461,-82.9432657,42.3145461-82.9432657,2021-03-10
1270 Walker Rd,1270 Walker Rd. - Shoppers Drug Mart,"Windsor, ON",N8Y 4T4,"1270 Walker Rd Windsor, ON N8Y 4T4",42.314682,-83.0016408,42.314682-83.0016408,2021-03-10
400 Manning Rd St Clair,400 Manning Road - Loblaw,"Beach, ON",N8N 4Z4,"400 Manning Rd St Clair Beach, ON N8N 4Z4",42.3146959,-82.8665862,42.3146959-82.8665862,2021-03-10
7720 Tecumseh Rd E,7720 Tecumseh Road East - Shoppers Drug Mart,"Windsor, ON",N8T 1E9,"7720 Tecumseh Rd E Windsor, ON N8T 1E9",42.3149785,-82.9349425,42.3149785-82.9349425,2021-03-10
1210 Erie St E,Medica Pharmacy,"Windsor, ON",N9A 3Z5,"1210 Erie St E Windsor, ON N9A 3Z5",42.3152062,-83.016814,42.3152062-83.016814,2021-03-10
439 Wyandotte E,Neighborhood Drug Store,"Windsor, ON",N9A 3H8,"439 Wyandotte E Windsor, ON N9A 3H8",42.3161722,-83.0304733,42.3161722-83.0304733,2021-03-10
3970 Seminole St,3970 Seminole St. - Shoppers Drug Mart,"Windsor, ON",N8Y 4T2,"3970 Seminole St Windsor, ON N8Y 4T2",42.3162421,-82.982706,42.3162421-82.982706,2021-03-10
100 Park St W,Downtown Windsor Pharmacy,"Windsor, ON",N9A 7A5,"100 Park St W Windsor, ON N9A 7A5",42.3162631,-83.0394787,42.3162631-83.0394787,2021-03-10
4835 Wyandotte St E,4835 Wyandotte St. East - Shoppers Drug Mart,"Windsor, ON",N8Y 1H9,"4835 Wyandotte St E Windsor, ON N8Y 1H9",42.3262919,-82.9786328,42.3262919-82.9786328,2021-03-10
7980 Menard St,7980 Menard St. - Shoppers Drug Mart,"Windsor, ON",N8S 1V9,"7980 Menard St Windsor, ON N8S 1V9",42.3339249,-82.943351,42.3339249-82.943351,2021-03-10
420 Queen St,Shoppers Drug Mart,"Chatham, ON",N7M 2J2,"420 Queen St Chatham, ON N7M 2J2",42.3962226,-82.1773966,42.3962226-82.1773966,2021-03-29
401 St Clair St,Rexall,"Chatham, ON",N7L 3K3,"401 St Clair St Chatham, ON N7L 3K3",42.4147854,-82.1991911,42.4147854-82.1991911,2021-03-29
480 St George St,Mactavish Pharmacy,"Dresden, ON",N0P 1M0,"480 St George St Dresden, ON N0P 1M0",42.5901544,-82.1797332,42.5901544-82.1797332,2021-03-29
519 Talbot St St,Yurek Pharmacy Ltd.,"Thomas, ON",N5P 1C3,"519 Talbot St St Thomas, ON N5P 1C3",42.7790711,-81.1936727,42.7790711-81.1936727,2021-04-02
107 Edward St St,Shoppers Drug Mart,"Thomas, ON",N5P 1Y8,"107 Edward St St Thomas, ON N5P 1Y8",42.7852066,-81.1760418,42.7852066-81.1760418,2021-04-02
470 Norfolk St,Shoppers Drug Mart,"Simcoe, ON",N3Y 3P7,"470 Norfolk St Simcoe, ON N3Y 3P7",42.8472358,-80.307992,42.8472358-80.307992,2021-03-29
160 Queensway E,Wal-Mart Pharmacy,"Simcoe, ON",N3Y 0A8,"160 Queensway E Simcoe, ON N3Y 0A8",42.8489584,-80.2857024,42.8489584-80.2857024,2021-03-29
307 Ridge Rd N,Boggio & Edwards Ridgeway IDA,"Ridgeway, ON",L0S 1N0,"307 Ridge Rd N Ridgeway, ON L0S 1N0",42.8831805,-79.0522665,42.8831805-79.0522665,2021-03-29
200 Catharine St Port,Boggio Pharmacy Ltd,"Colborne, ON",L3K 4K8,"200 Catharine St Port Colborne, ON L3K 4K8",42.885297,-79.2529779,42.885297-79.2529779,2021-03-29
140 Broad St E,Hausers Pharmacy,"Dunnville, ON",N1A 1E9,"140 Broad St E Dunnville, ON N1A 1E9",42.9034578,-79.6174205,42.9034578-79.6174205,2021-03-29
310 Garrison Rd Unit C Fort,Rexall,"Erie, ON",L2A 1M7,"310 Garrison Rd Unit C Fort Erie, ON L2A 1M7",42.9051171,-78.9256419,42.9051171-78.9256419,2021-03-29
1264 Garrison Rd Unit 5 Fort,Crescent Park Pharmacy,"Erie, ON",L2A 1P1,"1264 Garrison Rd Unit 5 Fort Erie, ON L2A 1P1",42.9052732,-78.9619671,42.9052732-78.9619671,2021-03-29
600 Murphy Rd,Loblaw Pharmacy,"Sarnia, ON",N7S 2X1,"600 Murphy Rd Sarnia, ON N7S 2X1",42.9774048,-82.3658701,42.9774048-82.3658701,2021-03-29
399 King St,Rexall,"Welland, ON",L3B 3K4,"399 King St Welland, ON L3B 3K4",42.9829858,-79.2517225,42.9829858-79.2517225,2021-03-29
693 Wonderland Rd N,Costco Pharmacy,"London, ON",N6H 4L1,"693 Wonderland Rd N London, ON N6H 4L1",42.9875085,-81.2928291,42.9875085-81.2928291,2021-03-29
595 S Pelham Rd,Shoppers Drug Mart,"Welland, ON",L3C 3C7,"595 S Pelham Rd Welland, ON L3C 3C7",43.0033909,-79.2868229,43.0033909-79.2868229,2021-04-02
800 Niagara St N Unit H2,Shoppers Drug Mart,"Welland, ON",L3C 5Z4,"800 Niagara St N Unit H2 Welland, ON L3C 5Z4",43.014907,-79.249869,43.014907-79.249869,2021-03-29
821 Niagara St N,Loblaw Pharmacy,"Welland, ON",L3C 1M4,"821 Niagara St N Welland, ON L3C 1M4",43.0171463,-79.2516344,43.0171463-79.2516344,2021-03-29
603 Fanshawe Park Rd W,Shoppers Drug Mart,"London, ON",N6G 5B3,"603 Fanshawe Park Rd W London, ON N6G 5B3",43.0198355,-81.3104566,43.0198355-81.3104566,2021-03-29
2670 New Lakeshore Rd Brights,Bright's Grove Family Pharmacy,"Grove, ON",N0N 1C0,"2670 New Lakeshore Rd Brights Grove, ON N0N 1C0",43.02789,-82.255101,43.02789-82.255101,2021-03-29
273 King St W,Ingersoll Remedy's Rx,"Ingersoll, ON",N5C 2K9,"273 King St W Ingersoll, ON N5C 2K9",43.0317725,-80.8932912,43.0317725-80.8932912,2021-03-29
19 King St Unit 1,Ingersoll Pharmasave,"Ingersoll, ON",N5C 1G3,"19 King St Unit 1 Ingersoll, ON N5C 1G3",43.038107,-80.8816645,43.038107-80.8816645,2021-03-29
7500 Pin Oak Dr Niagara,Costco Pharmacy,"Falls, ON",L2H 2E9,"7500 Pin Oak Dr Niagara Falls, ON L2H 2E9",43.0653121,-79.1262894,43.0653121-79.1262894,2021-03-29
7481 Oakwood Dr Niagara,Wal-Mart Pharmacy,"Falls, ON",L2E 6S5,"7481 Oakwood Dr Niagara Falls, ON L2E 6S5",43.0671835,-79.1196087,43.0671835-79.1196087,2021-03-29
6680 Drummond Rd Niagara,Boggio & Mackinnon Pharmacy,"Falls, ON",L2G 4P1,"6680 Drummond Rd Niagara Falls, ON L2G 4P1",43.0781914,-79.09694,43.0781914-79.09694,2021-03-29
6484 Lundys Lane Niagara,Rexall,"Falls, ON",L2G 1T6,"6484 Lundys Lane Niagara Falls, ON L2G 1T6",43.0886527,-79.1028521,43.0886527-79.1028521,2021-03-29
19 King St W,Forest Pharmacy,"Forest, ON",N0N 1J0,"19 King St W Forest, ON N0N 1J0",43.0969862,-82.001092,43.0969862-82.001092,2021-03-29
144 Griffin St,Rx Drug Mart,"Smithville, ON",L0R 2A0,"144 Griffin St Smithville, ON L0R 2A0",43.0988574,-79.5461626,43.0988574-79.5461626,2021-03-29
5125 Montrose Rd Niagara,Shoppers Drug Mart,"Falls, ON",L2H 1K7,"5125 Montrose Rd Niagara Falls, ON L2H 1K7",43.099894,-79.1242368,43.099894-79.1242368,2021-03-29
3701 Portage Rd Unit 1 Niagara,Shoppers Drug Mart,"Falls, ON",L2J 2K8,"3701 Portage Rd Unit 1 Niagara Falls, ON L2J 2K8",43.119109,-79.1013079,43.119109-79.1013079,2021-03-29
3011 Hwy 56,Binbrook Pharmacy,"Binbrook, ON",L0R 1C0,"3011 Hwy 56 Binbrook, ON L0R 1C0",43.1205529,-79.8042467,43.1205529-79.8042467,2021-03-29
959 Dundas St E,Shoppers Drug Mart,"Woodstock, ON",N4S 1H2,"959 Dundas St E Woodstock, ON N4S 1H2",43.1348419,-80.7326153,43.1348419-80.7326153,2021-03-29
221 Glendale Ave St,Loblaw Pharmacy,"Catharines, ON",L2T 2K9,"221 Glendale Ave St Catharines, ON L2T 2K9",43.1360847,-79.2240958,43.1360847-79.2240958,2021-03-29
420 Vansickle Rd St,Wal-Mart Pharmacy,"Catharines, ON",L2R 6P9,"420 Vansickle Rd St Catharines, ON L2R 6P9",43.154352,-79.2692223,43.154352-79.2692223,2021-03-29
410 Fairview Dr,Drugstore Pharmacy,"Brantford, ON",N3R 7N7,"410 Fairview Dr Brantford, ON N3R 7N7",43.1712173,-80.2495657,43.1712173-80.2495657,2021-03-29
4486 Ontario St,Rexall,"Beamsville, ON",L0R 1B5,"4486 Ontario St Beamsville, ON L0R 1B5",43.1751473,-79.4776831,43.1751473-79.4776831,2021-03-29
2110 Rymal Rd E,2110 Rymal Road East - Shoppers Drug Mart,"Hamilton, ON",L0R 1P0,"2110 Rymal Rd E Hamilton, ON L0R 1P0",43.1763012,-79.7919321,43.1763012-79.7919321,2021-03-29
387 Scott St Unit 1 St,Shoppers Drug Mart,"Catharines, ON",L2M 3W2,"387 Scott St Unit 1 St Catharines, ON L2M 3W2",43.1904028,-79.2270519,43.1904028-79.2270519,2021-03-29
72 Grand River St N,Rexall,"Paris, ON",N3L 2M2,"72 Grand River St N Paris, ON N3L 2M2",43.1935743,-80.3845238,43.1935743-80.3845238,2021-03-29
42 St Andrews Ave Unit 1,Shoppers Drug Mart,"Grimsby, ON",L3M 3S2,"42 St Andrews Ave Unit 1 Grimsby, ON L3M 3S2",43.1966612,-79.567614,43.1966612-79.567614,2021-03-29
505 Rymal Rd E,Rexall,"Hamilton, ON",L8W 3X1,"505 Rymal Rd E Hamilton, ON L8W 3X1",43.19813,-79.8713337,43.19813-79.8713337,2021-03-29
1395 Upper Ottawa St,Rexall,"Hamilton, ON",L8W 3L5,"1395 Upper Ottawa St Hamilton, ON L8W 3L5",43.199548,-79.8396527,43.199548-79.8396527,2021-03-29
723 Rymal Rd W Unit 200,Westmount Pharmacy,"Hamilton, ON",L9B 2N9,"723 Rymal Rd W Unit 200 Hamilton, ON L9B 2N9",43.2099142,-79.9263728,43.2099142-79.9263728,2021-03-29
307 Grand River St N,Sobeys Pharmacy,"Paris, ON",N3L 2N9,"307 Grand River St N Paris, ON N3L 2N9",43.2126105,-80.3888156,43.2126105-80.3888156,2021-03-29
1330 S Service Rd Stoney,Costco Pharmacy,"Creek, ON",L8E 5C5,"1330 S Service Rd Stoney Creek, ON L8E 5C5",43.2152594,-79.642842,43.2152594-79.642842,2021-03-29
930 Upper Paradise Rd 13,Rexall,"Hamilton, ON",L9B 2N1,"930 Upper Paradise Rd 13 Hamilton, ON L9B 2N1",43.217688,-79.919558,43.217688-79.919558,2021-03-29
47 Wilson St W,Shoppers Drug Mart,"Ancaster, ON",L9G 1N1,"47 Wilson St W Ancaster, ON L9G 1N1",43.2178101,-79.9894655,43.2178101-79.9894655,2021-03-29
410 Hwy 8 Stoney,Supercare Pharmacy,"Creek, ON",L8G 1G2,"410 Hwy 8 Stoney Creek, ON L8G 1G2",43.2181555,-79.7229733,43.2181555-79.7229733,2021-03-29
1300 Garth St,Shoppers Drug Mart,"Hamilton, ON",L9C 4L7,"1300 Garth St Hamilton, ON L9C 4L7",43.2206416,-79.9072011,43.2206416-79.9072011,2021-03-29
499 Mohawk Rd E,Wal-Mart Pharmacy,"Hamilton, ON",L8V 4L7,"499 Mohawk Rd E Hamilton, ON L8V 4L7",43.222264,-79.853132,43.222264-79.853132,2021-03-29
1119 Fennell Ave,Rexall,"Hamilton, ON",L8T 1S2,"1119 Fennell Ave Hamilton, ON L8T 1S2",43.2260651,-79.8278359,43.2260651-79.8278359,2021-03-29
100 Legend Court,Costco Pharmacy,"Ancaster, ON",L9K 1J3,"100 Legend Court Ancaster, ON L9K 1J3",43.2300005,-79.9469005,43.2300005-79.9469005,2021-03-29
75 Centennial Parkway N,75 Centennial Parkway North - Shoppers Drug Mart,"Hamilton, ON",L8E 2P2,"75 Centennial Parkway N Hamilton, ON L8E 2P2",43.2311747,-79.7655715,43.2311747-79.7655715,2021-03-29
640 Mohawk Rd W Unit 21,Rexall,"Hamilton, ON",L9C 1X6,"640 Mohawk Rd W Unit 21 Hamilton, ON L9C 1X6",43.2339729,-79.9106616,43.2339729-79.9106616,2021-03-29
1882 Niagara Stone Rd,Simpson's Pharmacy,"Virgil, ON",L0S 1T0,"1882 Niagara Stone Rd Virgil, ON L0S 1T0",43.2357129,-79.1055698,43.2357129-79.1055698,2021-03-29
500 Centennial Parkway N Stoney,Wal-Mart Pharmacy,"Creek, ON",L8E 0G2,"500 Centennial Parkway N Stoney Creek, ON L8E 0G2",43.2414738,-79.7536566,43.2414738-79.7536566,2021-03-29
233 King St Unit 2 Niagara On The,Simpson's Apothecary,"Lake, ON",L0S 1J0,"233 King St Unit 2 Niagara On The Lake, ON L0S 1J0",43.2540434,-79.0719516,43.2540434-79.0719516,2021-03-29
60 Hatt St,Rexall,"Dundas, ON",L9H 7T6,"60 Hatt St Dundas, ON L9H 7T6",43.2652442,-79.9574344,43.2652442-79.9574344,2021-03-29
133 King St W,Shoppers Drug Mart,"Dundas, ON",L9H 1V3,"133 King St W Dundas, ON L9H 1V3",43.2671167,-79.959576,43.2671167-79.959576,2021-03-29
25 Hamilton St N,Shoppers Drug Mart,"Waterdown, ON",L0R 2H6,"25 Hamilton St N Waterdown, ON L0R 2H6",43.3317334,-79.8974921,43.3317334-79.8974921,2021-03-29
145 Hamilton St N Unit 4,Waterdown Pharmacy,"Waterdown, ON",L8B 0Y7,"145 Hamilton St N Unit 4 Waterdown, ON L8B 0Y7",43.3368387,-79.9042928,43.3368387-79.9042928,2021-03-29
3023 New St,Shoppers Drug Mart,"Burlington, ON",L7R 1K3,"3023 New St Burlington, ON L7R 1K3",43.3398033,-79.7856305,43.3398033-79.7856305,2021-03-29
1225 Brant St,Costco Pharmacy,"Burlington, ON",L7P 1X7,"1225 Brant St Burlington, ON L7P 1X7",43.3435508,-79.8246322,43.3435508-79.8246322,2021-03-29
2047 Mount Forest Dr,Mount Royal Pharmacy Ltd,"Burlington, ON",L7P 1H4,"2047 Mount Forest Dr Burlington, ON L7P 1H4",43.3478591,-79.8276008,43.3478591-79.8276008,2021-03-29
2201 Brant St,Rexall,"Burlington, ON",L7P 3N8,"2201 Brant St Burlington, ON L7P 3N8",43.3564259,-79.8419291,43.3564259-79.8419291,2021-03-29
115 Dundas St Unit 1,Shoppers Drug Mart,"Cambridge, ON",N1R 5T8,"115 Dundas St Unit 1 Cambridge, ON N1R 5T8",43.3592744,-80.2940617,43.3592744-80.2940617,2021-03-29
62 Thames Rd E,Drug Store Pharmacy,"Exeter, ON",N0M 1S3,"62 Thames Rd E Exeter, ON N0M 1S3",43.3634597,-81.4812756,43.3634597-81.4812756,2021-03-29
4524 New St,Shoppers Drug Mart,"Burlington, ON",L7L 2X8,"4524 New St Burlington, ON L7L 2X8",43.3666421,-79.7537442,43.3666421-79.7537442,2021-03-29
5061 New St,Rexall,"Burlington, ON",L7L 1V2,"5061 New St Burlington, ON L7L 1V2",43.3678203,-79.7535689,43.3678203-79.7535689,2021-03-29
614 Coronation Blvd,Med Health Pharmacy,"Cambridge, ON",N1R 3E8,"614 Coronation Blvd Cambridge, ON N1R 3E8",43.376365,-80.3245312,43.376365-80.3245312,2021-03-29
123 Pioneer Dr,Shoppers Drug Mart,"Kitchener, ON",N2P 2A3,"123 Pioneer Dr Kitchener, ON N2P 2A3",43.3939871,-80.4319583,43.3939871-80.4319583,2021-03-29
1187 Fischer Hallman Rd,Sobeys Pharmacy,"Kitchener, ON",N2E 4H9,"1187 Fischer Hallman Rd Kitchener, ON N2E 4H9",43.4055824,-80.5012615,43.4055824-80.5012615,2021-03-29
4515 Dundas St W RR#1,Wal-Mart Pharmacy,"Burlington, ON",L7M 5B4,"4515 Dundas St W RR#1 Burlington, ON L7M 5B4",43.4056318,-79.8111602,43.4056318-79.8111602,2021-03-29
22 Pinebush Rd,Wal-Mart Pharmacy,"Cambridge, ON",N1R 8A9,"22 Pinebush Rd Cambridge, ON N1R 8A9",43.4085419,-80.3254622,43.4085419-80.3254622,2021-03-29
1515 Rebecca St,Shoppers Drug Mart,"Oakville, ON",L6L 5H8,"1515 Rebecca St Oakville, ON L6L 5H8",43.4126787,-79.7061473,43.4126787-79.7061473,2021-03-29
1450 Block Line Rd Unit 201,Cook's Pharmacy,"Kitchener, ON",N2C 0A5,"1450 Block Line Rd Unit 201 Kitchener, ON N2C 0A5",43.419017,-80.469675,43.419017-80.469675,2021-03-29
2960 Kingsway Dr,Wal-Mart Pharmacy,"Kitchener, ON",N2C 1X1,"2960 Kingsway Dr Kitchener, ON N2C 1X1",43.4266049,-80.4386855,43.4266049-80.4386855,2021-03-29
