,name,city,covid_site,date,Latitude,Longitude,postal,fsa,type
19,4411 Walker Road - Costco,Windsor,Yes,2021-03-10,42.2550804,-82.9656139,N9A6J3,N9A,Costco
20,4371 Walker Rd. - Loblaw,Windsor,Yes,2021-03-10,42.2566152,-82.9681339,N8W3T6,N8W,Loblaw
21,3840 Howard Avenue - Rexall,Windsor,Yes,2021-03-10,42.2591138,-82.9949896,N9E3N9,N9E,Rexall
22,1421 Grand Marais Rd. West - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2665457,-83.0277459,N9E4V1,N9E,Shoppers Drug Mart
23,3120 Dougall Road - Walmart,Windsor,Yes,2021-03-10,42.2712258,-83.0114629,N9E1S7,N9E,Walmart
24,3100 Howard Ave.�- Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2756598,-83.0037396,N8X3Y8,N8X,Shoppers Drug Mart
25,1760 Huron Church Road�- Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2843646,-83.0554765,N9C2L4,N9C,Shoppers Drug Mart
26,Westside Pharmacy Pharmasave,Windsor,Yes,2021-03-29,42.2884792,-83.0572164,N9C3Z3,N9C,Pharmasave
27,2430 Dougall Avenue - Loblaw,Windsor,Yes,2021-03-10,42.2890479,-83.0222068,N8X1T2,N8X,Loblaw
28,2670 Tecumseh Road West - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2918021,-83.0587061,N9B3P9,N9B,Shoppers Drug Mart
29,Ziter Pharmacy,Windsor,Yes,2021-03-10,42.2923673,-83.0125541,N8X3V6,N8X,Other/Independent
30,Shoppers Drug Mart,River,Yes,2021-03-29,42.2924181,-82.6990493,N0R1A0,N0R,Shoppers Drug Mart
31,330 Notre Dame St. - Shoppers Drug Mart,River,Yes,2021-03-10,42.292462,-82.699121,N0R1A0,N0R,Shoppers Drug Mart
32,Bradys Drug Store Belle River,River,Yes,2021-03-11,42.2936952,-82.7088738,N0R1A0,N0R,Other/Independent
33,Bradys Drug Store Belle River,River,Yes,2021-03-10,42.2936955,-82.7088899,N0R1A0,N0R,Other/Independent
34,500 Tecumseh Road East - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2987116,-83.0160796,N8X2S2,N8X,Shoppers Drug Mart
35,Windsor Avenue Pharmacy,Windsor,Yes,2021-03-10,42.3042997,-83.0273263,N8X3L8,N8X,Other/Independent
36,1215 Ouellette Avenue - Rexall,Windsor,Yes,2021-03-10,42.3048973,-83.0314803,N8X1J3,N8X,Rexall
37,Healthpoint Pharmacy and Clinic,Point,Yes,2021-03-10,42.3049209,-82.5476026,N0R1N0,N0R,Other/Independent
38,19 Amy Croft Drive - Sobeys,Lakeshore,Yes,2021-03-10,42.3064882,-82.8675957,N9K1C7,N9K,Sobeys
39,1675 Wyandotte St. West - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3071046,-83.0555311,N9B1H8,N9B,Shoppers Drug Mart
40,Westminster Pharmacy,Windsor,Yes,2021-03-10,42.3077861,-82.9634718,N8T1C2,N8T,Other/Independent
41,Central Drug Mart,Windsor,Yes,2021-03-10,42.3083012,-82.9589626,N8T1C5,N8T,Other/Independent
42,5050 Tecumseh Rd. East - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3094775,-82.9654459,N8T1C1,N8T,Shoppers Drug Mart
43,500 Manning Rd. - Shoppers Drug Mart,Tecumseh,Yes,2021-03-10,42.311538,-82.868439,N8N5H3,N8N,Shoppers Drug Mart
44,Shoppers Drug Mart,Tecumseh,Yes,2021-03-29,42.3115441,-82.8684313,N8N5H3,N8N,Shoppers Drug Mart
45,7201 Tecumseh Rd. East - Loblaw,Windsor,Yes,2021-03-10,42.3118054,-82.9385598,N8T3K4,N8T,Loblaw
46,2109 Ottawa St. - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3127014,-83.003068,N8Y1R8,N8Y,Shoppers Drug Mart
47,11500 Tecumseh Road East - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.313369,-82.9005054,N8N1L7,N8N,Shoppers Drug Mart
48,Novacare Pharmacy,Windsor,Yes,2021-03-10,42.3138143,-83.0024803,N8Y4X9,N8Y,Other/Independent
49,600 Ouellette Ave.�- Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3140327,-83.0362215,N9A6Z3,N9A,Shoppers Drug Mart
50,7100 Tecumseh Road East - Walmart,Windsor,Yes,2021-03-10,42.3145461,-82.9432657,N8T1E6,N8T,Walmart
51,1270 Walker Rd. - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.314682,-83.0016408,N8Y4T4,N8Y,Shoppers Drug Mart
52,400 Manning Road - Loblaw,Beach,Yes,2021-03-10,42.3146959,-82.8665862,N8N4Z4,N8N,Loblaw
53,7720 Tecumseh Road�East - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3149785,-82.9349425,N8T1E9,N8T,Shoppers Drug Mart
54,Medica Pharmacy,Windsor,Yes,2021-03-10,42.3152062,-83.016814,N9A3Z5,N9A,Other/Independent
55,Neighborhood Drug Store,Windsor,Yes,2021-03-10,42.3161722,-83.0304733,N9A3H8,N9A,Other/Independent
56,3970 Seminole St. - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3162421,-82.982706,N8Y4T2,N8Y,Shoppers Drug Mart
57,Downtown Windsor Pharmacy,Windsor,Yes,2021-03-10,42.3162631,-83.0394787,N9A7A5,N9A,Other/Independent
58,4835 Wyandotte St. East - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3262919,-82.9786328,N8Y1H9,N8Y,Shoppers Drug Mart
59,7980 Menard St. - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.3339249,-82.943351,N8S1V9,N8S,Shoppers Drug Mart
60,Shoppers Drug Mart,Chatham,Yes,2021-03-29,42.3962226,-82.1773966,N7M2J2,N7M,Shoppers Drug Mart
61,Rexall,Chatham,Yes,2021-03-29,42.4147854,-82.1991911,N7L3K3,N7L,Rexall
62,Mactavish Pharmacy,Dresden,Yes,2021-03-29,42.5901544,-82.1797332,N0P1M0,N0P,Other/Independent
63,Yurek Pharmacy Ltd.,Thomas,Yes,2021-04-02,42.7790711,-81.1936727,N5P1C3,N5P,Other/Independent
64,Shoppers Drug Mart,Thomas,Yes,2021-04-02,42.7852066,-81.1760418,N5P1Y8,N5P,Shoppers Drug Mart
65,Shoppers Drug Mart,Simcoe,Yes,2021-03-29,42.8472358,-80.307992,N3Y3P7,N3Y,Shoppers Drug Mart
66,Wal-Mart Pharmacy,Simcoe,Yes,2021-03-29,42.8489584,-80.2857024,N3Y0A8,N3Y,Other/Independent
67,Boggio & Edwards Ridgeway IDA,Ridgeway,Yes,2021-03-29,42.8831805,-79.0522665,L0S1N0,L0S,IDA
68,Boggio Pharmacy Ltd,Colborne,Yes,2021-03-29,42.885297,-79.2529779,L3K4K8,L3K,Other/Independent
69,Hausers Pharmacy,Dunnville,Yes,2021-03-29,42.9034578,-79.6174205,N1A1E9,N1A,Other/Independent
70,Rexall,Erie,Yes,2021-03-29,42.9051171,-78.9256419,L2A1M7,L2A,Rexall
71,Crescent Park Pharmacy,Erie,Yes,2021-03-29,42.9052732,-78.9619671,L2A1P1,L2A,Other/Independent
72,Loblaw Pharmacy,Sarnia,Yes,2021-03-29,42.9774048,-82.3658701,N7S2X1,N7S,Loblaw
73,Rexall,Welland,Yes,2021-03-29,42.9829858,-79.2517225,L3B3K4,L3B,Rexall
74,Costco Pharmacy,London,Yes,2021-03-29,42.9875085,-81.2928291,N6H4L1,N6H,Costco
75,Shoppers Drug Mart,Welland,Yes,2021-04-02,43.0033909,-79.2868229,L3C3C7,L3C,Shoppers Drug Mart
76,Shoppers Drug Mart,Welland,Yes,2021-03-29,43.014907,-79.249869,L3C5Z4,L3C,Shoppers Drug Mart
77,Loblaw Pharmacy,Welland,Yes,2021-03-29,43.0171463,-79.2516344,L3C1M4,L3C,Loblaw
78,Shoppers Drug Mart,London,Yes,2021-03-29,43.0198355,-81.3104566,N6G5B3,N6G,Shoppers Drug Mart
79,Bright's Grove Family Pharmacy,Grove,Yes,2021-03-29,43.02789,-82.255101,N0N1C0,N0N,Other/Independent
80,Ingersoll Remedy's Rx,Ingersoll,Yes,2021-03-29,43.0317725,-80.8932912,N5C2K9,N5C,Other/Independent
81,Ingersoll Pharmasave,Ingersoll,Yes,2021-03-29,43.038107,-80.8816645,N5C1G3,N5C,Pharmasave
82,Costco Pharmacy,Falls,Yes,2021-03-29,43.0653121,-79.1262894,L2H2E9,L2H,Costco
83,Wal-Mart Pharmacy,Falls,Yes,2021-03-29,43.0671835,-79.1196087,L2E6S5,L2E,Other/Independent
84,Boggio & Mackinnon Pharmacy,Falls,Yes,2021-03-29,43.0781914,-79.09694,L2G4P1,L2G,Other/Independent
85,Rexall,Falls,Yes,2021-03-29,43.0886527,-79.1028521,L2G1T6,L2G,Rexall
86,Forest Pharmacy,Forest,Yes,2021-03-29,43.0969862,-82.001092,N0N1J0,N0N,Other/Independent
87,Rx Drug Mart,Smithville,Yes,2021-03-29,43.0988574,-79.5461626,L0R2A0,L0R,Other/Independent
88,Shoppers Drug Mart,Falls,Yes,2021-03-29,43.099894,-79.1242368,L2H1K7,L2H,Shoppers Drug Mart
89,Shoppers Drug Mart,Falls,Yes,2021-03-29,43.119109,-79.1013079,L2J2K8,L2J,Shoppers Drug Mart
90,Binbrook Pharmacy,Binbrook,Yes,2021-03-29,43.1205529,-79.8042467,L0R1C0,L0R,Other/Independent
91,Shoppers Drug Mart,Woodstock,Yes,2021-03-29,43.1348419,-80.7326153,N4S1H2,N4S,Shoppers Drug Mart
92,Loblaw Pharmacy,Catharines,Yes,2021-03-29,43.1360847,-79.2240958,L2T2K9,L2T,Loblaw
93,Wal-Mart Pharmacy,Catharines,Yes,2021-03-29,43.154352,-79.2692223,L2R6P9,L2R,Other/Independent
94,Drugstore Pharmacy,Brantford,Yes,2021-03-29,43.1712173,-80.2495657,N3R7N7,N3R,Other/Independent
95,Rexall,Beamsville,Yes,2021-03-29,43.1751473,-79.4776831,L0R1B5,L0R,Rexall
96,2110 Rymal Road East�- Shoppers Drug Mart,Hamilton,Yes,2021-03-29,43.1763012,-79.7919321,L0R1P0,L0R,Shoppers Drug Mart
97,Shoppers Drug Mart,Catharines,Yes,2021-03-29,43.1904028,-79.2270519,L2M3W2,L2M,Shoppers Drug Mart
98,Rexall,Paris,Yes,2021-03-29,43.1935743,-80.3845238,N3L2M2,N3L,Rexall
99,Shoppers Drug Mart,Grimsby,Yes,2021-03-29,43.1966612,-79.567614,L3M3S2,L3M,Shoppers Drug Mart
100,Rexall,Hamilton,Yes,2021-03-29,43.19813,-79.8713337,L8W3X1,L8W,Rexall
101,Rexall,Hamilton,Yes,2021-03-29,43.199548,-79.8396527,L8W3L5,L8W,Rexall
102,Westmount Pharmacy,Hamilton,Yes,2021-03-29,43.2099142,-79.9263728,L9B2N9,L9B,Other/Independent
103,Sobeys Pharmacy,Paris,Yes,2021-03-29,43.2126105,-80.3888156,N3L2N9,N3L,Sobeys
104,Costco Pharmacy,Creek,Yes,2021-03-29,43.2152594,-79.642842,L8E5C5,L8E,Costco
105,Rexall,Hamilton,Yes,2021-03-29,43.217688,-79.919558,L9B2N1,L9B,Rexall
106,Shoppers Drug Mart,Ancaster,Yes,2021-03-29,43.2178101,-79.9894655,L9G1N1,L9G,Shoppers Drug Mart
107,Supercare Pharmacy,Creek,Yes,2021-03-29,43.2181555,-79.7229733,L8G1G2,L8G,Other/Independent
108,Shoppers Drug Mart,Hamilton,Yes,2021-03-29,43.2206416,-79.9072011,L9C4L7,L9C,Shoppers Drug Mart
109,Wal-Mart Pharmacy,Hamilton,Yes,2021-03-29,43.222264,-79.853132,L8V4L7,L8V,Other/Independent
110,Rexall,Hamilton,Yes,2021-03-29,43.2260651,-79.8278359,L8T1S2,L8T,Rexall
111,Costco Pharmacy,Ancaster,Yes,2021-03-29,43.2300005,-79.9469005,L9K1J3,L9K,Costco
112,75 Centennial Parkway North - Shoppers Drug Mart,Hamilton,Yes,2021-03-29,43.2311747,-79.7655715,L8E2P2,L8E,Shoppers Drug Mart
113,Rexall,Hamilton,Yes,2021-03-29,43.2339729,-79.9106616,L9C1X6,L9C,Rexall
114,Simpson's Pharmacy,Virgil,Yes,2021-03-29,43.2357129,-79.1055698,L0S1T0,L0S,Other/Independent
115,Wal-Mart Pharmacy,Creek,Yes,2021-03-29,43.2414738,-79.7536566,L8E0G2,L8E,Other/Independent
116,Simpson's Apothecary,Lake,Yes,2021-03-29,43.2540434,-79.0719516,L0S1J0,L0S,Other/Independent
117,Rexall,Dundas,Yes,2021-03-29,43.2652442,-79.9574344,L9H7T6,L9H,Rexall
118,Shoppers Drug Mart,Dundas,Yes,2021-03-29,43.2671167,-79.959576,L9H1V3,L9H,Shoppers Drug Mart
119,Shoppers Drug Mart,Waterdown,Yes,2021-03-29,43.3317334,-79.8974921,L0R2H6,L0R,Shoppers Drug Mart
120,Waterdown Pharmacy,Waterdown,Yes,2021-03-29,43.3368387,-79.9042928,L8B0Y7,L8B,Other/Independent
121,Shoppers Drug Mart,Burlington,Yes,2021-03-29,43.3398033,-79.7856305,L7R1K3,L7R,Shoppers Drug Mart
122,Costco Pharmacy,Burlington,Yes,2021-03-29,43.3435508,-79.8246322,L7P1X7,L7P,Costco
123,Mount Royal Pharmacy Ltd,Burlington,Yes,2021-03-29,43.3478591,-79.8276008,L7P1H4,L7P,Other/Independent
124,Rexall,Burlington,Yes,2021-03-29,43.3564259,-79.8419291,L7P3N8,L7P,Rexall
125,Shoppers Drug Mart,Cambridge,Yes,2021-03-29,43.3592744,-80.2940617,N1R5T8,N1R,Shoppers Drug Mart
126,Drug Store Pharmacy,Exeter,Yes,2021-03-29,43.3634597,-81.4812756,N0M1S3,N0M,Other/Independent
127,Shoppers Drug Mart,Burlington,Yes,2021-03-29,43.3666421,-79.7537442,L7L2X8,L7L,Shoppers Drug Mart
128,Rexall,Burlington,Yes,2021-03-29,43.3678203,-79.7535689,L7L1V2,L7L,Rexall
129,Med Health Pharmacy,Cambridge,Yes,2021-03-29,43.376365,-80.3245312,N1R3E8,N1R,Other/Independent
130,Shoppers Drug Mart,Kitchener,Yes,2021-03-29,43.3939871,-80.4319583,N2P2A3,N2P,Shoppers Drug Mart
131,Sobeys Pharmacy,Kitchener,Yes,2021-03-29,43.4055824,-80.5012615,N2E4H9,N2E,Sobeys
132,Wal-Mart Pharmacy,Burlington,Yes,2021-03-29,43.4056318,-79.8111602,L7M5B4,L7M,Other/Independent
133,Wal-Mart Pharmacy,Cambridge,Yes,2021-03-29,43.4085419,-80.3254622,N1R8A9,N1R,Other/Independent
134,Shoppers Drug Mart,Oakville,Yes,2021-03-29,43.4126787,-79.7061473,L6L5H8,L6L,Shoppers Drug Mart
135,Cook's Pharmacy,Kitchener,Yes,2021-03-29,43.419017,-80.469675,N2C0A5,N2C,Other/Independent
136,Wal-Mart Pharmacy,Kitchener,Yes,2021-03-29,43.4266049,-80.4386855,N2C1X1,N2C,Other/Independent
137,Rexall,Kitchener,Yes,2021-03-29,43.4391888,-80.5095363,N2M5G2,N2M,Rexall
138,Fairway Lackner Pharmacy,Kitchener,Yes,2021-03-29,43.4425165,-80.4149604,N2A0A1,N2A,Other/Independent
139,2501 Third Line�- Shoppers Drug Mart,Oakville,Yes,2021-03-29,43.4497724,-79.7585629,L6M5A9,L6M,Shoppers Drug Mart
140,Loblaw Pharmacy,Waterloo,Yes,2021-03-29,43.4531788,-80.5553033,N2T1H4,N2T,Loblaw
141,Rexall,Kitchener,Yes,2021-03-29,43.4562537,-80.4296965,N2A3Z1,N2A,Rexall
142,Food Basics Pharmacy,Kitchener,Yes,2021-03-29,43.4566873,-80.4317775,N2A1H3,N2A,Other/Independent
143,Frederick Mall Pharmacy,Kitchener,Yes,2021-03-29,43.4570249,-80.4726292,N2H2P2,N2H,Other/Independent
144,Westmount Place Pharmacy,Waterloo,Yes,2021-03-29,43.4616605,-80.5370735,N2L2R5,N2L,Other/Independent
145,Sobeys Pharmacy,Waterloo,Yes,2021-03-29,43.4680008,-80.5684957,N2T2W1,N2T,Sobeys
146,Rexall,Oakville,Yes,2021-03-29,43.4794523,-79.6575346,L6J4W3,L6J,Rexall
147,Wal-Mart Pharmacy,Oakville,Yes,2021-03-29,43.4828883,-79.7192764,L6H6M8,L6H,Other/Independent
148,Metro Pharmacy,Oakville,Yes,2021-03-29,43.483727,-79.6945815,L6H4L2,L6H,Metro
149,Alphamed Pharmacy,Waterloo,Yes,2021-03-29,43.4857768,-80.5403074,N2L6J8,N2L,Other/Independent
150,Campbellville Pharmacy,Campbellville,Yes,2021-03-29,43.4880814,-79.9847031,L0P1B0,L0P,Other/Independent
151,Rexall,Milton,Yes,2021-03-29,43.4921441,-79.8780709,L9T7W1,L9T,Rexall
152,Shoppers Drug Mart,Milton,Yes,2021-03-29,43.4975595,-79.8740899,L9T7H5,L9T,Shoppers Drug Mart
153,Shoppers Drug Mart,Milton,Yes,2021-03-29,43.5079983,-79.8388655,L9T0J9,L9T,Shoppers Drug Mart
154,Truscott Pharmacy,Mississauga,Yes,2021-03-29,43.5124491,-79.6484562,L5J2B4,L5J,Other/Independent
155,Drugstore Pharmacy,Guelph,Yes,2021-03-29,43.5137432,-80.2181014,N1G4W2,N1G,Other/Independent
156,Costco Pharmacy,Mississauga,Yes,2021-03-29,43.521047,-79.6889729,L5L6A2,L5L,Costco
157,Carriage Crossing Pharmacy,Waterloo,Yes,2021-03-29,43.5216075,-80.4983388,N2K0B3,N2K,Other/Independent
158,Drugstore Pharmacy,Guelph,Yes,2021-03-29,43.5224689,-80.2894468,N1K1X6,N1K,Other/Independent
159,Costco Pharmacy,Guelph,Yes,2021-03-29,43.522647,-80.2950195,N1K0B6,N1K,Costco
160,Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.5307487,-79.6533683,L5K1T9,L5K,Shoppers Drug Mart
161,Wal-Mart Pharmacy,Milton,Yes,2021-03-29,43.5427269,-79.8669586,L9T6R1,L9T,Other/Independent
162,Loblaw Pharmacy,Mississauga,Yes,2021-03-29,43.5458071,-79.5921105,L5H1G3,L5H,Loblaw
163,Rexall,Guelph,Yes,2021-03-29,43.5583725,-80.2696782,N1H7G5,N1H,Rexall
164,Wal-Mart Pharmacy,Mississauga,Yes,2021-03-29,43.5586447,-79.7115912,L5M4Z5,L5M,Other/Independent
165,5602 Tenth Line West #101 - Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.5591152,-79.7447193,L5M5S5,L5M,Shoppers Drug Mart
166,Carl's IDA Pharmacy,Mississauga,Yes,2021-03-29,43.5593338,-79.5867252,L5G3H2,L5G,IDA
167,Woodland Village Pharmacy,Mississauga,Yes,2021-03-29,43.5595002,-79.6576223,L5C2K1,L5C,Other/Independent
168,Pharmasave Michael's Pharmacy,Bayfield,Yes,2021-03-29,43.5616145,-81.6959952,N0M1G0,N0M,Pharmasave
169,Rexall,Mississauga,Yes,2021-03-29,43.5795537,-79.6816002,L5V1N3,L5V,Rexall
170,3980 Grand Park Drive - Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.5809762,-79.6490702,L5B4M6,L5B,Shoppers Drug Mart
171,5425 Creditview Road #1 - Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.5869617,-79.6958408,L5V2P3,L5V,Shoppers Drug Mart
172,Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.5922322,-79.6259097,L5A3W9,L5A,Shoppers Drug Mart
173,Drug Store Pharmacy,Mississauga,Yes,2021-03-29,43.5930256,-79.5689483,L5E1V4,L5E,Other/Independent
174,Wal-Mart Pharmacy,Mississauga,Yes,2021-03-29,43.5930784,-79.6424911,L5B2C9,L5B,Other/Independent
175,Rexall,Toronto,Yes,2021-03-29,43.5930846,-79.5384814,M8W1P8,M8W,Rexall
176,3730 Lake Shore Boulevard West - Shoppers Drug Mart,Etobicoke,Yes,2021-03-10,43.5940384,-79.5396199,M8W1N6,M8W,Shoppers Drug Mart
177,Drugstore Pharmacy,Mississauga,Yes,2021-03-29,43.5953804,-79.7856304,L5N8E1,L5N,Other/Independent
178,Unicare Pharmacy,Etobicoke,Yes,2021-03-10,43.5983062,-79.5178809,M8V3X8,M8V,Other/Independent
179,Heritage Hills Pharmacy,Mississauga,Yes,2021-03-29,43.5985631,-79.6606921,L5R1Y4,L5R,Other/Independent
180,Shoppers Drug Mart,Elmira,Yes,2021-04-02,43.6001912,-80.5572996,N3B1Z4,N3B,Shoppers Drug Mart
181,Rexall,Mississauga,Yes,2021-03-29,43.602649,-79.6261679,L5A3Y1,L5A,Rexall
182,Dixie 5 Pharmacy,Mississauga,Yes,2021-03-29,43.6053492,-79.5895341,L4Y2C6,L4Y,Other/Independent
183,Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.6081989,-79.6527543,L4Z3X7,L4Z,Shoppers Drug Mart
184,1500 Dundas St. East - Walmart,Mississauga,Yes,2021-03-29,43.6089475,-79.5773763,L4X1L4,L4X,Walmart
185,Costco Pharmacy,Mississauga,Yes,2021-03-29,43.6121428,-79.6903758,L5R3S9,L5R,Costco
186,The Drugstore Pharmcy,Etobicoke,Yes,2021-03-29,43.6122327,-79.4978941,M8V2V7,M8V,Other/Independent
187,Apple-Hills Medical Pharmacy,Mississauga,Yes,2021-03-29,43.6132975,-79.5984867,L4Y2N8,L4Y,Other/Independent
188,Lakeside Pharmacy,Etobicoke,Yes,2021-03-10,43.6142601,-79.4892689,M8V1C4,M8V,Other/Independent
189,Wal-Mart Pharmacy,Etobicoke,Yes,2021-03-29,43.6183959,-79.5541975,M9C1A7,M9C,Other/Independent
190,Kipling & Queensway Pharmacy,Etobicoke,Yes,2021-03-10,43.6198702,-79.5231582,M8Z1S1,M8Z,Other/Independent
191,2206 Lake Shore Boulevard.�- Shoppers Drug Mart,Etobicoke,Yes,2021-03-10,43.6229404,-79.482241,M8V1A4,M8V,Shoppers Drug Mart
192,50 Queen Elizabeth Blvd - Costco,Etobicoke,Yes,2021-03-10,43.6234511,-79.5076464,M8Z1M1,M8Z,Costco
193,Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.6252506,-79.6045863,L4W1V5,L4W,Shoppers Drug Mart
194,125 The Queensway - Shoppers Drug Mart,Etobicoke,Yes,2021-03-10,43.63032,-79.4813469,M8Y1H6,M8Y,Shoppers Drug Mart
195,Markland Wood Pharmacy,Toronto,Yes,2021-03-10,43.6308387,-79.5757084,M9C2A5,M9C,Other/Independent
196,1020 Islington Avenue - Loblaw,Toronto,Yes,2021-03-10,43.6313497,-79.5192425,M8Z4R3,M8Z,Loblaw
197,250 The East Mall - Rexall,Etobicoke,Yes,2021-03-10,43.6324095,-79.5564805,M9B3Y8,M9B,Rexall
198,Glen Cade Pharmacy,Etobicoke,Yes,2021-03-10,43.6348382,-79.5627147,M9C1C6,M9C,Other/Independent
199,7070 Mclaughlin Road - Shoppers Drug Mart,Mississauga,Yes,2021-03-29,43.6367569,-79.71948,L5W1W7,L5W,Shoppers Drug Mart
200,Clinicplus I.D.A. Pharmacy,Etobicoke,Yes,2021-03-10,43.6373832,-79.4887769,M8Y0C5,M8Y,Other/Independent
201,390 Queen's Quay West�- Shoppers Drug Mart,Toronto,Yes,2021-03-29,43.638124,-79.390814,M5V3A6,M5V,Shoppers Drug Mart
202,One Eva,Etobicoke,Yes,2021-03-10,43.6390931,-79.5621878,M9C4Z5,M9C,Other/Independent
203,1473 Queen St. West - Shoppers Drug Mart,Toronto,Yes,2021-03-10,43.639897,-79.4390485,M6R1A1,M6R,Shoppers Drug Mart
204,1090 King St. West - Shoppers Drug Mart,Toronto,Yes,2021-03-10,43.6401606,-79.422434,M6K0C7,M6K,Shoppers Drug Mart
205,5230 Dundas Street West - Shoppers Drug Mart,Etobicoke,Yes,2021-03-10,43.640347,-79.5381525,M9B1A8,M9B,Shoppers Drug Mart
206,88 Queens Quay West - Rexall,Toronto,Yes,2021-03-10,43.6410825,-79.3787196,M5J0B8,M5J,Rexall
207,666 Burnhamthorpe Rd. - Shoppers Drug Mart,Etobicoke,Yes,2021-03-10,43.6413056,-79.5773763,M9C2Z4,M9C,Shoppers Drug Mart
208,Morelli's Pharmacy,Toronto,Yes,2021-03-29,43.6421609,-79.3806942,M5J0A3,M5J,Other/Independent
209,761 King St. West - Shoppers Drug Mart,Toronto,Yes,2021-03-10,43.6431005,-79.4058916,M5V1N4,M5V,Shoppers Drug Mart
210,Welcome Guardian Drugs (Roncesvalles),Toronto,Yes,2021-03-10,43.6433558,-79.4474712,M6R2L2,M6R,Guardian
211,1033 Queen Street West - Shoppers Drug Mart,Toronto,Yes,2021-03-10,43.6438493,-79.419533,M6J0A6,M6J,Shoppers Drug Mart
212,380 The East Mall - Loblaw,Etobicoke,Yes,2021-03-10,43.643878,-79.5601684,M9B6L5,M9B,Loblaw
213,10 Lower Jarvis Street - Loblaw,Toronto,Yes,2021-03-10,43.6447705,-79.3701389,M5E1Z2,M5E,Loblaw
