fsa,Public Health Unit,Start date of week,End date of week,Overall - % positivity,"Overall - number tested per 100,000 population",NON-LTC - % positivity,"NON-LTC - number tested per 100,000 population"
K1S,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.05,1959.00,0.05,1950.00
K1T,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.07,1689.00,0.07,1689.00
K1V,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.06,1586.00,0.07,1547.00
K1W,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,2542.00,0.04,2542.00
K1X,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,2104.00,0.00,2104.00
K1Y,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1916.00,0.03,1919.00
K1Z,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1808.00,0.03,1804.00
K2A,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1846.00,0.03,1841.00
K2B,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.07,1752.00,0.07,1716.00
K2C,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,2319.00,0.05,1709.00
K2E,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,1559.00,0.04,1559.00
K2G,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1510.00,0.03,1505.00
K2H,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.05,1736.00,0.05,1736.00
K2J,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1760.00,0.04,1670.00
K2K,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,2068.00,0.03,2078.00
K2L,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,1731.00,0.04,1694.00
K2M,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,2250.00,0.04,2250.00
K2P,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.07,1330.00,0.07,1330.00
K2R,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,2131.00,0.00,2131.00
K2S,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1767.00,0.03,1765.00
K2T,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,1707.00,0.04,1707.00
K2V,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,1598.00,0.00,1598.00
K2W,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,1752.00,0.00,1752.00
K4A,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,2044.00,0.04,2044.00
K4B,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,1889.00,0.00,1889.00
K4C,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.09,3093.00,0.09,3093.00
K4K,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.02,2271.00,0.02,2271.00
K4M,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1737.00,0.03,1737.00
K4P,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.05,1768.00,0.05,1768.00
K4R,SHARED FSA,21-Mar-21,27-Mar-21,0.05,2519.00,0.05,2519.00
K6A,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.08,1935.00,0.08,1937.00
K6H,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.03,2548.00,0.03,2296.00
K6J,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.04,2648.00,0.04,2663.00
K6K,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.00,2712.00,0.00,2712.00
K6T,"2243 Leeds, Grenville and Lanark District Health Unit",21-Mar-21,27-Mar-21,0.00,1570.00,0.00,1570.00
K6V,"2243 Leeds, Grenville and Lanark District Health Unit",21-Mar-21,27-Mar-21,0.00,1377.00,0.00,1378.00
K7A,SHARED FSA,21-Mar-21,27-Mar-21,0.01,2663.00,0.01,2650.00
K7C,"2243 Leeds, Grenville and Lanark District Health Unit",21-Mar-21,27-Mar-21,0.02,1760.00,0.02,1764.00
K7G,SHARED FSA,21-Mar-21,27-Mar-21,0.00,3213.00,0.00,3245.00
K7H,"2243 Leeds, Grenville and Lanark District Health Unit",21-Mar-21,27-Mar-21,0.04,3751.00,0.04,3733.00
K7K,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.00,2221.00,0.00,2213.00
K7L,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.03,2414.00,0.03,2414.00
K7M,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.01,2667.00,0.01,2661.00
K7N,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.00,2961.00,0.00,2971.00
K7P,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.00,2920.00,0.00,2920.00
K7R,"2241 Kingston, Frontenac and Lennox & Addington Health Unit",21-Mar-21,27-Mar-21,0.00,3526.00,0.00,2643.00
K7S,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1793.00,0.00,1793.00
K7V,2257 Renfrew County and District Health Unit,21-Mar-21,27-Mar-21,0.03,2157.00,0.04,2135.00
K8A,2257 Renfrew County and District Health Unit,21-Mar-21,27-Mar-21,0.01,2591.00,0.01,2522.00
K8B,2257 Renfrew County and District Health Unit,21-Mar-21,27-Mar-21,0.00,2012.00,0.00,2012.00
K8H,2257 Renfrew County and District Health Unit,21-Mar-21,27-Mar-21,0.00,1478.00,0.00,1478.00
K8N,2238 Hastings and Prince Edward Counties Health Unit,21-Mar-21,27-Mar-21,0.01,1969.00,0.01,1967.00
K8P,2238 Hastings and Prince Edward Counties Health Unit,21-Mar-21,27-Mar-21,0.00,1945.00,0.00,1941.00
K8R,2238 Hastings and Prince Edward Counties Health Unit,21-Mar-21,27-Mar-21,0.00,1789.00,0.00,1789.00
K8V,2238 Hastings and Prince Edward Counties Health Unit,21-Mar-21,27-Mar-21,0.01,1787.00,0.01,1790.00
K9A,"2235 Haliburton, Kawartha, Pine Ridge District Health Unit",21-Mar-21,27-Mar-21,0.01,1675.00,0.01,1672.00
K9H,2255 Peterborough County-City Health Unit,21-Mar-21,27-Mar-21,0.02,1443.00,0.02,1435.00
K9J,SHARED FSA,21-Mar-21,27-Mar-21,0.03,1601.00,0.03,1599.00
K9K,2255 Peterborough County-City Health Unit,21-Mar-21,27-Mar-21,0.00,1264.00,0.00,1246.00
K9L,2255 Peterborough County-City Health Unit,21-Mar-21,27-Mar-21,0.00,1466.00,0.00,1466.00
K9V,"2235 Haliburton, Kawartha, Pine Ridge District Health Unit",21-Mar-21,27-Mar-21,0.00,2306.00,0.00,2331.00
L0A,SHARED FSA,21-Mar-21,27-Mar-21,0.02,2015.00,0.02,2030.00
L0B,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1617.00,0.00,1617.00
L0C,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1523.00,0.00,1523.00
L0E,SHARED FSA,21-Mar-21,27-Mar-21,0.02,2365.00,0.02,2365.00
L0G,SHARED FSA,21-Mar-21,27-Mar-21,0.04,1849.00,0.04,1853.00
L0H,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1282.00,0.00,1282.00
L0J,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.16,1555.00,0.16,1520.00
L0K,SHARED FSA,21-Mar-21,27-Mar-21,0.01,1661.00,0.01,1664.00
L0L,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.01,1842.00,0.01,1836.00
L0M,SHARED FSA,21-Mar-21,27-Mar-21,0.03,1551.00,0.03,1548.00
L0N,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1554.00,0.00,1525.00
L0P,SHARED FSA,21-Mar-21,27-Mar-21,0.04,1760.00,0.04,1760.00
L0R,SHARED FSA,21-Mar-21,27-Mar-21,0.05,2148.00,0.05,2110.00
L0S,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.03,1627.00,0.03,1626.00
L1A,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1521.00,0.00,1514.00
L1B,SHARED FSA,21-Mar-21,27-Mar-21,0.04,1930.00,0.04,1933.00
L1C,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.04,2120.00,0.04,2115.00
L1E,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.03,1814.00,0.03,1814.00
L1G,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.05,1806.00,0.05,1804.00
L1H,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.07,1619.00,0.07,1619.00
L1J,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.05,1873.00,0.05,1796.00
L1K,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.06,1747.00,0.06,1747.00
L1L,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.15,2041.00,0.15,2041.00
L1M,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.04,1942.00,0.04,1942.00
L1N,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.03,2147.00,0.03,1963.00
L1P,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.08,1760.00,0.08,1760.00
L1R,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.06,1984.00,0.06,1980.00
L1S,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.12,1797.00,0.12,1800.00
L1T,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.13,1718.00,0.13,1716.00
L1V,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.09,2156.00,0.09,2160.00
L1W,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.06,1961.00,0.07,1829.00
L1X,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.10,1921.00,0.10,1921.00
L1Y,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.00,2015.00,0.00,2015.00
L1Z,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.13,1677.00,0.13,1677.00
L2A,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.02,1514.00,0.02,1482.00
L2E,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1332.00,0.04,1306.00
L2G,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1468.00,0.04,1461.00
L2H,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1563.00,0.04,1562.00
L2J,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.00,1312.00,0.00,1312.00
L2M,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.03,1883.00,0.03,1885.00
L2N,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.02,1753.00,0.02,1743.00
L2P,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1414.00,0.04,1418.00
L2R,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1622.00,0.04,1622.00
L2S,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.06,1513.00,0.06,1506.00
L2T,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.06,1872.00,0.06,1872.00
L2V,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.07,2082.00,0.07,2082.00
L2W,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.00,1484.00,0.00,1484.00
L3B,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.07,1538.00,0.07,1526.00
L3C,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.06,1867.00,0.06,1864.00
L3K,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.02,1519.00,0.02,1520.00
L3M,2246 Niagara Region Public Health Department,21-Mar-21,27-Mar-21,0.04,1741.00,0.04,1730.00
L3P,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.05,1583.00,0.05,1579.00
L3R,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.06,1267.00,0.07,1108.00
L3S,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.11,1066.00,0.11,1066.00
L3T,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.07,1793.00,0.07,1793.00
L3V,SHARED FSA,21-Mar-21,27-Mar-21,0.01,1807.00,0.01,1765.00
L3X,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.08,1921.00,0.08,1921.00
L3Y,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.03,2699.00,0.03,2325.00
L3Z,SHARED FSA,21-Mar-21,27-Mar-21,0.06,2541.00,0.06,2534.00
L4A,SHARED FSA,21-Mar-21,27-Mar-21,0.04,1613.00,0.04,1618.00
L4B,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.07,1176.00,0.08,1168.00
L4C,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.08,2223.00,0.09,2045.00
L4E,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.08,1542.00,0.08,1542.00
L4G,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.03,1919.00,0.03,1921.00
L4H,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.12,2040.00,0.12,2040.00
L4J,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.05,2546.00,0.05,2546.00
L4K,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.15,1786.00,0.15,1786.00
L4L,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.11,1924.00,0.11,1921.00
L4M,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.03,2182.00,0.03,2186.00
L4N,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.02,2215.00,0.02,2106.00
L4P,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.03,2411.00,0.03,2412.00
L4R,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.02,1836.00,0.02,1789.00
L4S,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.07,1562.00,0.08,1315.00
L4T,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.15,1567.00,0.15,1559.00
L4W,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.06,1796.00,0.06,1804.00
L4X,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.05,1332.00,0.05,1332.00
L4Y,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.06,1749.00,0.06,1749.00
L4Z,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.05,1478.00,0.05,1473.00
L5A,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.07,1686.00,0.07,1680.00
L5B,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.08,1292.00,0.08,1288.00
L5C,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.06,1517.00,0.06,1517.00
L5E,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.05,1728.00,0.05,1728.00
L5G,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.03,2471.00,0.03,2471.00
L5H,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.03,1624.00,0.03,1628.00
L5J,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.07,2020.00,0.07,1957.00
L5K,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.06,2335.00,0.07,1932.00
L5L,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.03,1931.00,0.03,1931.00
L5M,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.05,1867.00,0.06,1693.00
L5N,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.07,1744.00,0.07,1744.00
L5R,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.08,1649.00,0.08,1649.00
L5V,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.06,1576.00,0.06,1569.00
L5W,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.08,1431.00,0.08,1437.00
L6A,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.09,2164.00,0.09,2105.00
L6B,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.09,1416.00,0.09,1395.00
L6C,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.04,942.00,0.04,942.00
L6E,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.07,1351.00,0.07,1351.00
L6G,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.08,1040.00,0.08,1040.00
L6H,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.03,1545.00,0.03,1523.00
L6J,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.02,1447.00,0.02,1449.00
L6K,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.05,1524.00,0.05,1524.00
L6L,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.03,1374.00,0.03,1374.00
L6M,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.04,1554.00,0.04,1521.00
L6P,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.15,1763.00,0.15,1765.00
L6R,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.15,1606.00,0.15,1600.00
L6S,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.11,1502.00,0.11,1502.00
L6T,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.12,1507.00,0.12,1507.00
L6V,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.09,1689.00,0.09,1689.00
L6W,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.13,1903.00,0.13,1900.00
L6X,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.13,1924.00,0.14,1765.00
L6Y,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.11,1729.00,0.11,1729.00
L6Z,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.08,1779.00,0.08,1774.00
L7A,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.11,1714.00,0.11,1714.00
L7B,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.05,2145.00,0.05,2143.00
L7C,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.08,2003.00,0.08,2003.00
L7E,SHARED FSA,21-Mar-21,27-Mar-21,0.06,2321.00,0.06,2304.00
L7G,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.04,1874.00,0.04,1873.00
L7J,SHARED FSA,21-Mar-21,27-Mar-21,0.02,1822.00,0.02,1822.00
L7K,2253 Peel Public Health,21-Mar-21,27-Mar-21,0.00,2134.00,0.00,2134.00
L7L,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.03,1923.00,0.03,1927.00
L7M,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.02,1818.00,0.02,1820.00
L7N,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.02,1801.00,0.02,1768.00
L7P,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.02,2289.00,0.02,2289.00
L7R,SHARED FSA,21-Mar-21,27-Mar-21,0.03,1479.00,0.03,1479.00
L7S,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.04,1469.00,0.04,1465.00
L7T,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.03,1726.00,0.03,1718.00
L8B,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.02,1881.00,0.02,1881.00
L8E,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.08,1841.00,0.08,1842.00
L8G,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.07,1908.00,0.07,1906.00
L8H,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.07,1958.00,0.07,1958.00
L8J,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2138.00,0.05,2147.00
L8K,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.07,2425.00,0.07,2425.00
L8L,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.04,1914.00,0.04,1909.00
L8M,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.03,2357.00,0.03,2357.00
L8N,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2237.00,0.05,2254.00
L8P,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2164.00,0.05,2149.00
L8R,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2429.00,0.06,2362.00
L8S,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.06,1947.00,0.06,1956.00
L8T,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.07,2414.00,0.07,2414.00
L8V,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2370.00,0.05,2302.00
L8W,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2442.00,0.05,2442.00
L9A,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.05,2290.00,0.05,2273.00
L9B,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.07,2446.00,0.07,2444.00
L9C,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.06,2154.00,0.06,2088.00
L9E,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.06,1847.00,0.06,1847.00
L9G,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.03,2143.00,0.03,2140.00
L9H,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.02,3057.00,0.03,2287.00
L9J,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.00,1709.00,0.00,1709.00
L9K,2237 City of Hamilton - Public Health & Social Services,21-Mar-21,27-Mar-21,0.08,1875.00,0.08,1879.00
L9L,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.03,1421.00,0.03,1429.00
L9M,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.03,1649.00,0.03,1645.00
L9N,2270 York Region Public Health Services,21-Mar-21,27-Mar-21,0.04,1916.00,0.04,1916.00
L9P,2230 Durham Region Health Department,21-Mar-21,27-Mar-21,0.02,1600.00,0.02,1606.00
L9R,SHARED FSA,21-Mar-21,27-Mar-21,0.04,1933.00,0.04,1923.00
L9S,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.03,1948.00,0.03,1948.00
L9T,2236 Halton Region Health Department,21-Mar-21,27-Mar-21,0.06,1688.00,0.06,1689.00
L9V,2266 Wellington-Dufferin-Guelph Health Unit,21-Mar-21,27-Mar-21,0.03,1648.00,0.03,1648.00
L9W,SHARED FSA,21-Mar-21,27-Mar-21,0.02,1671.00,0.02,1657.00
L9X,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.02,2380.00,0.02,2380.00
L9Y,SHARED FSA,21-Mar-21,27-Mar-21,0.03,1415.00,0.03,1411.00
L9Z,2260 Simcoe Muskoka District Health Unit,21-Mar-21,27-Mar-21,0.02,1174.00,0.02,1174.00
M1B,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.09,1610.00,0.09,1611.00
M1C,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.06,1867.00,0.06,1873.00
M1E,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.09,2043.00,0.10,2034.00
M1G,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.11,1802.00,0.11,1808.00
M1H,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.10,1894.00,0.10,1894.00
M1J,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.10,2120.00,0.10,2121.00
M1K,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.10,2058.00,0.10,2058.00
M1L,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.05,2664.00,0.05,2663.00
M1M,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.06,2419.00,0.06,2419.00
M1N,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.04,3245.00,0.04,3235.00
M1P,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.10,2140.00,0.12,1819.00
M1R,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.12,2040.00,0.12,2037.00
M1S,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.08,1207.00,0.08,1193.00
M1T,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.08,1578.00,0.09,1443.00
M1V,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.10,946.00,0.10,936.00
M1W,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.12,1262.00,0.12,1265.00
M1X,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.12,1408.00,0.12,1408.00
M2H,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.07,1307.00,0.07,1253.00
M2J,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.07,1582.00,0.07,1578.00
M2K,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.07,1357.00,0.07,1359.00
M2L,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.07,1529.00,0.07,1529.00
M2M,3895 Toronto Public Health,21-Mar-21,27-Mar-21,0.09,1491.00,0.09,1482.00
