X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.03912899,43.85908284,13,127907375,8711,Pharmacy,RP,Shoppers Drug Mart #1224, , , ,15 Westney Road North,Unit 1, ,Ajax,L1T1P4, ,2.02E+13
-78.67696918,43.91159666,14,127907376,8712,Pharmacy,RP,Bowanville Clinic Pharmacy Ltd, , , ,222 King Street East,Unit 1106, ,Bowmanville,L1C1P6, ,2.02E+13
-79.83886552,43.50799834,15,127907377,8713,Pharmacy,RP,Shoppers Drug Mart #1344, , , ,1020 Kennedy Circle, , ,Milton,L9T0J9, ,2.02E+13
-79.75580307,43.22561679,16,127907378,8716,Pharmacy,RP,Queenlake Pharmacy, , , ,910 Queenston Road, , ,Hamilton,L8G1B5, ,2.02E+13
-79.66069207,43.59856306,17,127907379,8718,Pharmacy,RP,Heritage Hills Pharmacy, , , ,4646 Heritage Hills Boulevard,Unit 9 & 10, ,Mississauga,L5R1Y4, ,2.02E+13
-79.25614885,43.77334441,18,127907380,8719,Pharmacy,RP,Town Care Pharmacy, , , ,60 Town Centre Court,Unit 3, ,Toronto,M1P0B1, ,2.02E+13
-79.41832071,43.78710521,19,127907381,8720,Pharmacy,RP,Medcentral Pharmacy, , , ,20 Drewry Avenue, , ,Toronto,M2M1C8, ,2.02E+13
-83.05553111,42.30710457,20,127907382,8722,Pharmacy,RP,Shoppers Drug Mart #1107, , , ,1675 Wyandotte Street West, , ,Windsor,N9B1H8, ,2.02E+13
-76.58061253,44.24840371,21,127907383,8723,Pharmacy,RP,Milford Pharmacy, , , ,728 Milford Drive, , ,Kingston,K7P1C6, ,2.02E+13
-78.87045425,43.93553186,22,127907384,8724,Pharmacy,RP,Ritson Pharmacy, , , ,250 Taunton Road East,Unit 8A, ,Oshawa,L1G7T1, ,2.02E+13
-79.17720993,43.77456292,23,127907385,8726,Pharmacy,RP,West Hill Medical Pharmacy, , , ,4637 Kingston Road,Unit 2, ,Toronto,M1E2P8, ,2.02E+13
-79.4286531,43.71332469,24,127907386,8727,Pharmacy,RP,Delray Pharmacy, , , ,2812 Bathurst Street, , ,Toronto,M6B3A6, ,2.02E+13
-79.3982022,43.81980261,25,127907387,8729,Pharmacy,RP,Shoppers Drug Mart #658, , , ,298 John Street, , ,Markham,L3T5W4, ,2.02E+13
-82.75030642,42.29598178,26,127907388,8730,Pharmacy,RP,Lakeshore Pharmacy, , , ,1303 Essex County Road 22, , ,Lakeshore,N0R1A0, ,2.02E+13
-78.69346678,43.90486266,27,127907389,8731,Pharmacy,RP,Remedy's Rx Global Drug Mart, , , ,130 Waverley Road, , ,Bowmanville,L1C3W9, ,2.02E+13
-79.39870469,43.71007539,28,127907390,8733,Pharmacy,RP,Yonge Drug Mart, , , ,2399 Yonge Street,Unit 104, ,Toronto,M4P2E7, ,2.02E+13
-79.2527725,43.18285731,29,127907391,8734,Pharmacy,RP,Lake Street Pharmacy, , , ,353 Lake Street,Unit 15, ,St. Catharines,L2N7G4, ,2.02E+13
-79.23097319,43.17914051,31,127907392,8735,Pharmacy,RP,Carlton Medical Centre Pharmac, , , ,359 Carlton Street,Unit 6, ,St. Catharines,L2N1C2, ,2.02E+13
-75.76841585,45.26038452,74,127906442,2356,Pharmacy,RP,Cedarview Guardian Pharmacy, , , ,4100 Strandherd Drive,Unit 12, ,Ottawa,K2J0V2, ,2.02E+13
-74.60881439,45.59866013,75,127906443,2358,Pharmacy,RP,Pharmacie Jean Coutu #484, , , ,1062 Ghislain Street, , ,Hawkesbury,K6A3B2, ,2.02E+13
-77.9795603,44.38235928,76,127906444,2361,Pharmacy,RP,Centennial Pharmacy, , , ,2375 County Rd45,Unit A, ,Norwood,K0L2V0, ,2.02E+13
-80.29841525,43.34724119,77,127906445,2366,Pharmacy,RP,Casey's Pharmacy, , , ,115 Christopher Drive,Unit 120, ,Cambridge,N1R4S1, ,2.02E+13
-75.49639158,45.45875767,78,127906446,2367,Pharmacy,RP,Orleans Pharmacy, , , ,4275 Innes Road, , ,Ottawa,K1C1T1, ,2.02E+13
-79.38131249,43.76853921,80,127906448,2370,Pharmacy,RP,St Gabriel Medical Pharmacy, , , ,650 Sheppard Avenue East, , ,Toronto,M2K3E4, ,2.02E+13
-79.4364267,43.64090428,81,127906449,2382,Pharmacy,RP,Vina Pharmacy, , , ,1460 Queen Street West, , ,Toronto,M6K1M2, ,2.02E+13
-76.94971025,44.2479621,83,127906451,2386,Pharmacy,RP,Wallace's Drug Store Ltd, , , ,27 Dundas Street East, , ,Napanee,K7R3M3, ,2.02E+13
-75.45456866,45.46858687,85,127906453,2396,Pharmacy,RP,St Mary Health Centre Pharmacy, , , ,2010 Trim Road, , ,Ottawa,K4A0G4, ,2.02E+13
-79.52543533,43.70284089,87,127906455,2410,Pharmacy,RP,Main Drug Mart, , , ,2160 Weston Road, , ,Toronto,M9N1X6, ,2.02E+13
-79.27836825,43.6891589,89,127906457,2412,Pharmacy,RP,Main Drug Mart, , , ,2560 Gerrard Street East, , ,Toronto,M1N1W8, ,2.02E+13
-81.62502157,43.42157954,90,127906458,2413,Pharmacy,RP,Zurich Pharmacy, , , ,11 Goshen Street North, , ,Zurich,N0M2T0, ,2.02E+13
-79.49227062,43.72232879,91,127906459,2419,Pharmacy,RP,Wellcare Union Medical Phcy, , , ,1263 Wilson Avenue,Unit 110, ,Toronto,M3M3G3, ,2.02E+13
-79.33869318,43.80711511,92,127906460,2420,Pharmacy,RP,Dom's Pharmacy, , , ,3630 Victoria Park Avenue, , ,Toronto,M2H3B2, ,2.02E+13
-78.93843566,43.89953415,94,127906462,2423,Pharmacy,RP,Whitby Community Ida, , , ,701 Rossland Road East,Unit 5, ,Whitby,L1N8Y9, ,2.02E+13
-79.28942067,43.78400311,95,127906463,2424,Pharmacy,RP,Shoppers Drug Mart #1388, , , ,2330 Kennedy Road, , ,Toronto,M1T3H1, ,2.02E+13
-79.7359003,43.65029787,97,127906465,2426,Pharmacy,RP,Nanaksar Pharmacy, , , ,511 Raylawson Boulevard,Unit  102, ,Brampton,L6Y0N2, ,2.02E+13
-79.78983439,43.39287362,98,127906466,2430,Pharmacy,RP,Appleby Pharmacy, , , ,1960 Appleby Line,Suite 10, ,Burlington,L7L0B7, ,2.02E+13
-79.44881506,46.28381203,101,127906469,2441,Pharmacy,RP,Shoppers Drug Mart #664, , , ,276 Lakeshore Drive, , ,North Bay,P1A2C2, ,2.02E+13
-79.23586365,43.78099981,104,127906472,2455,Pharmacy,RP,Progress Place Pharmacy, , , ,885 Progress Avenue,Unit 111, ,Toronto,M1H3G3, ,2.02E+13
-79.06746264,44.26240311,106,127906474,2459,Pharmacy,RP,Sunderland Pharmacy Ltd, , , ,103 River Street, , ,Sunderland,L0C1H0, ,2.02E+13
-79.48879243,43.7644571,107,127906475,2460,Pharmacy,RP,Nor-Arm Pharmacy, , , ,1280 Finch Avenue West,Unit 107, ,Toronto,M3J3K6, ,2.02E+13
-79.37204469,44.9084204,111,127906479,2466,Pharmacy,RP,Sobey's Pharmacy #7249, , , ,255 Edward Street, , ,Gravenhurst,P1P1K8, ,2.02E+13
-79.70536737,43.44727083,112,127906480,2468,Pharmacy,RP,Metro Pharmacy #516, , , ,280 North Service Road,Unit 1A, ,Oakville,L6M2S2, ,2.02E+13
-82.40659497,42.96110602,113,127906481,2474,Pharmacy,RP,Vidal Pharmacy Inc, , , ,373 Vidal Street, , ,Sarnia,N7T2V3, ,2.02E+13
-81.21705121,43.02047439,114,127906482,2477,Pharmacy,RP,Huron Heights Pharmasave, , , ,1295 Highbury Avenue North,Unit C1, ,London,N5Y5L3, ,2.02E+13
-75.70229107,44.59173711,117,127906485,2484,Pharmacy,RP,Brockville Medical Pharmacy, , , ,100 Strowger Boulevard,Unit 108, ,Brockville,K6V5J9, ,2.02E+13
-78.96187577,43.91605485,118,127906486,2486,Pharmacy,RP,Loblaw Pharmacy #1058, , , ,200 Taunton Road West, , ,Whitby,L1R3H8, ,2.02E+13
-79.65363936,43.57665826,119,127906487,2491,Pharmacy,RP,Mavis Pharmacy, , , ,790 Burnhamthorpe Road,Unit 2, ,Mississauga,L5C4G3, ,2.02E+13
-79.44980011,43.65562068,120,127906488,2496,Pharmacy,RP,Loblaw Pharmacy # 1154, , , ,2280 Dundas Street West, , ,Toronto,M6R1X4, ,2.02E+13
-79.70098408,43.56518996,122,127906490,2501,Pharmacy,RP,The Chase Pharmacy, , , ,1675 The Chase,Unit 1 & 2, ,Mississauga,L5M5A7, ,2.02E+13
-79.48765731,43.61755597,123,127906491,2510,Pharmacy,RP,Akron Pharmacy, , , ,2318 Lake Shore Boulevard West, , ,Toronto,M8V1B5, ,2.02E+13
-79.46959754,44.00348374,124,127906492,2517,Pharmacy,RP,Shoppers Drug Mart #955, , , ,15408 Yonge Street, , ,Aurora,L4G1N9, ,2.02E+13
-82.18436395,42.39257443,125,127906493,2519,Pharmacy,RP,Sobeys Pharmacy #7506, , , ,215 Park Avenue West, , ,Chatham-Kent,N7M1W3, ,2.02E+13
-79.24871277,43.97115535,126,127906494,2525,Pharmacy,RP,Stouffville Ida Pharmacy, , , ,6212 Main Street,Suite 102, ,Whitchurch-Stouffville,L4A2S5, ,2.02E+13
-79.3728542,44.9160269,127,127906495,2526,Pharmacy,RP,Shoppers Drug Mart #1345, , , ,511 Muskoka Road South, , ,Gravenhurst,P1P1J8, ,2.02E+13
-79.68844189,43.77208739,129,127906497,2534,Pharmacy,RP,Valley Creek Pharmacy, , , ,1975 Cottrelle Boulevard, , ,Brampton,L6P3A1, ,2.02E+13
-79.26370295,43.75124841,130,127906498,2535,Pharmacy,RP,Maple Drug Mart, , , ,2645 Lawrence Avenue East,Unit 45, ,Toronto,M1P2S2, ,2.02E+13
-79.79014092,43.73067448,131,127906499,2536,Pharmacy,RP,"Heart Lake, the Compounding Ce", , , ,230 Sandalwood Parkway East, , ,Brampton,L6Z1R3, ,2.02E+13
-79.74988901,43.78172939,132,127906500,2540,Pharmacy,RP,Sobeys Pharmacy #7253, , , ,10970 Airport Road, , ,Brampton,L6R0E1, ,2.02E+13
-79.21638869,43.1376689,133,127906501,2541,Pharmacy,RP,Sobeys Pharmacy #7250, , , ,343 Glendale Avenue, , ,St. Catharines,L2T0A1, ,2.02E+13
-79.26123758,42.89156456,136,127906504,2546,Pharmacy,RP,Port Medical Pharmacy, , , ,254 Killaly Street West,Unit 9, ,Port Colborne,L3K6A6, ,2.02E+13
-79.67121617,43.60197226,138,127906506,2549,Pharmacy,RP,Bristol Pharmacy, , , ,512 Bristol Road,"Unit 10, B", ,Mississauga,L5R3Z2, ,2.02E+13
-82.89711716,42.31115678,139,127906507,2553,Pharmacy,RP,Ida Tlc Pharmacy, , , ,11811 Tecumseh Road East, , ,Windsor,N8N1L8, ,2.02E+13
-79.39960951,43.84165462,141,127906509,2569,Pharmacy,RP,Richmond Hill Pharmacy, , , ,328 Highway 7 East,Unit 22, ,Richmond Hill,L4B3P7, ,2.02E+13
-79.32485817,43.68987129,142,127906510,2572,Pharmacy,RP,Toronto East Pharmasave, , , ,825 Coxwell Avenue,Room C114, ,Toronto,M4C3E7, ,2.02E+13
-79.43285161,43.71932579,143,127906511,2576,Pharmacy,RP,Shoppers Drug Mart #809, , , ,3110 Bathurst Street, , ,Toronto,M6A2A1, ,2.02E+13
-79.43172372,43.85484482,144,127906512,2578,Pharmacy,RP,The Drugstore Pharmacy #4356, , , ,9325 Yonge Street, , ,Richmond Hill,L4C1V4, ,2.02E+13
-79.25066526,43.83560472,146,127906514,2591,Pharmacy,RP,Medicare Pharmacy, , , ,3341 Markham Road,Unit B109, ,Toronto,M1X0A5, ,2.02E+13
-81.63548805,44.17628937,147,127906515,2598,Pharmacy,RP,Gordon Pharmasave, , , ,767 Queen Street, , ,Kincardine,N2Z2Z4, ,2.02E+13
-79.27995137,43.83051262,148,127906516,2600,Pharmacy,RP,Hillcroft Pharmacy, , , ,5 Hillcroft Drive,Unit 7, ,Markham,L3S1R7, ,2.02E+13
-79.44842912,43.79124771,149,127906517,2604,Pharmacy,RP,Concourse Pharmacy, , , ,1065 Steeles Avenue West,Suite ELES, ,Toronto,M2R2S9, ,2.02E+13
-79.38967909,43.67088679,150,127906518,2605,Pharmacy,RP,Markie Pharmacy Ltd, , , ,1235 Bay Street, , ,Toronto,M5R3K4, ,2.02E+13
-79.33335349,43.85840542,151,127906519,2611,Pharmacy,RP,The Drugstore Pharmacy #4256, , , ,8601 Warden Avenue, , ,Markham,L3R0B5, ,2.02E+13
-75.76751476,45.34881684,152,127906520,2615,Pharmacy,RP,Specialty Rx, , , ,1 Centrepointe Drive, , ,Ottawa,K2G6E2, ,2.02E+13
-82.25510183,43.02789064,153,127906521,2616,Pharmacy,RP,Bright's Grove Family Phcy, , , ,Lakeshore Road, , ,Sarnia,N0N1C0, ,2.02E+13
-79.44240336,46.31767223,154,127906522,2617,Pharmacy,RP,Loblaw Pharmacy  #4096, , , ,1 Laurentian Avenue, , ,North Bay,P1B9P2, ,2.02E+13
-81.62833185,44.18623347,155,127906523,2620,Pharmacy,RP,Mckechnie Pharmacy Ltd, , , ,44 Queen Street, , ,Kincardine,N2Z3C1, ,2.02E+13
-79.47469504,43.99880294,156,127906524,2621,Pharmacy,RP,Pharmasave Aurora, , , ,126 Wellington Street West, , ,Aurora,L4G2N9, ,2.02E+13
-79.09669841,43.82860643,157,127906525,2626,Pharmacy,RP,Glendale Pharmacy, , , ,1101 Kingston Road,Unit 140, ,Pickering,L1V1B5, ,2.02E+13
-79.20072908,43.1246125,158,127906526,2636,Pharmacy,RP,Henderson's Pharmacy Limited, , , ,15 Front Street South,Postal Office Box 67, ,Thorold,L2V3Y7, ,2.02E+13
-79.45830283,43.86592132,159,127906527,2638,Pharmacy,RP,Don Head Pharmacy, , , ,205 Don Head Village Boulevard, , ,Richmond Hill,L4C7R3, ,2.02E+13
-79.29380896,43.67149099,160,127906528,2641,Pharmacy,RP,Hooper's Pharmacy, , , ,2136 Queen Street East, , ,Toronto,M4E1E3, ,2.02E+13
-79.88409711,43.26069489,161,127906529,2642,Pharmacy,RP,King Medical Pharmacy, , , ,505 King Street West,Unit 5, ,Hamilton,L8P1B9, ,2.02E+13
-80.55534034,43.4529967,162,127906530,2644,Pharmacy,RP,Loblaw Pharmacy #524, , , ,450 Erb Street West, , ,Waterloo,N2T1H4, ,2.02E+13
-78.34068131,44.29947435,163,127906531,2646,Pharmacy,RP,Westmount Pharmacy, , , ,1293 Cionsilla Avenue, , ,Peterborough,K9J5Z3, ,2.02E+13
-79.31239306,43.68562979,164,127906532,2652,Pharmacy,RP,Main Drug Mart, , , ,2091 Danforth Avenue, , ,Toronto,M4C1J8, ,2.02E+13
-77.79596923,44.30792127,167,127906535,2659,Pharmacy,RP,Mac Laren Pharmacy, , , ,79 Bridge Street East, , ,Campbellford,K0L1L0, ,2.02E+13
-79.32230617,43.77508991,168,127906536,2665,Pharmacy,RP,Shoppers Drug Mart 1509, , , ,2901 Sheppard Avenue East, , ,Toronto,M1T3J3, ,2.02E+13
-82.40124247,42.98138822,169,127906537,2667,Pharmacy,RP,Sarnia Pharmacy, , , ,206 Maxwell Street, , ,Sarnia,N7T5C3, ,2.02E+13
-75.73552335,45.38676925,170,127906538,6653,Pharmacy,RP,Shoppers Drug Mart #628, , , ,1309 Carling Avenue, , ,Ottawa,K1Z7L3, ,2.02E+13
-79.8232836,43.39363822,171,127906539,6654,Pharmacy,RP,Shoppers Drug Mart #1012, , , ,3051 Walkers Line, , ,Burlington,L7M0W3, ,2.02E+13
-81.47082258,42.89823645,172,127906540,6662,Pharmacy,RP,S W Middlesex Health Centre Phcy, , , ,22262 Mill Road, , ,Mount Brydges,N0L1W0, ,2.02E+13
-79.33625808,43.7239064,173,127906541,6663,Pharmacy,RP,One Medical Pharmacy, , , ,20 Wynford Drive,Unit 120, ,Toronto,M3C1J4, ,2.02E+13
-81.00300578,46.45325307,174,127906542,6665,Pharmacy,RP,Plaza 69-Shoppers Drug Mart, , , ,1935 Paris Street, , ,Greater Sudbury,P3E3C6, ,2.02E+13
-79.76870618,43.35517312,175,127906543,6666,Pharmacy,RP,Lsv Pharmacy, , , ,4057 New Street,Unit 1, ,Burlington,L7L1S8, ,2.02E+13
-76.55831542,44.25752562,176,127906544,6670,Pharmacy,RP,Shoppers Drug Mart #1429, , , ,2437 Princess Street,Unit 100, ,Kingston,K7M3G1, ,2.02E+13
-78.73740074,44.35525914,177,127906545,6671,Pharmacy,RP,Shoppers Drug Mart #948, , , ,74 Kent Street West, , ,Kawartha Lakes,K9V2Y4, ,2.02E+13
-74.70399858,45.02749643,178,127906546,6672,Pharmacy,RP,Shoppers Drug Mart #1542, , , ,1380 2nd Street East, , ,Cornwall,K6H2B8, ,2.02E+13
-75.69180524,45.42944966,179,127906547,6674,Pharmacy,RP,Shoppers Drug Mart#1273, , , ,298 Dalhousie Street, , ,Ottawa,K1N7E7, ,2.02E+13
-79.44801774,44.06177675,180,127906548,6676,Pharmacy,RP,Medi-Mart Pharmacy, , , ,712 Davis Drive, , ,Newmarket,L3Y8C3, ,2.02E+13
-79.89358775,43.65006006,182,127906550,6680,Pharmacy,RP,Shoppers Drug Mart 707, , , ,265 Guelph Street,A, ,Halton Hills,L7G4B1, ,2.02E+13
-82.70725051,42.29292169,183,127906551,6681,Pharmacy,RP,Belle River Pharmasave, , , ,520 Notre Dame Street,Postal Office Box 430, ,Lakeshore,N0R1A0, ,2.02E+13
-79.7784483,43.58378565,184,127906552,6683,Pharmacy,RP,Metro Pharmacy #554, , , ,3221 Derry Road West, , ,Mississauga,L5N7L7, ,2.02E+13
-82.35368676,42.97903732,185,127906553,6684,Pharmacy,RP,Metro Pharmacy #544, , , ,1375 London Road, , ,Sarnia,N7S1P6, ,2.02E+13
-75.66842293,45.39702935,187,127906555,6690,Pharmacy,RP,Specialty Rx, , , ,1919 Riverside Drive,Unit 102, ,Ottawa,K1H1A2, ,2.02E+13
-79.59449414,43.54685096,188,127906556,6692,Pharmacy,RP,Loblaw Pharmacy #1090, , , ,250 Lakeshore Road West, , ,Mississauga,L5H1G3, ,2.02E+13
-81.22671151,43.00795628,189,127906557,6694,Pharmacy,RP,Carling Heights Pharmacy, , , ,124 Barker Street, , ,London,N5Y1Y1, ,2.02E+13
-80.34419987,43.3970068,190,127906558,6785,Pharmacy,RP,Langs Medical Pharmacy, , , ,1145 Concession Road, , ,Cambridge,N3H4L5, ,2.02E+13
-79.09180994,43.0942149,191,127906559,6696,Pharmacy,RP,Greater Niagara Pharmacy, , , ,5547 Portage Road, , ,Niagara Falls,L2G5Y2, ,2.02E+13
-79.26572896,43.78760241,192,127906560,6698,Pharmacy,RP,Sheppard Pharmacy, , , ,4465 Sheppard Avenue East,Unit 13A, ,Toronto,M1S5H9, ,2.02E+13
-79.45513996,46.29496203,193,127906561,6699,Pharmacy,RP,Phil's Lakeshore Pharmacy Ida, , , ,41 Lakeshore Drive, , ,North Bay,P1A2A1, ,2.02E+13
-79.43443432,43.86336742,194,127906562,6706,Pharmacy,RP,Shoppers Drug Mart #1268, , , ,9651 Yonge Street, , ,Richmond Hill,L4C1V7, ,2.02E+13
-79.44391143,43.90195893,195,127906563,6707,Pharmacy,RP,A & J Pharmacy, , , ,11211 Yonge Street, , ,Richmond Hill,L4S0E9, ,2.02E+13
-79.42740011,43.82445031,196,127906564,6708,Pharmacy,RP,Royal Drug Mart, , , ,8100 Yonge Street,Unit 1A, ,Vaughan,L4J1W4, ,2.02E+13
-80.43034852,43.68362804,197,127906565,6709,Pharmacy,RP,Elora Apothecary, , , ,115 Geddes Street,Unit B, ,Elora,N0B1S0, ,2.02E+13
-80.56801424,43.4679668,198,127906566,6710,Pharmacy,RP,Sobeys Pharmacy #7218, , , ,450 Columbia Street West, , ,Waterloo,N2T2W1, ,2.02E+13
-79.90011225,43.63073556,199,127906567,6711,Pharmacy,RP,Genesis Pharmacy, , , ,221 Miller Drive,Unit 8 & 9, ,Halton Hills,L7G6G4, ,2.02E+13
-80.27507802,43.15265576,200,127906568,6712,Pharmacy,RP,Terrace Hill Pharmacy, , , ,217 Terrace Hill Street,Unit 21, ,Brantford,N3R1G8, ,2.02E+13
-80.27594892,43.14702815,202,127906570,6719,Pharmacy,RP,Avenue Pharmacy, , , ,221 Brant Avenue, , ,Brantford,N3T3J2, ,2.02E+13
-79.47577161,43.65100678,203,127906571,6720,Pharmacy,RP,The Healing Source Pharmacy, , , ,2209 Bloor Street, , ,Toronto,M6S1N5, ,2.02E+13
-83.66513617,49.68944321,205,127906573,6728,Pharmacy,RP,Pharmacie Novena, , , ,4 Ninth Street, , ,Hearst,P0L1N0, ,2.02E+13
-80.52708883,43.43986249,206,127906574,6730,Pharmacy,RP,Victoria Hills Pharmacy, , , ,101 Hazelglen Drive,Unit 7, ,Kitchener,N2M5A2, ,2.02E+13
-80.51486673,43.4560242,207,127906575,6734,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,509 Park Street, , ,Kitchener,N2G1N9, ,2.02E+13
-83.05201611,42.31367077,208,127906576,6738,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,1101 University Avenue West, , ,Windsor,N9A5T1, ,2.02E+13
-79.47372832,43.766281,209,127906577,6740,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,1111 Finch Avenue West,Unit 100, ,Toronto,M3J2E5, ,2.02E+13
-79.48099465,44.05001105,210,127906578,6741,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,17310 Yonge Street,Unit 8, ,Newmarket,L3Y7R8, ,2.02E+13
-75.65532082,45.43198546,211,127906579,6746,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,311 McArthur Avenue,Unit 105, ,Ottawa,K1L6P1, ,2.02E+13
-79.46244866,46.31137833,214,127906582,6751,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,456 Ferguson Street, , ,North Bay,P1B1X4, ,2.02E+13
-84.33090596,46.5102606,215,127906583,6752,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,500 Queen Street East, , ,Sault Ste. Marie,P6A2A1, ,2.02E+13
-83.06843582,42.30771427,216,127906584,6753,Pharmacy,RP,Student Centre Pharmacy, , , ,401 Sunset Boulevard,University of Windsor, ,Windsor,N9B3P4, ,2.02E+13
-76.4852017,44.25323782,217,127906585,6754,Pharmacy,RP,Canadian Add. Treatm. Phcy Lp, , , ,7 Hickson Avenue, , ,Kingston,K7K2N4, ,2.02E+13
-79.50620712,43.67764478,218,127906586,6755,Pharmacy,RP,Main Drug Mart, , , ,265 Scarlett Road, , ,Toronto,M6N4L1, ,2.02E+13
-80.56216005,43.58973222,219,127906587,6756,Pharmacy,RP,Food Basics Pharmacy #510, , , ,232 Arthur Street South, , ,Elmira,N3B2P2, ,2.02E+13
-79.09644104,43.079303,220,127906588,6757,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,6175 Dunn Street,Unit 11, ,Niagara Falls,L2G2P4, ,2.02E+13
-78.85364204,43.88049805,221,127906589,6758,Pharmacy,RP,Canadian Add. Treatm. Phcy. Lp, , , ,45 Bloor Street East, , ,Oshawa,L1H3L9, ,2.02E+13
-79.22044809,43.1252778,222,127906590,6761,Pharmacy,RP,Campus Pharmacy, , , ,Saint David's Road,Unit 9, ,St. Catharines,L2T4E6, ,2.02E+13
-81.29908522,42.90963726,223,127906591,6763,Pharmacy,RP,Lambeth Drugs, , , ,2530 Main Street, , ,London,N6P1R2, ,2.02E+13
-79.53992113,43.63573598,224,127906592,6764,Pharmacy,RP,Dundas Kipling Pharmacy, , , ,5359 Dundas Street West, , ,Toronto,M9B1B1, ,2.02E+13
-79.87204253,43.49587224,225,127906593,6765,Pharmacy,RP,Derry Pharmacy, , , ,6990 Derry Road,Unit 101, ,Milton,L9T7H3, ,2.02E+13
-75.67618073,45.38889835,226,127906594,6771,Pharmacy,RP,Nks Health, , , ,2197 Riverside Drive,Unit 102, ,Ottawa,K1H7X8, ,2.02E+13
-79.19799564,43.79935892,227,127906595,6773,Pharmacy,RP,Pharmacenter Pharmacy, , , ,857 Milner Avenue, , ,Toronto,M1B5N6, ,2.02E+13
-79.34250697,43.66842099,228,127906596,6774,Pharmacy,RP,Drug Store Pharmacy #4119, , , ,449 Carlaw Avenue, , ,Toronto,M4K3H9, ,2.02E+13
-79.31984128,43.79526401,229,127906597,6776,Pharmacy,RP,Main Drug Mart, , , ,3245 Finch Avenue East, , ,Toronto,M1W4C1, ,2.02E+13
-79.31882888,43.79653611,230,127906598,6777,Pharmacy,RP,Gateway Pharmacy, , , ,3268 Finch Avenue East,Unit 5, ,Toronto,M1W3P7, ,2.02E+13
-79.47368434,43.91362263,231,127906599,6778,Pharmacy,RP,Tower Hill Pharmacy, , , ,380 Tower Hill Road,Unit 16, ,Richmond Hill,L4E0T8, ,2.02E+13
-80.50847012,43.4634918,232,127906600,6780,Pharmacy,RP,Central Pharmasave Pharmacy, , , ,149 Union Street East, , ,Waterloo,N2J1C4, ,2.02E+13
-80.03486715,45.34383174,233,127906601,6781,Pharmacy,RP,Pollard Ida Pharmacy, , , ,37 Seguin Street, , ,Parry Sound,P2A1B2, ,2.02E+13
-80.31878486,43.37926579,234,127906602,6783,Pharmacy,RP,Caremed Pharmacy, , , ,141 Hespeler Road, , ,Cambridge,N1R3G9, ,2.02E+13
