OGF_ID,CLASS_SUBT,CLASS_SU_1,OFFICIAL_M,MUNID,MAH_CODE,MUNICIPAL_,ASSESSMENT,MUNICIPA_1,MUNICIPA_2,UPPER_TIER,UPPER_TI_1,GEOG_UNIT_,GEOMETRY_U,EFFECTIVE_,SYSTEM_DAT,OBJECTID,SHAPEAREA,SHAPELEN,NUMPOINTS,all_pharmacies,%_chosen
67916572,Lower Tier Municipality,95,MUNICIPALITY OF SOUTH HURON,40003,52407,Mainland,4010,MUNICIPALITY OF,SOUTH HURON,,COUNTY OF HURON,2563,1970-01-01,2017-01-09,2019-04-01,23009,0,0,2,5,40%
67916408,Lower Tier Municipality,95,TOWNSHIP OF WILMOT,30018,25603,Mainland,3018,TOWNSHIP OF,WILMOT,,REGIONAL MUNICIPALITY OF WATERLOO,2563,1970-01-01,2017-01-09,2019-04-01,18017,0,0,2,5,40%
67916560,Lower Tier Municipality,95,TOWNSHIP OF STRATHROY-CARADOC,39013,59621,Mainland,3916,MUNICIPALITY OF,STRATHROY-CARADOC,,COUNTY OF MIDDLESEX,2563,2017-01-09,2017-01-09,2019-04-01,16017,0,0,4,10,40%
67916703,Lower Tier Municipality,95,TOWNSHIP OF SPRINGWATER,43040,70624,Mainland,4341,TOWNSHIP OF,SPRINGWATER,,COUNTY OF SIMCOE,2563,1970-01-01,2017-01-09,2019-04-01,24449,0,0,2,5,40%
67916406,Lower Tier Municipality,95,CITY OF WATERLOO,30016,25103,Mainland,3016,CITY OF,WATERLOO,,REGIONAL MUNICIPALITY OF WATERLOO,2563,1970-01-01,2017-01-09,2019-04-01,20609,0,0,17,43,40%
67906488,Single Tier Municipality,96,CITY OF ST. THOMAS,34021,44101,Mainland,3421,CITY OF,ST. THOMAS,,,2565,1970-01-01,2017-01-09,2019-04-01,17569,0,0,9,23,39%
67906431,Single Tier Municipality,96,CITY OF BROCKVILLE,7015,56101,Mainland,802,CITY OF,BROCKVILLE,,,2565,2021-03-04,2021-03-04,2021-03-04,29489,0,0,5,13,38%
67916309,Lower Tier Municipality,95,CITY OF MARKHAM,19036,27402,Mainland,1936,CITY OF,MARKHAM,,REGIONAL MUNICIPALITY OF YORK,2563,1970-01-01,2017-01-09,2019-04-01,21409,0,0,39,102,38%
67906412,Single Tier Municipality,96,CITY OF OTTAWA,6005,20107,Mainland,614,CITY OF,OTTAWA,,,2565,1970-01-01,2017-01-09,2019-04-01,23521,0,0,117,316,37%
67916348,Lower Tier Municipality,95,TOWN OF MILTON,24009,14402,Mainland,2409,TOWN OF,MILTON,,REGIONAL MUNICIPALITY OF HALTON,2563,1970-01-01,2017-01-09,2019-04-01,18593,0,0,12,33,36%
67916323,Lower Tier Municipality,95,TOWN OF CALEDON,21024,21401,Mainland,2124,TOWN OF,CALEDON,,REGIONAL MUNICIPALITY OF PEEL,2563,1970-01-01,2017-01-09,2019-04-01,15441,0,0,6,17,35%
67916328,Lower Tier Municipality,95,TOWN OF ORANGEVILLE,22014,43401,Mainland,2214,TOWN OF,ORANGEVILLE,,COUNTY OF DUFFERIN,2563,2019-04-01,2019-03-27,2019-04-01,25089,0,0,6,17,35%
67916349,Lower Tier Municipality,95,TOWN OF HALTON HILLS,24015,14401,Mainland,2415,TOWN OF,HALTON HILLS,,REGIONAL MUNICIPALITY OF HALTON,2563,1970-01-01,2017-01-09,2019-04-01,23921,0,0,8,23,35%
67916455,Lower Tier Municipality,95,MUNICIPALITY OF CENTRAL ELGIN,34015,44610,Mainland,3418,MUNICIPALITY OF,CENTRAL ELGIN,,COUNTY OF ELGIN,2563,2019-02-11,2019-02-11,2019-04-01,19969,0,0,1,3,33%
67916566,Lower Tier Municipality,95,MUNICIPALITY OF THAMES CENTRE,39025,59622,Mainland,3926,MUNICIPALITY OF,THAMES CENTRE,,COUNTY OF MIDDLESEX,2563,2019-02-11,2019-02-11,2019-04-01,20033,0,0,1,3,33%
67916334,Lower Tier Municipality,95,TOWNSHIP OF CENTRE WELLINGTON,23010,75614,Mainland,2326,TOWNSHIP OF,CENTRE WELLINGTON,,COUNTY OF WELLINGTON,2563,2014-01-17,2017-01-09,2019-04-01,20433,0,0,4,12,33%
67916616,Lower Tier Municipality,95,MUNICIPALITY OF BROCKTON,41030,41622,Mainland,4104,MUNICIPALITY OF,BROCKTON,,COUNTY OF BRUCE,2563,1970-01-01,2017-01-09,2019-04-01,20513,0,0,1,3,33%
67916165,Lower Tier Municipality,95,VILLAGE OF MERRICKVILLE-WOLFORD,7050,56506,Mainland,714,VILLAGE OF,MERRICKVILLE-WOLFORD,,UNITED COUNTIES OF LEEDS AND GRENVILLE,2563,1970-01-01,2017-01-09,2019-04-01,21201,0,0,1,3,33%
67906433,Single Tier Municipality,96,TOWN OF GANANOQUE,7024,56301,Mainland,814,TOWN OF,GANANOQUE,,,2565,1970-01-01,2017-01-09,2019-04-01,21233,0,0,1,3,33%
67916336,Lower Tier Municipality,95,TOWNSHIP OF WELLINGTON NORTH,23020,75617,Mainland,2349,TOWNSHIP OF,WELLINGTON NORTH,,COUNTY OF WELLINGTON,2563,1970-01-01,2017-01-09,2019-04-01,23409,0,0,2,6,33%
67916233,Lower Tier Municipality,95,TOWNSHIP OF STIRLING-RAWDON,12017,51622,Mainland,1220,TOWNSHIP OF,STIRLING-RAWDON,,COUNTY OF HASTINGS,2563,2013-09-05,2017-01-09,2019-04-01,17905,0,0,1,3,33%
67916238,Lower Tier Municipality,95,MUNICIPALITY OF MARMORA AND LAKE,12039,51626,Mainland,1241,MUNICIPALITY OF,MARMORA AND LAKE,,COUNTY OF HASTINGS,2563,2013-09-05,2017-01-09,2019-04-01,18737,0,0,1,3,33%
67916879,Lower Tier Municipality,95,TOWNSHIP OF WHITEWATER REGION,47050,69636,Mainland,4758,TOWNSHIP OF,WHITEWATER REGION,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,19057,0,0,1,3,33%
67916369,Lower Tier Municipality,95,TOWNSHIP OF WEST LINCOLN,26021,18602,Mainland,2602,TOWNSHIP OF,WEST LINCOLN,,REGIONAL MUNICIPALITY OF NIAGARA,2563,1970-01-01,2017-01-09,2019-04-01,19441,0,0,1,3,33%
67916651,Lower Tier Municipality,95,MUNICIPALITY OF GREY HIGHLANDS,42013,47623,Mainland,4208,MUNICIPALITY OF,GREY HIGHLANDS,,COUNTY OF GREY,2563,1970-01-01,2017-01-09,2019-04-01,16593,0,0,1,3,33%
67916462,Lower Tier Municipality,95,MUNICIPALITY OF DUTTON/DUNWICH,34028,44611,Mainland,3429,MUNICIPALITY OF,DUTTON/DUNWICH,,COUNTY OF ELGIN,2563,1970-01-01,2017-01-09,2019-04-01,25025,0,0,1,3,33%
67916278,Lower Tier Municipality,95,TOWN OF COBOURG,14021,61403,Mainland,1421,TOWN OF,COBOURG,,COUNTY OF NORTHUMBERLAND,2563,2021-03-04,2021-03-04,2021-03-04,29457,0,0,4,12,33%
67916434,Lower Tier Municipality,95,TOWNSHIP OF EAST ZORRA-TAVISTOCK,32038,37602,Mainland,3238,TOWNSHIP OF,EAST ZORRA-TAVISTOCK,,COUNTY OF OXFORD,2563,2020-01-21,2020-01-21,2020-01-21,26929,0,0,1,3,33%
67916333,Lower Tier Municipality,95,TOWNSHIP OF GUELPH/ERAMOSA,23005,75615,Mainland,2311,TOWNSHIP OF,GUELPH/ERAMOSA,,COUNTY OF WELLINGTON,2563,2014-01-17,2017-01-09,2019-04-01,24433,0,0,1,3,33%
67916320,Lower Tier Municipality,95,CITY OF MISSISSAUGA,21005,21102,Mainland,2105,CITY OF,MISSISSAUGA,,REGIONAL MUNICIPALITY OF PEEL,2563,1970-01-01,2017-01-09,2019-04-01,18705,0,0,93,281,33%
67916299,Lower Tier Municipality,95,CITY OF OSHAWA,18013,10101,Mainland,1813,CITY OF,OSHAWA,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,21121,0,0,20,61,33%
67916322,Lower Tier Municipality,95,CITY OF BRAMPTON,21010,21101,Mainland,2110,CITY OF,BRAMPTON,,REGIONAL MUNICIPALITY OF PEEL,2563,1970-01-01,2017-01-09,2019-04-01,19985,0,0,62,194,32%
67916436,Lower Tier Municipality,95,CITY OF WOODSTOCK,32042,37101,Mainland,3242,CITY OF,WOODSTOCK,,COUNTY OF OXFORD,2563,2020-01-21,2020-01-21,2020-01-21,26913,0,0,6,19,32%
67906443,Single Tier Municipality,96,CITY OF QUINTE WEST,12010,51104,Mainland,1204,CITY OF,QUINTE WEST,,,2565,2019-04-01,2019-03-27,2019-04-01,20001,0,0,4,13,31%
67916339,Lower Tier Municipality,95,TOWN OF OAKVILLE,24001,14403,Mainland,2401,TOWN OF,OAKVILLE,,REGIONAL MUNICIPALITY OF HALTON,2563,1970-01-01,2017-01-09,2019-04-01,23233,0,0,26,85,31%
67916344,Lower Tier Municipality,95,CITY OF BURLINGTON,24002,14101,Mainland,2402,CITY OF,BURLINGTON,,REGIONAL MUNICIPALITY OF HALTON,2563,1970-01-01,2017-01-09,2019-04-01,17425,0,0,27,89,30%
67916399,Lower Tier Municipality,95,TOWN OF GRIMSBY,26065,18402,Mainland,2615,TOWN OF,GRIMSBY,,REGIONAL MUNICIPALITY OF NIAGARA,2563,1970-01-01,2017-01-09,2019-04-01,21569,0,0,3,10,30%
67916749,Lower Tier Municipality,95,TOWN OF MIDLAND,43074,70404,Mainland,4374,TOWN OF,MIDLAND,,COUNTY OF SIMCOE,2563,1970-01-01,2017-01-09,2019-04-01,22177,0,0,3,10,30%
67916774,Lower Tier Municipality,95,TOWN OF HUNTSVILLE,44042,33403,Mainland,4442,TOWN OF,HUNTSVILLE,,DISTRICT MUNICIPALITY OF MUSKOKA,2563,1970-01-01,2017-01-09,2019-04-01,24865,0,0,3,10,30%
67916297,Lower Tier Municipality,95,TOWN OF WHITBY,18009,10404,Mainland,1809,TOWN OF,WHITBY,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,19185,0,0,11,37,30%
67916378,Lower Tier Municipality,95,CITY OF NIAGARA FALLS,26043,18101,Mainland,2725,CITY OF,NIAGARA FALLS,,REGIONAL MUNICIPALITY OF NIAGARA,2563,2012-12-07,2017-01-09,2019-04-01,23617,0,0,13,44,30%
67916284,Lower Tier Municipality,95,MUNICIPALITY OF TRENT HILLS,14028,61408,Mainland,1435,MUNICIPALITY OF,TRENT HILLS,,COUNTY OF NORTHUMBERLAND,2563,2019-04-01,2019-03-27,2019-04-01,18945,0,0,2,7,29%
67916301,Lower Tier Municipality,95,MUNICIPALITY OF CLARINGTON,18017,10402,Mainland,1817,MUNICIPALITY OF,CLARINGTON,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,19425,0,0,8,28,29%
67916181,Lower Tier Municipality,95,TOWN OF CARLETON PLACE,9028,55402,Mainland,928,TOWN OF,CARLETON PLACE,,COUNTY OF LANARK,2563,2015-09-25,2017-01-09,2019-04-01,24849,0,0,2,7,29%
67916310,Lower Tier Municipality,95,CITY OF RICHMOND HILL,19038,27404,Mainland,1938,CITY OF,RICHMOND HILL,,REGIONAL MUNICIPALITY OF YORK,2563,2020-10-07,2020-10-07,2020-10-07,28161,0,0,23,82,28%
67916405,Lower Tier Municipality,95,CITY OF KITCHENER,30012,25102,Mainland,3012,CITY OF,KITCHENER,,REGIONAL MUNICIPALITY OF WATERLOO,2563,1970-01-01,2017-01-09,2019-04-01,19841,0,0,28,102,27%
67916282,Lower Tier Municipality,95,MUNICIPALITY OF PORT HOPE,14022,61409,Mainland,1423,MUNICIPALITY OF,PORT HOPE,,COUNTY OF NORTHUMBERLAND,2563,1970-01-01,2017-01-09,2019-04-01,23761,0,0,3,11,27%
67906518,Single Tier Municipality,96,CITY OF PEMBROKE,47064,69101,Mainland,4764,CITY OF,PEMBROKE,,,2565,1970-01-01,2017-01-09,2019-04-01,16577,0,0,3,11,27%
67906447,Single Tier Municipality,96,COUNTY OF PRINCE EDWARD,13002,68101,Mainland,1350,COUNTY OF,PRINCE EDWARD,,,2565,1970-01-01,2021-03-04,2021-03-04,29521,0,0,3,11,27%
67906454,Single Tier Municipality,96,CITY OF GUELPH,23008,75101,Mainland,2308,CITY OF,GUELPH,,,2565,1970-01-01,2017-01-09,2019-04-01,21665,0,0,14,52,27%
67916909,Lower Tier Municipality,95,TOWN OF DEEP RIVER,47096,69402,Mainland,4796,TOWN OF,DEEP RIVER,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,20065,0,0,1,4,25%
67906450,Single Tier Municipality,96,CITY OF KAWARTHA LAKES,16002,72101,Mainland,1651,CITY OF,KAWARTHA LAKES,,,2565,1970-01-01,2017-01-09,2019-04-01,20865,0,0,9,36,25%
67906722,Single Tier Municipality,96,TOWN OF KIRKLAND LAKE,54068,90405,Mainland,5468,TOWN OF,KIRKLAND LAKE,,,2565,1970-01-01,2017-01-09,2019-04-01,21633,0,0,1,4,25%
67916314,Lower Tier Municipality,95,TOWNSHIP OF KING,19049,27603,Mainland,1949,TOWNSHIP OF,KING,,REGIONAL MUNICIPALITY OF YORK,2563,1970-01-01,2017-01-09,2019-04-01,21873,0,0,2,8,25%
67916665,Lower Tier Municipality,95,MUNICIPALITY OF MEAFORD,42047,47406,Mainland,4210,MUNICIPALITY OF,MEAFORD,,COUNTY OF GREY,2563,1970-01-01,2017-01-09,2019-04-01,22801,0,0,1,4,25%
67916629,Lower Tier Municipality,95,TOWN OF SOUTH BRUCE PENINSULA,41053,41407,Mainland,4102,TOWN OF,SOUTH BRUCE PENINSULA,,COUNTY OF BRUCE,2563,1970-01-01,2017-01-09,2019-04-01,22961,0,0,1,4,25%
67906423,Single Tier Municipality,96,TOWN OF PRESCOTT,7008,56302,Mainland,708,TOWN OF,PRESCOTT,,,2565,1970-01-01,2017-01-09,2019-04-01,19217,0,0,1,4,25%
67916072,Lower Tier Municipality,95,TOWNSHIP OF NORTH DUNDAS,1026,71613,Mainland,511,TOWNSHIP OF,NORTH DUNDAS,,"UNITED COUNTIES OF STORMONT, DUNDAS AND GLENGARRY",2563,1970-01-01,2017-01-09,2019-04-01,17697,0,0,1,4,25%
