,name,street,city,postal,X,Y,province,date,link
21,Save-on-Foods Pharmacy #2208 - Clearbrook,Suite 300 - 32700 South Fraser Way,Abbotsford,V2T 4M5,49.0499505,-122.3208453,British Columbia,2021-04-11T16:14:05.895Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
22,Save-On-Foods Pharmacy #904 - Abbotsford,2140 Sumas Way,Abbotsford,V2S 2C7,49.0409989,-122.2693749,British Columbia,2021-04-11T16:14:05.895Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
23,Save-On-Foods Pharmacy #981 - Whatcom,2388 Whatcom Road,Abbotsford,V3G 0C1,49.0452422,-122.2225973,British Columbia,2021-04-11T16:14:05.896Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
24,Shoppers Drug Mart #0205,Suite 143 - 32900 South Fraser Way,Abbotsford,V2S 5A1,49.0498998,-122.3127528,British Columbia,2021-04-11T16:14:05.896Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
25,Shoppers Drug Mart #2241,Unit 1 - 2871 Livingstone Avenue,Abbotsford,V2T 0E2,49.0498924,-122.3614437,British Columbia,2021-04-11T16:14:05.896Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
26,Shoppers Drug Mart #2288,2332 Whatcom Road,Abbotsford,V3G 0C1,49.0440176,-122.2219849,British Columbia,2021-04-11T16:14:05.896Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
27,Townline Pharmacy,#105 - 3670 Townline Road,Abbotsford,V2T 0H2,49.0690436,-122.358861,British Columbia,2021-04-11T16:14:05.896Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
28,Wal-Mart Pharmacy #3019,1812 Vedder Way,Abbotsford,V2S 8K1,49.0348324,-122.2702566,British Columbia,2021-04-11T16:14:05.897Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
29,Wellness Pharmacy #9,102 & 103 2180 Gladwin Rd,Abbotsford,V2S 0H4,49.0404844,-122.3153202,British Columbia,2021-04-11T16:14:05.897Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
30,Winmed Pharmacy,104 - 32450 Simon Ave,Abbotsford,V2T 4J2,49.0527445,-122.3253003,British Columbia,2021-04-11T16:14:05.897Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
31,Agassiz Remedy Rx Pharmacy,7046 Pioneer Avenue,Agassiz,V0M 1A0,49.2386497,-121.7647365,British Columbia,2021-04-11T16:14:05.897Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
32,Shoppers Drug Mart #2133,E. 7130 Pioneer Avenue,Agassiz,V0M 1A0,49.2385151,-121.7627351,British Columbia,2021-04-11T16:14:05.897Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
33,Aldergrove Community Pharmacy,27105 Fraser Hwy,Aldergrove,V4W 3R2,49.0583988,-122.4734585,British Columbia,2021-04-11T16:14:05.898Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
34,FreshCo Pharmacy #4265,27566 Fraser Highway,Aldergrove,V4W 3N5,49.0567756,-122.4608829,British Columbia,2021-04-11T16:14:05.898Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
35,Otter Co-Op Pharmacy,3650 248 Street,Aldergrove,V4W 1X7,49.0679096,-122.5356669,British Columbia,2021-04-11T16:14:05.898Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
36,Save-On-Foods Pharmacy #902 - Aldergrove,26310 Fraser Highway,Aldergrove,V4W 2Z7,49.0586676,-122.4942985,British Columbia,2021-04-11T16:14:05.899Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
37,Shoppers Drug Mart #2266,26310 Fraser Hwy,Aldergrove,V4W 2Z7,49.0586676,-122.4942985,British Columbia,2021-04-11T16:14:05.899Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
38,Cates Medicine Centre,203 - 495 Trunk Rd,Bowen Island,V0N 1G0,49.3794851,-123.3385887,British Columbia,2021-04-11T16:14:05.899Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
39,BC Drugs Pharmacy,9618 Cameron Street,Burnaby,V3J 1M2,49.2527393,-122.8983131,British Columbia,2021-04-11T16:14:05.899Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
40,Bonsor Pharmacy,#107 - 6411 Nelson Avenue,Burnaby,V5H 4H3,49.2255196,-122.994666,British Columbia,2021-04-11T16:14:05.899Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
41,Brentwood Pharmacy,4451 Lougheed Hwy.,Burnaby,V5C 3Z2,49.2667016,-123.0049184,British Columbia,2021-04-11T16:14:05.900Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
42,Burnaby Square Pharmacy,#107 - 7885 6th Street,Burnaby,V3N 3N4,49.2190754,-122.9281755,British Columbia,2021-04-11T16:14:05.900Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
43,Capitol Hill Pharmacy,4655 Hastings Street,Burnaby,V5C 2K6,49.281152,-122.9982649,British Columbia,2021-04-11T16:14:05.900Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
44,Central Park Pharmacy,3963 Kingsway,Burnaby,V5H 1Y7,49.2329626,-123.0166432,British Columbia,2021-04-11T16:14:05.900Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
45,Costco Pharmacy #051,3550 Brighton Avenue,Burnaby,V5A 4W3,49.2512184,-122.9170892,British Columbia,2021-04-11T16:14:05.901Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
46,Costco Pharmacy #548,4500 Still Creek Drive,Burnaby,V5C 0E5,49.2605553,-123.0003108,British Columbia,2021-04-11T16:14:05.901Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
47,Crystal Pharmacy & Medical Supplies,#1611 - 4500 Kingsway,Burnaby,V5H 2A9,49.2287757,-123.0044659,British Columbia,2021-04-11T16:14:05.901Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
48,Dawson Pharmacy,4218 Dawson Street,Burnaby,V5C 0B8,49.2643306,-123.011181,British Columbia,2021-04-11T16:14:05.901Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
49,Edmonds Pharmacy,#105-7315 Edmonds Street,Burnaby,V3N 1A7,49.2187896,-122.9516125,British Columbia,2021-04-11T16:14:05.901Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
50,Enhance RX,302 - 3965 Kingsway Avenue,Burnaby,V5H 1Y8,49.2330144,-123.0166411,British Columbia,2021-04-11T16:14:05.902Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
51,Grace Pharmacy,3835 Sunset Street,Burnaby,V5G 1T4,49.2498896,-123.018769,British Columbia,2021-04-11T16:14:05.902Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
52,Loblaw Pharmacy #1518,1105 - 4700 Kingsway,Burnaby,V5H 4M1,49.2273037,-122.999984,British Columbia,2021-04-11T16:14:05.902Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
53,London Drugs #25-Austin Road,9855 Austin Road,Burnaby,V3J 1N4,49.2510738,-122.8960806,British Columbia,2021-04-11T16:14:05.902Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
54,Medical Pharmacy #48,180 - 3700 North Fraser Way,Burnaby,V5J 5H4,49.2018429,-123.022751,British Columbia,2021-04-11T16:14:05.903Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
55,Medicine Shoppe #292,Unit M41 - 4277 Kingsway,Burnaby,V5H 3Z2,49.232454,-123.009793,British Columbia,2021-04-11T16:14:05.903Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
56,Medicine Shoppe #402,3982 Hastings Street,Burnaby,V5C 6C1,49.280869,-123.0172938,British Columbia,2021-04-11T16:14:05.903Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
57,Peoples Inwell Pharmacy,Unit 1 - 4655 Central Boulevard,Burnaby,V5H 4H7,49.223934,-122.9987009,British Columbia,2021-04-11T16:14:05.903Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
58,Pharmachoice South Slope,5203 Rumble Street,Burnaby,V5J 2B7,49.214987,-122.988172,British Columbia,2021-04-11T16:14:05.903Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
59,Pharmasave #203,8697-10th Avenue,Burnaby,V3N 2S9,49.2312483,-122.9064894,British Columbia,2021-04-11T16:14:05.904Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
60,Pharmasave #278,4367 E. Hastings Street,Burnaby,V5C 2J7,49.2813015,-123.0061915,British Columbia,2021-04-11T16:14:05.904Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
61,Rexall #7163,#140-6200 McKay Avenue,Burnaby,V5H 4L7,49.226705,-123.003935,British Columbia,2021-04-11T16:14:05.904Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
62,Rxcare Pharmacy & Compounding,4695 Canada Way,Burnaby,V5G 1K9,49.2541804,-122.9895543,British Columbia,2021-04-11T16:14:05.904Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
63,Safeway Pharmacy #4911,4440 Hastings Street,Burnaby,V5C 2K2,49.2805558,-123.0043694,British Columbia,2021-04-11T16:14:05.905Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
64,Safeway Pharmacy #4913,6564 Hastings Street,Burnaby,V5B 1S2,49.2793344,-122.9671256,British Columbia,2021-04-11T16:14:05.905Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
65,Save-on-Foods Pharmacy #2228 - Marine Way,7501 Market Crossing,Burnaby,V5J 0A3,49.1984431,-122.9802203,British Columbia,2021-04-11T16:14:05.905Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
66,Save-On-Foods Pharmacy #907 - Highgate,#200 - 7155 Kingsway,Burnaby,V5E 2V1,49.2188293,-122.956931,British Columbia,2021-04-11T16:14:05.905Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
67,Save-on-Foods Pharmacy #996 - Madison,4399 Lougheed Highway,Burnaby,V5C 3Y7,49.2665899,-123.0058826,British Columbia,2021-04-11T16:14:05.905Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
68,Shoppers Drug Mart #0214,6508 East Hastings Street,Burnaby,V5B 1S2,49.2794764,-122.9692854,British Columbia,2021-04-11T16:14:05.906Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
69,Shoppers Drug Mart #0246,4429 Kingsway,Burnaby,V5H 2A1,49.2314984,-123.0049983,British Columbia,2021-04-11T16:14:05.906Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
70,Shoppers Drug Mart #0253,#250 - 7155 Kingsway,Burnaby,V5E 2V1,49.2188444,-122.9553306,British Columbia,2021-04-11T16:14:05.906Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
71,Shoppers Drug Mart #2127,4303 Hastings Street,Burnaby,V5C 2J7,49.2812481,-123.0081604,British Columbia,2021-04-11T16:14:05.906Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
72,Shoppers Drug Mart #2250,Metrotown Centre,Burnaby,V5H 4J2,49.2273037,-122.999984,British Columbia,2021-04-11T16:14:05.906Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
73,Shoppers Drug Mart #2255,104 - 3433 North Road,Burnaby,V3J 0A9,49.2526848,-122.8936899,British Columbia,2021-04-11T16:14:05.907Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
74,Shoppers Drug Mart #2283,4827 Kingsway,Burnaby,V5H 4T6,49.2275067,-122.995882,British Columbia,2021-04-11T16:14:05.907Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
75,Sunset Pharmacy Ltd.,3818 Sunset Street,Burnaby,V5G 1T3,49.24951,-123.019431,British Columbia,2021-04-11T16:14:05.907Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
76,Wal-Mart Pharmacy #1213,4545 Central Blvd,Burnaby,V5H 4J5,49.2250381,-123.0000287,British Columbia,2021-04-11T16:14:05.907Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
77,Wellness Pharmacy No. 13,4838A Hastings Street,Burnaby,V5C 0J7,49.2807811,-122.9941682,British Columbia,2021-04-11T16:14:05.908Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
78,Wescana Pharmacy #6,4012 East Hastings Street,Burnaby,V5C 2H9,49.2809248,-123.0157681,British Columbia,2021-04-11T16:14:05.908Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
79,Cascade Pharmacy,Unit A - 46298 Yale Road,Chilliwack,V2P 2P6,49.1729062,-121.9458898,British Columbia,2021-04-11T16:14:05.908Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
80,Cottonwood Remedy'sRx,100 - 45428 Luckakuck Way,Chilliwack,V2R 3S9,49.1414228,-121.9678342,British Columbia,2021-04-11T16:14:05.909Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
81,FreshCo Pharmacy #4269,45850 Yale Rd W.,Chilliwack,V2P 2N9,49.1660285,-121.9579927,British Columbia,2021-04-11T16:14:05.909Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
82,Garrison Pharmacy,#1 - 45555 Market Way,Chilliwack,V2R 0M5,49.1048401,-121.9634996,British Columbia,2021-04-11T16:14:05.909Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
83,Loblaw Pharmacy #1523,45779 Luckakuck Way,Chilliwack,V2R 4E8,49.1431774,-121.9593959,British Columbia,2021-04-11T16:14:05.909Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
84,Lock's Prescription Pharmacy Ltd.,9181 Main Street,Chilliwack,V2P 4M9,49.1687794,-121.9574833,British Columbia,2021-04-11T16:14:05.909Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
85,London Drugs #41-Chilliwack,#21 45585 Luckakuck Way,Chilliwack,V2R 1A1,49.1430142,-121.9636261,British Columbia,2021-04-11T16:14:05.910Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
86,Pharmasave Health Centre #207,Suite 110 - 9193 Main Street,Chilliwack,V2P 7S5,49.1692321,-121.9572771,British Columbia,2021-04-11T16:14:05.910Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
87,Pro-Health Pharmacy,8999 School Street,Chilliwack,V2P 4L5,49.1656719,-121.9606429,British Columbia,2021-04-11T16:14:05.910Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
88,Pro-Health Pharmacy #2,3 - 8580 Young Road,Chilliwack,V2P 6Z8,49.1536845,-121.9520853,British Columbia,2021-04-11T16:14:05.910Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
89,Rexall #7194,#100 - 9200 Mary Street,Chilliwack,V2P 4H6,49.1693137,-121.9592541,British Columbia,2021-04-11T16:14:05.910Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
90,Safeway Pharmacy #4968,45610 Luckakuck Way,Chilliwack,V2R 1A2,49.1392099,-121.961429,British Columbia,2021-04-11T16:14:05.911Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
91,Sardis Pharmacy,#7 - 7201 Vedder Road,Chilliwack,V2R 4G5,49.1340187,-121.9611789,British Columbia,2021-04-11T16:14:05.912Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
92,Save-on-Foods Pharmacy #2213 - Chilliwack,46020 Yale Road,Chilliwack,V2P 7V2,49.168997,-121.9549263,British Columbia,2021-04-11T16:14:05.913Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
93,Save-On-Foods Pharmacy #952 - Sardis,Unit 31 - 6014 Vedder Road,Chilliwack,V2R 5M4,49.1112913,-121.9579226,British Columbia,2021-04-11T16:14:05.913Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
94,Shoppers Drug Mart #0217,#217 Southgate Shopping Centre,Chilliwack,V2P 2M6,49.1694935,-121.9538859,British Columbia,2021-04-11T16:14:05.913Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
95,Shoppers Drug Mart #2158,110F - 6640 Vedder Rd,Chilliwack,V2R 0J2,49.123571,-121.9591419,British Columbia,2021-04-11T16:14:05.913Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
96,Shoppers Drug Mart #2251,45800 Promontory Road,Chilliwack,V2R 5Z5,49.1110279,-121.9570856,British Columbia,2021-04-11T16:14:05.913Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
97,Super-Care Pharmacy,9225 Main Street,Chilliwack,V2P 4M8,49.1694462,-121.9568768,British Columbia,2021-04-11T16:14:05.914Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
98,Wal-Mart Pharmacy #3167,8249 Eagle Landing Pky,Chilliwack,V2R 0P9,49.1527571,-121.9781437,British Columbia,2021-04-11T16:14:05.914Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
99,Wellness Pharmacy No. 12,"100 & 101, 9123 Mary Street",Chilliwack,V2P 4H7,49.167811,-121.9609401,British Columbia,2021-04-11T16:14:05.914Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
100,Yale Road Pharmacy,Unit 101 - 46198 Yale Road,Chilliwack,V2P 2P1,49.171408,-121.950671,British Columbia,2021-04-11T16:14:05.914Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
101,Evergreen Pharmacy,#104 - 1168 The High Street,Coquitlam,V3B 0C6,49.28252,-122.796406,British Columbia,2021-04-11T16:14:05.914Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
102,Glen Pharmacy,208 - 1175 Johnson Street,Coquitlam,V3B 7K1,49.2824033,-122.8004664,British Columbia,2021-04-11T16:14:05.915Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
103,Guardian Hanin Pharmacy,210 - 329 North Rd,Coquitlam,V3K 3V8,49.2460053,-122.89161,British Columbia,2021-04-11T16:14:05.915Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
104,Lifecare Pharmacy,#101 - 1106 Austin Avenue,Coquitlam,V3K 3P5,49.2487747,-122.861568,British Columbia,2021-04-11T16:14:05.915Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
105,Lincoln Pharmacy & Coquitlam Travel Clinic,137 - 3030 Lincoln Ave,Coquitlam,V3B 6B4,49.2787537,-122.7918612,British Columbia,2021-04-11T16:14:05.915Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
106,Loblaw Pharmacy #1519,1301 Lougheed Highway,Coquitlam,V3K 6P9,49.234806,-122.8568299,British Columbia,2021-04-11T16:14:05.916Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
107,Loblaw Pharmacy #1526,3000 Lougheed Highway,Coquitlam,V3B 1C5,49.2735552,-122.7933019,British Columbia,2021-04-11T16:14:05.916Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
108,Loblaw Pharmacy #4596,455 North Road,Coquitlam,V3K 3V9,49.2483986,-122.8915381,British Columbia,2021-04-11T16:14:05.916Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
109,London Drugs #15-Port Coquitlam,Centre Coquitlam,Coquitlam,V3B 5R5,49.279691,-122.7986221,British Columbia,2021-04-11T16:14:05.916Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
110,Mary's Pharmacy,Suite 201B - 1194 Lansdowne Drive,Coquitlam,V3E 1J7,49.2836007,-122.8101647,British Columbia,2021-04-11T16:14:05.917Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
111,Medicine Shoppe Pharmacy #254,#53 - 2991 Lougheed Highway,Coquitlam,V3B 6J6,49.2772689,-122.7944244,British Columbia,2021-04-11T16:14:05.917Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
112,Mediglen Pharmacy & Compounding,102 -1173 The High Street,Coquitlam,V3B 0B1,49.2823668,-122.7963962,British Columbia,2021-04-11T16:14:05.917Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
113,Oh Pharmacy,#100 A - 504 Cottonwood Ave.,Coquitlam,V3J 2R5,49.2585709,-122.8925857,British Columbia,2021-04-11T16:14:05.917Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
114,Pacific Prescriptions & Medical Supplies No. 2,#110 - 3001 Gordon Avenue,Coquitlam,V3C 2K7,49.2719903,-122.7931028,British Columbia,2021-04-11T16:14:05.917Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
115,Pharmasave #102,1109 Austin Avenue,Coquitlam,V3K 3P4,49.2493883,-122.8617573,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
116,Pinetree Pharmacy,#103 - 3007 Glen Drive,Coquitlam,V3B 0L8,49.2830231,-122.7940489,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
117,Rexall #7110,Suite 108 - 1015 Austin Avenue,Coquitlam,V3K 3N9,49.2491809,-122.8667603,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
118,Safeway Pharmacy #4977,Unit 100 - 580 Clarke Road,Coquitlam,V3J 3X5,49.2626119,-122.8878356,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
119,Save-On-Foods Pharmacy #991 - Austin,2662 Austin Avenue,Coquitlam,V3K 6C4,49.2485713,-122.8175856,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
120,Save-on-Foods Pharmacy #998 - Pinetree,2991 Lougheed Highway,Coquitlam,V3B 6J6,49.2772689,-122.7944244,British Columbia,2021-04-11T16:14:05.918Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
121,Shoppers Drug Mart #0231,#108 1960 Como Lake Road,Coquitlam,V3J 3R3,49.2631235,-122.8403149,British Columbia,2021-04-11T16:14:05.919Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
122,Shoppers Drug Mart #0251,107 - 552 Clarke Road,Coquitlam,V3J 3X5,49.260653,-122.89105,British Columbia,2021-04-11T16:14:05.919Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
123,Shoppers Drug Mart #2112,102 - 3387 David Ave,Coquitlam,V3E 0K4,49.2934728,-122.7556737,British Columbia,2021-04-11T16:14:05.919Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
124,Shoppers Drug Mart #2203,# 810 - 3025 Lougheed Highway,Coquitlam,V3B 6S2,49.2762005,-122.793626,British Columbia,2021-04-11T16:14:05.919Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
125,Bains Pharmacy Ltd.,8681 - 120 Street,Delta,V4C 6R4,49.1609857,-122.8922894,British Columbia,2021-04-11T16:14:05.919Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
