name,street,city,province,postal,Public Health Unit,X,Y,date
Carriage Crossing Pharmacy,"105 Oak Park Drive, Unit 4",Waterloo,Ontario,N2K 0B3,"Region of Waterloo, Public Health",43.5216075,-80.4983388,2021-06-21
Cassandra Pharmacy,2040 Victoria Park Avenue,Toronto,Ontario,M1R 1V2,,43.7524704,-79.3140955,2021-06-22
CATP Kingston,7 Hickson Avenue,Kingston,Ontario,K7K 2N4,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2532378,-76.4852017,2021-06-23
Cedarview Guardian Pharmacy,"4100 Strandherd Drive, Unit 112",Nepean,Ontario,K2J 0V2,Ottawa Public Health,45.2603845,-75.7684158,2021-06-24
Central Drug Mart,"5415 Tecumseh Road East, Unit 501",Windsor,Ontario,N8T 1C5,Windsor-Essex County Health Unit,42.3083012,-82.9589626,2021-06-25
Central Drug Mart Pharmachoice,250 Erie Street South,Leamington,Ontario,N8H 3C2,Windsor-Essex County Health Unit,42.0393337,-82.5986993,2021-06-26
Centrepointe Gabriel Drugs,117 Centrepointe Drive,Nepean,Ontario,K2G 5X3,Ottawa Public Health,45.3429403,-75.7624942,2021-06-27
Charlolais Pharmacy,305 Charolais Boulevard,Brampton,Ontario,L6Y 2R2,Peel Public Health,43.6587437,-79.7498416,2021-06-28
City Pharmacy Remedy's Rx,238 Danforth Avenue,Toronto,Ontario,M4K 1N4,Toronto Public Health,43.6770696,-79.3553891,2021-06-29
Clear View Pharmacy,"1140 Winston Churchill Boulevard, Unit A6",Oakville,Ontario,L6J 0A3,Halton Region Health Department,43.4991677,-79.6502461,2021-06-30
Clinic Pharmacy,76 Stuart Street,Kingston,Ontario,K7L 2V7,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2237426,-76.4935185,2021-07-01
Clinic Pharmacy,117 King Street East,Oshawa,Ontario,L1H 1B9,Durham Region Health Department,43.8983198,-78.8594526,2021-07-02
Clinicplus I.D.A. Pharmacy,"10 Neighbourhood Lane, Unit 103",Etobicoke,Ontario,M8Y 0C5,Toronto Public Health,43.6375362,-79.4886262,2021-07-03
Coby Pharmacy,Main Street 6662 Highway 35,Coboconk,Ontario,K0M 1K0,,44.6589535,-78.797323,2021-07-04
Cook's Pharmacy,"1450 Block Line Road, Unit 201",Kitchener,Ontario,N2C 0A5,"Region of Waterloo, Public Health",43.419017,-80.469675,2021-07-05
Cook's Pharmacy,1201 Queens Bush Road,Wellesley,Ontario,N0B 2T0,"Region of Waterloo, Public Health",43.4776992,-80.7646333,2021-07-06
Cookstown Pharmasave,52 Queen Street West,Cookstown,Ontario,L0L 1L0,Simcoe Muskoka District Health Unit,44.1894746,-79.7088314,2021-07-07
Copper Ridge IDA Pharmacy,"8015 Financial Drive, Unit B2",Brampton,Ontario,L6Y 0B4,Peel Public Health,43.6335496,-79.77034,2021-07-08
Costco Pharmacy,55 New Huntington Road,Woodbridge,Ontario,L4H 0P5,York Region Public Health Services,43.7706293,-79.6382803,2021-07-09
Costco Pharmacy,150 Kingston Road East,Ajax,Ontario,L1Z 1E5,Durham Region Health Department,43.8645341,-79.0189464,2021-07-10
Costco Pharmacy,100 Legend Court,Ancaster,Ontario,L9K 1J3,Hamilton Public Health Services,43.2300005,-79.9469005,2021-07-11
Costco Pharmacy,41 Maple View Drive East,Barrie,Ontario,L4N 9A9,Simcoe Muskoka District Health Unit,44.3346476,-79.6814322,2021-07-12
Costco Pharmacy,100 Biscayne Crescent,Brampton,Ontario,L6W 4S1,Peel Public Health,43.6834157,-79.7122661,2021-07-13
Costco Pharmacy,1225 Brant Street,Burlington,Ontario,L7P 1X7,Halton Region Health Department,43.3435508,-79.8246322,2021-07-14
Costco Pharmacy,18182 Yonge Street,East Gwillimbury,Ontario,L9N 0J3,York Region Public Health Services,44.0728251,-79.4848989,2021-07-15
Costco Pharmacy,50 Queen Elizabeth Boulevard,Etobicoke,Ontario,M8Z 1M1,Toronto Public Health,43.6234511,-79.5076464,2021-07-16
Costco Pharmacy,1405 Blair Towers Place,Gloucester,Ontario,K1J 1A5,Ottawa Public Health,45.4349421,-75.6034548,2021-07-17
Costco Pharmacy,19 Elmira Road South,Guelph,Ontario,N1K 0B6,Wellington-Dufferin-Guelph Health Unit,43.522647,-80.2950195,2021-07-18
Costco Pharmacy,770 Silver Seven Road,Kanata,Ontario,K2V 1A5,Ottawa Public Health,45.3026258,-75.9131164,2021-07-19
Costco Pharmacy,1015 Centennial Drive,Kingston,Ontario,K7P 3B7,"Kingston, Frontenac and Lennox & Addington Health Unit",44.26018,-76.5603925,2021-07-20
Costco Pharmacy,4438 King Street East,Kitchener,Ontario,N2P 2G4,"Region of Waterloo, Public Health",43.4073556,-80.3914382,2021-07-21
Costco Pharmacy,4313 Wellington Road South,London,Ontario,N6E 2Z8,Middlesex-London Health Unit,42.9193074,-81.2121683,2021-07-22
Costco Pharmacy,693 Wonderland Road North,London,Ontario,N6H 4L1,Middlesex-London Health Unit,42.9875085,-81.2928291,2021-07-23
Costco Pharmacy,1 Yorktech Drive,Markham,Ontario,L6G 1A6,York Region Public Health Services,43.8457215,-79.3539481,2021-07-24
Costco Pharmacy,65 Kirkham Drive,Markham,Ontario,L3S 0A9,York Region Public Health Services,43.8514712,-79.2505772,2021-07-25
Costco Pharmacy,1570 Dundas Street East,Mississauga,Ontario,L4X 1L4,Peel Public Health,43.6103032,-79.5759717,2021-07-26
Costco Pharmacy,3180 Laird Road,Mississauga,Ontario,L5L 6A2,Peel Public Health,43.521047,-79.6889729,2021-07-27
Costco Pharmacy,5900 Rodeo Drive,Mississauga,Ontario,L5R 3S9,Peel Public Health,43.6121428,-79.6903758,2021-07-28
Costco Pharmacy,4315 Strandherd Drive,Nepean,Ontario,K2J 6E5,Ottawa Public Health,45.2684597,-75.7843783,2021-07-29
Costco Pharmacy,7500 Pin Oak Drive,Niagara Falls,Ontario,L2H 2E9,Niagara Region Public Health Department,43.0653121,-79.1262894,2021-07-30
Costco Pharmacy,100 Billy Bishop Way,North York,Ontario,M3K 2C8,Toronto Public Health,43.7310297,-79.4559733,2021-07-31
Costco Pharmacy,130 Ritson Road,Oshawa,Ontario,L1G 0A6,Durham Region Health Department,43.9029808,-78.85702,2021-08-01
Costco Pharmacy,1849 Merivale Road,Ottawa,Ontario,K2G 1E3,Ottawa Public Health,45.3377624,-75.7224261,2021-08-02
Costco Pharmacy,485 The Parkway,Peterborough,Ontario,K9J 2A1,Peterborough Public Health,44.2723188,-78.340485,2021-08-03
Costco Pharmacy,35 John Birchall Road,Richmond Hill,Ontario,L4S 0B2,York Region Public Health Services,43.9017003,-79.3908343,2021-08-04
Costco Pharmacy,1411 Warden Avenue,Scarborough,Ontario,M1R 2S3,Toronto Public Health,43.7594111,-79.2976102,2021-08-05
Costco Pharmacy,1330 South Service Road,Stoney Creek,Ontario,L8E 5C5,Hamilton Public Health Services,43.2152594,-79.642842,2021-08-06
Costco Pharmacy,42 Overlea Boulevard,Thorncliffe Park,Ontario,M4H 1B8,Toronto Public Health,43.707102,-79.3480393,2021-08-07
Costco Pharmacy,930 Erb Street West RR 3,Waterloo,Ontario,N2J 3Z4,"Region of Waterloo, Public Health",43.4453954,-80.579634,2021-08-08
Costco Pharmacy,4411 Walker Road,Windsor,Ontario,N9A 6J3,Windsor-Essex County Health Unit,42.2550804,-82.9656139,2021-08-09
Costco Pharmacy,587 Hanlan Road,Woodbridge,Ontario,L4L 4R8,York Region Public Health Services,43.7721385,-79.5466855,2021-08-10
Costco Pharmacy,71 Colossus Drive,Woodbridge,Ontario,L4L 9J8,York Region Public Health Services,43.78574,-79.5417277,2021-08-11
Costo Pharmacy,625 University Avenue,Orillia,Ontario,L3V 0Y7,Simcoe Muskoka District Health Unit,44.5946681,-79.4536549,2021-08-12
Coulter's Guardian Pharmacy,1709 Dundas Street,London,Ontario,N5W 3E1,Middlesex-London Health Unit,43.0015728,-81.1862257,2021-08-13
Country Hills Pharmacy,"153 Country Hill Drive, Unit 5",Kitchener,Ontario,N2E 2G7,"Region of Waterloo, Public Health",43.4136656,-80.4722297,2021-08-14
Courtice Pharmasave,2727 Courtice Road,Courtice,Ontario,L1E 3A2,Durham Region Health Department,43.9117005,-78.7766422,2021-08-15
Coward Pharmacy,165 Broadway,Tillsonburg,Ontario,N4G 3P9,Southwestern Public Health,42.8610907,-80.7289126,2021-08-16
Credit Ridge Remedy’s Rx Pharmacy,"9525 Mississauga Road, Unit 7",Brampton,Ontario,L6X 0Z8,Peel Public Health,43.658418,-79.8169362,2021-08-17
Creditview IDA Pharmacy,"11210 Creditview Road, Unit D",Brampton,Ontario,L7A 4X3,,43.6972877,-79.8487932,2021-08-18
Crescent Park Pharmacy,"1264 Garrison Road, Unit 5",Fort Erie,Ontario,L2A 1P1,Niagara Region Public Health Department,42.9052732,-78.9619671,2021-08-19
Crown Pointe Pharmacy,"900 Watters Road, Unit 13",Orleans,Ontario,K4A 0B4,Ottawa Public Health,45.4824857,-75.4745687,2021-08-20
Cumberland Pharmacy,"131 Kennedy Road North, Unit 2",Brampton,Ontario,L6V 1X9,Peel Public Health,43.70261,-79.759341,2021-08-21
Dales Pharmacy,377 Church Street,Markham,Ontario,L6B 1A1,York Region Public Health Services,43.8844932,-79.2324101,2021-08-22
Dales Pharmacy,8200 Bayview Avenue,Thornhill,Ontario,L3T 2S2,,43.8318539,-79.4054078,2021-08-23
Dawson Heights Pharmacy,109 Regina Avenue,Thunder Bay,Ontario,P7B 5B4,Thunder Bay,48.4512623,-89.2553546,2021-08-24
Delaware Pharmacy,11569 Longwoods Road,Delaware,Ontario,N0L 1E0,Middlesex-London Health Unit,42.9074762,-81.4205796,2021-08-25
Demarco Pharmacy,2394 Keele Street,Toronto,Ontario,M6M 4A5,,43.7082127,-79.4781558,2021-08-26
Dini IDA Pharmacy,"785 Wonderland Road South, Unit C2",London,Ontario,N6K 1M6,Middlesex-London Health Unit,42.9477909,-81.2923131,2021-08-27
Division Pharmacy,"472 Division Street, Unit 2",Kingston,Ontario,K7K 4B1,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2422699,-76.49576,2021-08-28
Dixie 5 Pharmacy,1185 Dundas Street East,Mississauga,Ontario,L4Y 2C6,,43.6053492,-79.5895341,2021-08-29
Dixon Medical Pharmacy,"531 Davis Drive, Unit 106",Newmarket,Ontario,L3Y 6P5,York Region Public Health Services,44.0605684,-79.4563689,2021-08-30
Doon Mills Pharmacy,"260 Doon South Drive, Unit 4",Kitchener,Ontario,N2P 2L8,"Region of Waterloo, Public Health",43.3819193,-80.4276536,2021-08-31
Downtown Windsor Pharmacy,100 Park Street West,Windsor,Ontario,N9A 7A5,Windsor-Essex County Health Unit,42.3162631,-83.0394787,2021-09-01
Drayton Pharmacy,10 Wellington Street North,Drayton,Ontario,N0G 1P0,Wellington-Dufferin-Guelph Health Unit,43.7552315,-80.6714667,2021-09-02
Drug Smart Pharmacy,"200 Windflower Gate, Unit 700",Woodbridge,Ontario,L4L 9L3,York Region Public Health Services,43.7916316,-79.5538902,2021-09-03
Drug Store Pharmacy,30B Beaver Avenue,Beaverton,Ontario,L0K 1A0,Durham Region Health Department,44.428141,-79.1251,2021-09-04
Drug Store Pharmacy,35 Worthington Avenue,Brampton,Ontario,L7A 2Y7,Peel Public Health,43.6836958,-79.8154916,2021-09-05
Drug Store Pharmacy,1530 Albion Road,Etobicoke,Ontario,M9V 1B4,Toronto Public Health,43.7416936,-79.5843728,2021-09-06
Drug Store Pharmacy,62 Thames Road East,Exeter,Ontario,N0M 1S3,Huron Perth Health Unit,43.363415,-81.481237,2021-09-07
Drug Store Pharmacy,7 Baseline Road East,London,Ontario,N6C 5Z8,Middlesex-London Health Unit,42.9578,-81.2599,2021-09-08
Drug Store Pharmacy,9305 Highway 48,Markham,Ontario,L6E 0E6,York Region Public Health Services,43.8955939,-79.2639349,2021-09-09
Drug Store Pharmacy,1250 South Service Road,Mississauga,Ontario,L5E 1V4,,43.5930256,-79.5689483,2021-09-10
Drug Store Pharmacy,1244 Highway 21,Port Elgin,Ontario,N0H 2C0,Grey-Bruce Health Unit,44.4534646,-81.3759155,2021-09-11
Drug Store Pharmacy,25 Photography Drive,Toronto,Ontario,M6M 0A1,,43.686662,-79.4839226,2021-09-12
Drugcare Pharmacy,"2563 Major Mackenzie Drive, Unit 10",Maple,Ontario,L6A 2E8,York Region Public Health Services,43.851878,-79.522317,2021-09-13
Drugsmart Pharmacy,234 Dovedale Drive,Keswick,Ontario,L4P 0H3,York Region Public Health Services,44.2204744,-79.4485566,2021-09-14
Drugstore Pharmacy,54 Wilson Street West,Ancaster,Ontario,L9G 1N2,Hamilton Public Health Services,43.2153311,-79.9893781,2021-09-15
Drugstore Pharmacy,620 Yonge Street,Barrie,Ontario,L4N 4E5,Simcoe Muskoka District Health Unit,44.3552065,-79.6486316,2021-09-16
Drugstore Pharmacy,55 Mountainash Road,Brampton,Ontario,L6R 1W4,Peel Public Health,43.7602745,-79.7299534,2021-09-17
Drugstore Pharmacy,70 Clementine Drive,Brampton,Ontario,L6Y 0L8,Peel Public Health,43.6451692,-79.7550584,2021-09-18
Drugstore Pharmacy,60 Quarry Edge Drive,Brampton,Ontario,L6V 1K2,Peel Public Health,43.7077189,-79.7825675,2021-09-19
Drugstore Pharmacy,410 Fairview Drive,Brantford,Ontario,N3R 7N7,Brant County Health Unit,43.1712173,-80.2495657,2021-09-20
Drugstore Pharmacy,800 Towers Street South,Fergus,Ontario,N1M 2R3,Wellington-Dufferin-Guelph Health Unit,43.69811,-80.3687829,2021-09-21
Drugstore Pharmacy,1045 Paisley Road,Guelph,Ontario,N1K 1X6,Wellington-Dufferin-Guelph Health Unit,43.5224689,-80.2894468,2021-09-22
Drugstore Pharmacy,160 Kortright Road West,Guelph,Ontario,N1G 4W2,Wellington-Dufferin-Guelph Health Unit,43.5137432,-80.2181014,2021-09-23
Drugstore Pharmacy,5121 County Road 21,Haliburton,Ontario,K0M 1S0,"Haliburton, Kawartha, Pine Ridge District Health Unit",45.045947,-78.534552,2021-09-24
Drugstore Pharmacy,760 Eagleson Road,Kanata,Ontario,K2M 0A7,Ottawa Public Health,45.2827189,-75.8665256,2021-09-25
Drugstore Pharmacy,750 Ottawa Street South,Kitchener,Ontario,N2E 1B6,"Region of Waterloo, Public Health",43.4237858,-80.4873985,2021-09-26
Drugstore Pharmacy,599 Fanshawe Park Road West,London,Ontario,N6G 5B3,Middlesex-London Health Unit,43.0202323,-81.3097654,2021-09-27
Drugstore Pharmacy,5970 Mclaughlin Road,Mississauga,Ontario,L5R 3X9,Peel Public Health,43.6146565,-79.6886222,2021-09-28
Drugstore Pharmacy,6085 Creditview Road,Mississauga,Ontario,L5V 2A8,,43.5994406,-79.7132567,2021-09-29
Drugstore Pharmacy,3050 Argentia Road,Mississauga,Ontario,L5N 8E1,Peel Public Health,43.5953804,-79.7856304,2021-09-30
Drugstore Pharmacy,3777 Strandherd Drive,Nepean,Ontario,K2J 4B1,Ottawa Public Health,45.2681524,-75.7466046,2021-10-01
Drugstore Pharmacy,289 Coldwater Road,Orillia,Ontario,L3V 6J3,Simcoe Muskoka District Health Unit,44.6081399,-79.4378947,2021-10-02
Drugstore Pharmacy,70 Island Road,Scarborough,Ontario,M1C 2P5,Toronto Public Health,43.7982135,-79.1412713,2021-10-03
Drugstore Pharmacy,101 Second Line,Shelburne,Ontario,L9V 3J4,Wellington-Dufferin-Guelph Health Unit,44.0807694,-80.1870706,2021-10-04
Drugstore Pharmacy,323 Toronto Street South,Uxbridge,Ontario,L9P 1N2,Durham Region Health Department,44.0896959,-79.1308162,2021-10-05
Drugstore Pharmacy,100 McArthur Avenue,Vanier,Ontario,K1L 6P9,Ottawa Public Health,45.4309319,-75.6654104,2021-10-06
Drugstore Pharmacy,2911 Major Mackenzie Drive,Vaughan,Ontario,L6A 3N9,York Region Public Health Services,43.8492237,-79.5327694,2021-10-07
Drumbo Pharmacy,4 Wilmot Street North,Drumbo,Ontario,N0J 1G0,Southwestern Public Health,43.2369456,-80.5525924,2021-10-08
Dukh Bhanjan Pharmacy,"475 Charolais Boulevard, Unit B5",Brampton,Ontario,L6Y 0M2,Peel Public Health,43.6510185,-79.7584448,2021-10-09
Dundalk Village Pharmacy,1 Main Street East,Dundalk,Ontario,N0C 1B0,Wellington-Dufferin-Guelph Health Unit,44.1685088,-80.3923103,2021-10-10
Dundas Neyagawa Pharmacy,479 Dundas Street West,Oakville,Ontario,L6M 1L9,Halton Region Health Department,43.4669318,-79.7444098,2021-10-11
Dundas West Village Pharmacy,2940 Dundas Street West,Toronto,Ontario,M6P 1Y8,Toronto Public Health,43.6656136,-79.4675601,2021-10-12
Durham Drug Store,780 Kingston Road,Pickering,Ontario,L1V 0C5,Durham Region Health Department,43.8220295,-79.112337,2021-10-13
Durham Pharmacy,462 Paxton Street,Port Perry,Ontario,L9L 1L9,Durham Region Health Department,44.1041545,-78.9538813,2021-10-14
Dynasty Pharmacy,"5460 Yonge Street, Unit 106",North York,Ontario,M2N 6K7,Toronto Public Health,43.7774281,-79.4155611,2021-10-15
East York Pharmasave,"840 Coxwell Avenue, Unit 102",Toronto,Ontario,M4C 5T2,Toronto Public Health,43.6900078,-79.326603,2021-10-16
Elgin Drugs,14 Main Street,Elgin,Ontario,K0G 1E0,"Leeds,Grenville, and Lanark District Health Unit",44.6083417,-76.2217937,2021-10-17
Elora Apothecary,"115 Geddes Street, Unit B",Elora,Ontario,N0B 1S0,Wellington-Dufferin-Guelph Health Unit,43.683628,-80.4303485,2021-10-18
Embrun Remedy's Rx,753 Notre Dame Street,Embrun,Ontario,K0A 1W0,Eastern Ontario Health Unit,45.2684141,-75.3036791,2021-10-19
Enhanced Care Phcy Thornhill,7335 Yonge Street,Thornhill,Ontario,L3T 2B2,York Region Public Health Services,43.8061875,-79.4221179,2021-10-20
Erin Mills IDA Pharmacy,4099 Erin Mills Parkway,Mississauga,Ontario,L5L 3P9,,43.5509635,-79.6875701,2021-10-21
Erindale Medical Pharmacy,1101 Mcbride Avenue,Mississauga,Ontario,L5C 1M6,Peel Public Health,43.562699,-79.6511316,2021-10-22
Eustace Pharmasave,936 Lake Drive East,Jackson's Point,Ontario,L0E 1L0,York Region Public Health Services,44.3225977,-79.3709748,2021-10-23
Evans Medical Pharmacy,1194 Karn Place,Ottawa,Ontario,K1H 7Z8,Ottawa Public Health,45.3802608,-75.6691534,2021-10-24
Excellent Care Pharmacy,386 Daniel Street South,Arnprior,Ontario,K7S 3G9,Renfrew County and District Health Unit,45.4237347,-76.3680964,2021-10-25
