name,street,city,postal,province,date,link
AQUA RX PHARMACY ,10608 105 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.539Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ARX PHARMACY & HOMECARE ,6730 75 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.539Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ASPEN PHARMACY ,955-3890 SHERWOOD DR,SHERWOOD PARK,,Alberta,2021-04-11T18:09:24.540Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ASPIRE REMEDY'S RX PHARMACY ,120-2810 BREMNER AVE,RED DEER,,Alberta,2021-04-11T18:09:24.540Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ATHABASCA VALUE DRUG MART ,4911 50 ST,ATHABASCA,,Alberta,2021-04-11T18:09:24.541Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
AVENIDA PHARMACY ,309-12445 LAKE FRASER DR SE,CALGARY,,Alberta,2021-04-11T18:09:24.541Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BALKWILL PHARMACY LTD. ,223 MAIN ST,TROCHU,,Alberta,2021-04-11T18:09:24.541Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BALSAM PHARMACY ,104-10430 61 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.541Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BALWIN PHARMACY ,17-8103 127 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.542Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BARRHEAD PEOPLES PHARMACY ,B-5120 50 ST,BARRHEAD,,Alberta,2021-04-11T18:09:24.542Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BASSANO PHARMACY ,401 2 AVE,BASSANO,,Alberta,2021-04-11T18:09:24.542Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEACON PHARMACY ,107-1213 4 ST SW,CALGARY,,Alberta,2021-04-11T18:09:24.543Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEARSPAW FAMILY PHARMACY ,1929 105 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.543Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEAUMONT CENTRE PHARMACY ,5003 50 AVE,BEAUMONT,,Alberta,2021-04-11T18:09:24.543Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEAUMONT MEDX DRUGS ,108-6202 29 AVE,BEAUMONT,,Alberta,2021-04-11T18:09:24.543Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEHEALTHY PHARMACY ,10120 149 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.544Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEISEKER PHARMACY ,205 6 ST,BEISEKER,,Alberta,2021-04-11T18:09:24.544Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BENTLEY IDA ,5018 50 AVE,BENTLEY,,Alberta,2021-04-11T18:09:24.544Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BERWYN PHARMACY LTD ,5115 51 ST,BERWYN,,Alberta,2021-04-11T18:09:24.545Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BETTER LIFE HOME MEDICAL ,14250 85 AVE,EDMONTON,,Alberta,2021-04-11T18:09:24.545Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEVERLY PHARMACY ,4243 118 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.545Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BEVERLY TOWNE PHARMACY ,11730 34 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.546Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BIOSCRIPT PHARMACY ,120-3510 29 ST NE,CALGARY,,Alberta,2021-04-11T18:09:24.546Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BISHOP'S CROSSING PHARMACY & TRAVEL CLINIC ,300B-1212 5 ST SE,HIGH RIVER,,Alberta,2021-04-11T18:09:24.546Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BLACKFALDS PHARMACY ,4916 BROADWAY AVE,BLACKFALDS,,Alberta,2021-04-11T18:09:24.546Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BLUE QUILL PHARMACY ,108-2841 109 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.547Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BON ACCORD PHARMACY ,4948 50 AVE,BON ACCORD,,Alberta,2021-04-11T18:09:24.547Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BONAVENTURE PHARMACY ,101-12427 BONAVENTURE DR SE,CALGARY,,Alberta,2021-04-11T18:09:24.547Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOW ISLAND APPLE DRUGS ,502 1 ST W,BOW ISLAND,,Alberta,2021-04-11T18:09:24.548Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOWDEN GUARDIAN PHARMACY ,BAY 4-2002 20 AVE,BOWDEN,,Alberta,2021-04-11T18:09:24.548Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOYLAN PHARMASAVE #315 ,1-1224 STRACHAN RD SE,MEDICINE HAT,,Alberta,2021-04-11T18:09:24.548Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOYLE MCCAULEY PHARMACY & HOME HEALTH CARE ,10817 95 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.548Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOYLE PHARMACY ,10608 97 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.549Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOYLE RX DRUG MART ,5118 3 ST,BOYLE,,Alberta,2021-04-11T18:09:24.549Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BOYLE STREET MEDX DRUGS ,10306 95 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.550Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRAGG CREEK PHARMACY ,20 WHITE AVE,BRAGG CREEK,,Alberta,2021-04-11T18:09:24.550Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRENTWOOD PHARMASAVE ,101-50 BRENTWOOD BLVD,SHERWOOD PARK,,Alberta,2021-04-11T18:09:24.551Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRETON IDA ,5031 50 AVE,BRETON,,Alberta,2021-04-11T18:09:24.551Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRIDGEDALE PHARMACY ,1010 1 AVE NE,CALGARY,,Alberta,2021-04-11T18:09:24.552Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRIDLEWOOD PHARMACY ,95-2525 BRIDLECREST WAY SW,CALGARY,,Alberta,2021-04-11T18:09:24.552Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRINTNELL PHARMACY & TRAVEL CLINIC ,3-4303 167 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.553Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRITTANIA PHARMACY ,809 49 AVE SW,CALGARY,,Alberta,2021-04-11T18:09:24.553Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
BRUDERHEIM PHARMACY ,4901 QUEEN ST,BRUDERHEIM,,Alberta,2021-04-11T18:09:24.553Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #10 ,8220 CENTRE ST NE,CALGARY,,Alberta,2021-04-11T18:09:24.554Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #13 ,35 CROWFOOT WAY NW,CALGARY,,Alberta,2021-04-11T18:09:24.554Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #14 ,100-250 SHAWVILLE BLVD SE,CALGARY,,Alberta,2021-04-11T18:09:24.554Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #19 ,100-2700 MAIN ST,AIRDRIE,,Alberta,2021-04-11T18:09:24.555Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #20 ,1000-11595 ROCKYVALLEY DR NW,CALGARY,,Alberta,2021-04-11T18:09:24.556Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #21-WEST SPRINGS ,100-917 85 ST SW,CALGARY,,Alberta,2021-04-11T18:09:24.556Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #23 ,410-163 QUARRY PARK BLVD SE,CALGARY,,Alberta,2021-04-11T18:09:24.557Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #24 ,100-1220 1 ST SE,HIGH RIVER,,Alberta,2021-04-11T18:09:24.557Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #25 ,100 EDGEFIELD PL,STRATHMORE,,Alberta,2021-04-11T18:09:24.558Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #3 ,8818 MACLEOD TR SE,CALGARY,,Alberta,2021-04-11T18:09:24.558Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #4 ,4122 BRENTWOOD RD NW,CALGARY,,Alberta,2021-04-11T18:09:24.558Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #5 ,3330 17 AVE SE,CALGARY,,Alberta,2021-04-11T18:09:24.558Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #6 ,4940 RICHMOND RD SW,CALGARY,,Alberta,2021-04-11T18:09:24.559Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #7 ,5505 SHAGANAPPI TR NW,CALGARY,,Alberta,2021-04-11T18:09:24.559Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #8 ,2580 SOUTHLAND DR SW,CALGARY,,Alberta,2021-04-11T18:09:24.560Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY CO-OP PHARMACY #9 ,2520 52 ST NE,CALGARY,,Alberta,2021-04-11T18:09:24.561Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY DRUG MART ,E13-10 RICHARD WAY SW,CALGARY,,Alberta,2021-04-11T18:09:24.561Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY DRUG MART #02 ,2-4100 MARLBOROUGH DR NE,CALGARY,,Alberta,2021-04-11T18:09:24.562Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CALGARY DRUG MART #04 ,4-5008 WHITEHORN DR NE,CALGARY,,Alberta,2021-04-11T18:09:24.562Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CAMBRIAN PHARMACY ,9-728 NORTHMOUNT DR NW,CALGARY,,Alberta,2021-04-11T18:09:24.562Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CANORA PHARMACY ,15803 100A AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.563Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CANYON DRIVE PHARMACY ,234-12100 MACLEOD TRSE,CALGARY,,Alberta,2021-04-11T18:09:24.563Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CAPSULE PHARMACY IDA ,110-1011 1 ST SW,CALGARY,,Alberta,2021-04-11T18:09:24.563Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CARDSTON REMEDY'S RX PHARMACY ,321 MAIN ST,CARDSTON,,Alberta,2021-04-11T18:09:24.564Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CARDSTON VALUE DRUG MART ,237 MAIN ST,CARDSTON,,Alberta,2021-04-11T18:09:24.564Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CARE GATEWAY RED DEER PHARMACY ,5209 50 AVE,RED DEER,,Alberta,2021-04-11T18:09:24.565Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CAREBRIDGE REMEDY'S RX PHARMACY ,402 8 ST S,LETHBRIDGE,,Alberta,2021-04-11T18:09:24.565Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CARERX COMPOUNDING EDMONTON ,M5-9509 156 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.565Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CARESTAR PHARMACY ,217-45 EDENWOLD DR NW,CALGARY,,Alberta,2021-04-11T18:09:24.565Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CAREWELL PHARMACY ,104-580 ACADIA DR SE,CALGARY,,Alberta,2021-04-11T18:09:24.566Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CAROLINE COMMUNITY PHARMACY ,5103 50 AVE,CAROLINE,,Alberta,2021-04-11T18:09:24.566Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CASTLEDOWNS ARP PHARMACY ,122-15277 CASTLEDOWNS RD NW,EDMONTON,,Alberta,2021-04-11T18:09:24.566Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CASTLEDOWNS MEDICAL & WELLNESS PHARMACY ,15121 121 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.566Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CASTOR VALUE DRUG MART ,5106 50 AVE,CASTOR,,Alberta,2021-04-11T18:09:24.567Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CATALYST PHARMACY ,5009 50 AVE,ST PAUL,,Alberta,2021-04-11T18:09:24.567Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CEDAR PHARMACY ,10017 ALBERTA AVE,LAC LA BICHE,,Alberta,2021-04-11T18:09:24.567Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CENTRAL ALBERTA CO-OP LTD. TIMBERLANDS PHARMACY ,3101-499 TIMBERLANDS DR,RED DEER,,Alberta,2021-04-11T18:09:24.568Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CENTRAL ALBERTA CO-OP PHARMACY #1 ,140-4707 50 ST,RED DEER,,Alberta,2021-04-11T18:09:24.568Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CENTRAL ALBERTA CO-OP PHARMACY #5 ,13-69 DUNLOP ST,RED DEER,,Alberta,2021-04-11T18:09:24.568Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CENTRAL POINT PHARMACY ,10382 105 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.568Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CENTURY PHARMACY ,11031 97 ST,EDMONTON,,Alberta,2021-04-11T18:09:24.569Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CHAMPLAIN PHARMACY ,111-9918 100 ST,MORINVILLE,,Alberta,2021-04-11T18:09:24.569Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CHAPARRAL REMEDY'S RX ,204-803 CHAPARRAL DR SE,CALGARY,,Alberta,2021-04-11T18:09:24.569Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CHESTERMERE REMEDY'S RX ,106B-300 MERGANSER DR,CHESTERMERE,,Alberta,2021-04-11T18:09:24.569Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CHINATOWN IPHARMACY ,9662 107A AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.569Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CITI PHARMACY ,124-20 SADDLESTONE DR NE,CALGARY,,Alberta,2021-04-11T18:09:24.570Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CLARESHOLM PHARMACY ,4921 1 ST W,CLARESHOLM,,Alberta,2021-04-11T18:09:24.570Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CLAREVIEW DRUG MART ,14061 VICTORIA TR NW,EDMONTON,,Alberta,2021-04-11T18:09:24.570Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CLEARWATER PHARMACY ,15345 97 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.570Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CMRX4 PHARMACY ,4139 4 ST NW,CALGARY,,Alberta,2021-04-11T18:09:24.571Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COALDALE PHARMASAVE ,1910 20 AVE,COALDALE,,Alberta,2021-04-11T18:09:24.571Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COCHRANE COMPOUNDING PHARMACY AND TRAVEL CLINIC ,5-118 1 AVE W,COCHRANE,,Alberta,2021-04-11T18:09:24.571Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COLEMAN REMEDY'S RX ,8335 20 AVE,COLEMAN,,Alberta,2021-04-11T18:09:24.571Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COLES PHARMACY ,168-3210 118 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.572Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COMMUNICARE PHARMACY ,11049 127 ST,EDMONTON,,Alberta,2021-04-11T18:09:24.572Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COMMUNITY DRUG MART #2028 ,4-901 10 ST,COLD LAKE,,Alberta,2021-04-11T18:09:24.572Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COMMUNITY DRUG MART #2029 ,206-6503 51 ST,COLD LAKE,,Alberta,2021-04-11T18:09:24.573Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COMMUNITY HEALTH PHARMACY ,5016 50 ST,SANGUDO,,Alberta,2021-04-11T18:09:24.573Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COMPLETE CARE PHARMACY ,12418 118 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.573Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CONNECTCARE MEDICAL CLINIC & PHARMACY MILLWOODS ,1756 34 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.574Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CONNECTCARE PHARMACY SPRUCE GROVE ,214-20 WESTWIND DR,SPRUCE GROVE,,Alberta,2021-04-11T18:09:24.574Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CONSORT PHARMACY ,4906 50 ST,CONSORT,,Alberta,2021-04-11T18:09:24.574Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY CHAPPELLE ,1025 CHAPPELLE BLVD SW,EDMONTON,,Alberta,2021-04-11T18:09:24.574Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY FORT SASKATCHEWAN ,10004 99 AVE,FORT SASKATCHEWAN,,Alberta,2021-04-11T18:09:24.574Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY HAWKSTONE LESSARD ,18370 LESSARD RD NW,EDMONTON,,Alberta,2021-04-11T18:09:24.575Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY MILLWOODS TOWN CENTER ,300-2331 66 STREET NW,EDMONTON,,Alberta,2021-04-11T18:09:24.575Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY STONY PLAIN ,4917A 50 AVE,STONY PLAIN,,Alberta,2021-04-11T18:09:24.575Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CO-OP PHARMACY TRADER RIDGE ,13201 102 ST,GRANDE PRAIRIE,,Alberta,2021-04-11T18:09:24.575Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COPPERFIELD PHARMASAVE ,222-15566 MCIVOR BLVD SE,CALGARY,,Alberta,2021-04-11T18:09:24.575Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COPPERSTONE PHARMACY ,115-10 COPPERSTONE ST SE,CALGARY,,Alberta,2021-04-11T18:09:24.576Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORE PHARMACY & TRAVEL CLINIC ,201-722 85 ST SW,CALGARY,,Alberta,2021-04-11T18:09:24.576Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORNER PHARMACY ,10118 156 ST NW,EDMONTON,,Alberta,2021-04-11T18:09:24.576Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORNERSTONE CO-OP PHARMACY @ VERMILION ,5008B 51 AVE,VERMILION,,Alberta,2021-04-11T18:09:24.576Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORNERSTONE CO-OP PHARMACY AT ST. PAUL ,3-5017 42 ST,ST PAUL,,Alberta,2021-04-11T18:09:24.577Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORNERSTONE PHARMACY ,1-5102 RUNDLEHORN DR NE,CALGARY,,Alberta,2021-04-11T18:09:24.577Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
CORONATION VALUE DRUG MART ,4926 VICTORIA AVE,CORONATION,,Alberta,2021-04-11T18:09:24.577Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1069 ,202-104 SOUTHBANK BLVD,OKOTOKS,,Alberta,2021-04-11T18:09:24.577Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1076 ,300-293020 CROSSIRON COMMON,ROCKY VIEW,,Alberta,2021-04-11T18:09:24.578Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1112 ,7259 WINTERBURN RD NW,EDMONTON,,Alberta,2021-04-11T18:09:24.578Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1157 ,1075 ST. ALBERT TR,ST ALBERT,,Alberta,2021-04-11T18:09:24.578Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1217 ,75 EAST HILLS BLVD SE,CALGARY,,Alberta,2021-04-11T18:09:24.578Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1270 ,2584 46 AVE E,NISKU,,Alberta,2021-04-11T18:09:24.579Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
COSTCO PHARMACY #1381 ,12905 BUFFALO RUN BLVD,TSUUT'INA,,Alberta,2021-04-11T18:09:24.579Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
