location_code,name,city,street,X,Y,postal,fsa,type
-74.7288108845.01810403Other/Independent,Fullerton Drugs,Cornwall,170 Pitt St,-74.72881088,45.01810403,K6J3P4,K6J,Other/Independent
-74.7304083845.01802143Other/Independent,Catp,Cornwall,41 Second St W,-74.73040838,45.01802143,K6J1G3,K6J,Other/Independent
-74.7314359945.02798003Other/Independent,Respect Rx Cornwall,Cornwall,805 Sydney St,-74.73143599,45.02798003,K6H3J7,K6H,Other/Independent
-74.7314818845.02508243Other/Independent,Cornwall Medical Pharmacy,Cornwall,609 Pitt St,-74.73148188,45.02508243,K6J3R8,K6J,Other/Independent
-74.7342598945.03005743Loblaw,Drugstore Pharmacy # 4195,Cornwall,31 Ninth St E,-74.73425989,45.03005743,K6H6R3,K6H,Loblaw
-74.7352569945.02976603Other/Independent,Jean Coutu Pharmacy #64,Cornwall,5 9th St E,-74.73525699,45.02976603,K6H6R3,K6H,Other/Independent
-74.7384242945.03436213Other/Independent,Medical Arts Phcy Cornwall Ltd,Cornwall,30 13th St E,-74.73842429,45.03436213,K6H6V9,K6H,Other/Independent
-74.7405873945.00286712Other/Independent,Arrowhead Pharmacy,Summerstown,219 Akwesasne International Rd,-74.74058739,45.00286712,K6H0G5,K6H,Other/Independent
-74.7413335945.03596743Other/Independent,Pitt Street Pharmacy,Cornwall,1327 Pitt St,-74.74133359,45.03596743,K6J3T7,K6J,Other/Independent
-74.7431821945.02360353Walmart,Wal-Mart Pharmacy,Cornwall,420 Ninth St,-74.74318219,45.02360353,K2J0B3,K2J,Walmart
-74.7539926945.02843213Shoppers Drug Mart,Shoppers Drug Mart #606,Cornwall,1236 Brookdale Ave,-74.75399269,45.02843213,K6J4P8,K6J,Shoppers Drug Mart
-74.7568594945.01242142Other/Independent,Whole Health Pharmacy,Cornwall,Second St W,-74.75685949,45.01242142,K6J1G5,K6J,Other/Independent
-74.8877036845.55685091Other/Independent,Pharmacie Alfred,Alfred,542 St Philippe St,-74.88770368,45.55685091,K0B1A0,K0B,Other/Independent
-74.8947127445.02914592Other/Independent,Long Sault Pharmacy,Long Sault,43 Long Sault Dr,-74.89471274,45.02914592,K0C1P0,K0C,Other/Independent
-74.9051705745.38505198Other/Independent,Pharmacie St Isidore Pharmacy,Saint Isidore,4553 St,-74.90517057,45.38505198,K0C2B0,K0C,Other/Independent
-74.9662478845.25705846Other/Independent,Moose Creek Pharmacy,Moose Creek,66 Sabourin St,-74.96624788,45.25705846,K0C1W0,K0C,Other/Independent
-74.9669924845.17216214Other/Independent,Avonmore Pharmacy,Avonmore,3287 Main St,-74.96699248,45.17216214,K0C1C0,K0C,Other/Independent
-74.9876658145.54045911Other/Independent,Pharmacie Plantagenet,Plantagenet,181 Old Hwy 17,-74.98766581,45.54045911,K0B1L0,K0B,Other/Independent
-74.9884583744.99700321Other/Independent,Ingleside Ida Pharmacy,Ingleside,3 Thorold Lane,-74.98845837,44.99700321,K0C1M0,K0C,Other/Independent
-75.0827488245.30564736Other/Independent,Pharmacie Jean Coutu Pharmacy,Casselman,629 Rue PRINCIPALE,-75.08274882,45.30564736,K0A1M0,K0A,Other/Independent
-75.0872043345.31366506Pharmasave,Pharmasave Casselman Pharmacy,Casselman,732 Principale St,-75.08720433,45.31366506,K0A1M0,K0A,Pharmasave
-75.1509727445.21628174Other/Independent,Medicaid Pharmacy,Crysler,33 Queen St,-75.15097274,45.21628174,K0A1R0,K0A,Other/Independent
-75.1605909645.43485828Other/Independent,Pharmacie Bourget Pharmacy,Clarence-Rockland,3 Saint-Pierre St,-75.16059096,45.43485828,K0A1E0,K0A,Other/Independent
-75.1805453244.90155289Other/Independent,Upper Canada Remedys Rx 189,Morrisburg,139 Main St,-75.18054532,44.90155289,K0C1X0,K0C,Other/Independent
-75.1827739244.90094839Other/Independent,Seaway Valley Pharmacy,Newington,45 Main St,-75.18277392,44.90094839,K0C1X0,K0C,Other/Independent
-75.2146571945.50759189Other/Independent,Clarence Creek Pharmacy,Clarence Creek,1922 Labonte St,-75.21465719,45.50759189,K0A1N0,K0A,Other/Independent
-75.2294842645.10300682Other/Independent,Chesterville Pharmacy,Chesterville,21 Main St N,-75.22948426,45.10300682,K0C1H0,K0C,Other/Independent
-75.2492133845.32629006Guardian,Pharmacie Limoges Guardian Ph,Limoges,601 Limoges Rd,-75.24921338,45.32629006,K0A2M0,K0A,Guardian
-75.2847818945.27150935Other/Independent,Embrun Compounding Pharmacy,Embrun,934 Notre Dame St,-75.28478189,45.27150935,K0A1W1,K0A,Other/Independent
-75.2919863945.27103925Other/Independent,Jean Coutu Pharmacie # 246,Embrun,867 Notre Dame St,-75.29198639,45.27103925,K0A1W0,K0A,Other/Independent
-75.2945735245.54667289Other/Independent,Pharmacie Jean Coutu,Clarence-Rockland,2246 Laurier St,-75.29457352,45.54667289,K4K1L4,K4K,Other/Independent
-75.2992589245.54169809Loblaw,Drug Store Pharmacy #4117,Clarence-Rockland,2737 Laurier St,-75.29925892,45.54169809,K4K1A3,K4K,Loblaw
-75.3006981245.54051369Shoppers Drug Mart,Shoppers Drug Mart #1245,Clarence-Rockland,2755 Laurier St,-75.30069812,45.54051369,K4K1A3,K4K,Shoppers Drug Mart
-75.3017335245.54211719Other/Independent,Rockland Pharmacy,Clarence-Rockland,2768 Laurier St,-75.30173352,45.54211719,K4K1K6,K4K,Other/Independent
-75.303469945.26833865Other/Independent,Embrun Remedy's Rx,Embrun,753 Notre Dame St,-75.3034699,45.26833865,K0A1W0,K0A,Other/Independent
-75.3059486245.53224639Walmart,Wal-Mart Pharmacy,Clarence-Rockland,3001 Richelieu St,-75.30594862,45.53224639,K4K0B5,K4K,Walmart
-75.306748145.26832185Shoppers Drug Mart,Shoppers Drug Mart 1316,Embrun,703 Notre Dame St,-75.3067481,45.26832185,K0A1W1,K0A,Shoppers Drug Mart
-75.30966545.26921405Other/Independent,Notre Dame Pharmacy,Embrun,649 Notre Dame St,-75.309665,45.26921405,K0A1W1,K0A,Other/Independent
-75.3164999644.84908197Other/Independent,Gilmer Pharmacy Ltd,Iroquois,41 Plaza Dr,-75.31649996,44.84908197,K0E1K0,K0E,Other/Independent
-75.354100245.09301581Other/Independent,Seaway Valley Pharmacy,Winchester,507 Main St,-75.3541002,45.09301581,K0C2K0,K0C,Other/Independent
-75.3578450145.25764224Other/Independent,Downtown Pharmacy,Russell,191 Castor St,-75.35784501,45.25764224,K4R1C7,K4R,Other/Independent
-75.3698442245.25743254Other/Independent,Russell Pharmacy,Russell,110 Craig St,-75.36984422,45.25743254,K4R1C7,K4R,Other/Independent
-75.372292445.08750941Pharmasave,Winchester Pharmasave,Winchester,12015 Main St W,-75.3722924,45.08750941,K0C2K0,K0C,Pharmasave
-75.3797437844.78797756Rexall,Rexall #8132,Cardinal,2100 Dundas St,-75.37974378,44.78797756,K0E1E0,K0E,Rexall
-75.4266411545.42128207Other/Independent,Pharmacie Medici Pharmacy,Ottawa,1200 Colonial Rd,-75.42664115,45.42128207,K4B1J5,K4B,Other/Independent
-75.4545686645.46858687Other/Independent,St Mary Health Centre Pharmacy,Ottawa,2010 Trim Rd,-75.45456866,45.46858687,K4A0G4,K4A,Other/Independent
-75.4560410645.46934937Sobeys,Sobeys Pharmacy,Ottawa,5150 Innes Rd,-75.45604106,45.46934937,K4A0G4,K4A,Sobeys
-75.4657986745.46805247Shoppers Drug Mart,Shoppers Drug Mart #1254,Ottawa,1937 Portobello Blvd,-75.46579867,45.46805247,K4A4W9,K4A,Shoppers Drug Mart
-75.4729806745.48230138Other/Independent,Crown Pointe Pharmacy,Ottawa,900 Watters Rd,-75.47298067,45.48230138,K4A0B4,K4A,Other/Independent
-75.4736610545.23528803Other/Independent,Metcalfe Pharmacy,Embrun,8206 Victoria St,-75.47366105,45.23528803,K0A2P0,K0A,Other/Independent
-75.4814736745.45136667Shoppers Drug Mart,Shoppers Drug Mart #1433,Ottawa,2301 Tenth Line Rd,-75.48147367,45.45136667,K4A3W6,K4A,Shoppers Drug Mart
-75.4841124745.46133677Metro,Metro Pharmacy #563,Ottawa,4510 Innes Rd,-75.48411247,45.46133677,K4A4C5,K4A,Metro
-75.4841275745.45417617Other/Independent,Tenth Line Pharm&compounding,Ottawa,Tenth Line Rd,-75.48412757,45.45417617,K4A0X4,K4A,Other/Independent
-75.4853044745.48894758Other/Independent,Taylor Creek Pharmacy,Ottawa,570 Lacolle Way,-75.48530447,45.48894758,K4A0N9,K4A,Other/Independent
-75.4860904745.46170537Other/Independent,Innes Ida Pharmacy,Ottawa,4473 Innes Rd,-75.48609047,45.46170537,K4A1A7,K4A,Other/Independent
-75.4919462745.46907047Shoppers Drug Mart,Shoppers Drug Mart #632,Ottawa,1675 Tenth Line Rd,-75.49194627,45.46907047,K1E3P6,K1E,Shoppers Drug Mart
-75.4952190745.45711617Loblaw,Loblaw Pharmacy 1071,Ottawa,4270 Innes Rd,-75.49521907,45.45711617,K4A5E6,K4A,Loblaw
-75.4955804745.45900947Other/Independent,Best Care Pharmacy,Ottawa,4289 Innes Rd,-75.49558047,45.45900947,K1E0A8,K1E,Other/Independent
-75.4963915845.45875767Other/Independent,Orleans Pharmacy,Ottawa,4275 Innes Rd,-75.49639158,45.45875767,K1C1T1,K1C,Other/Independent
-75.5047952745.42809116Other/Independent,Navan Medical Pharmacy,Ottawa,3349 Navan Rd,-75.50479527,45.42809116,K1W0K7,K1W,Other/Independent
-75.5079847845.45398657Shoppers Drug Mart,Shoppers Drug Mart #1139,Ottawa,3940 Innes Rd,-75.50798478,45.45398657,K1W1K9,K1W,Shoppers Drug Mart
-75.5083890845.45139387Walmart,Wal-Mart Pharmacy,Ottawa,3900 Innes Rd,-75.50838908,45.45139387,K1C1T1,K1C,Walmart
-75.5089975845.48021557Other/Independent,Orleans Integrative Pharmacy,Ottawa,3095 Saint Joseph Blvd,-75.50899758,45.48021557,K1E3W6,K1E,Other/Independent
-75.5118075845.47899407Other/Independent,Pharmacie Centrum Pharmacy Inc,Ottawa,210 Centrum Blvd,-75.51180758,45.47899407,K1E3V7,K1E,Other/Independent
-75.5151880244.70879684Shoppers Drug Mart,Shoppers Drug Mart #1506,Prescott,231 King St W,-75.51518802,44.70879684,K0E1T0,K0E,Shoppers Drug Mart
-75.5155526845.47817017Rexall,Rexall #8151,Ottawa,110 Place dOrleans Dr,-75.51555268,45.47817017,K1C2L9,K1C,Rexall
-75.5155537244.70897004Other/Independent,Seaway Valley Pharmacy,Prescott,254 King St W,-75.51555372,44.70897004,K0E1T0,K0E,Other/Independent
-75.5164843845.47509807Shoppers Drug Mart,Shoppers Drug Mart #1230,Ottawa,2954 Saint Joseph Blvd,-75.51648438,45.47509807,K1C1G7,K1C,Shoppers Drug Mart
-75.5206555244.72489614Other/Independent,Prescott Remedy's Rx,Prescott,150 Prescott Centre Dr,-75.52065552,44.72489614,K0E1T0,K0E,Other/Independent
-75.5217206845.47716377Other/Independent,Beausejour Clinic Pharmacy,Ottawa,1220 Place dOrleans Dr,-75.52172068,45.47716377,K1C7K1,K1C,Other/Independent
-75.5228438945.47649907Loblaw,Loblaw Pharmacy,Ottawa,1226 Place dOrleans Dr,-75.52284389,45.47649907,K1C1L2,K1C,Loblaw
-75.5236038845.47240857Other/Independent,Pharmacie Jean Coutu Pharmacy,Ottawa,2701 Saint Joseph Blvd,-75.52360388,45.47240857,K1C1G4,K1C,Other/Independent
-75.5239857845.45950837Loblaw,The Drug Store Pharmacy #4088,Ottawa,1619 Orleans Blvd,-75.52398578,45.45950837,K1C7E2,K1C,Loblaw
-75.5247208845.46042487Rexall,Rexall #95,Ottawa,1615 Orleans Blvd,-75.52472088,45.46042487,K1C7E2,K1C,Rexall
-75.5257062945.47110597Rexall,Rexall #8185,Ottawa,2555 Saint Joseph Blvd,-75.52570629,45.47110597,K1C1S6,K1C,Rexall
-75.5368942945.47995137Shoppers Drug Mart,Shoppers Drug Mart #630,Ottawa,6491 Jeanne Darc Blvd,-75.53689429,45.47995137,K1C2R1,K1C,Shoppers Drug Mart
-75.5442980945.46423467Other/Independent,Jeanne D'arc Medical Pharmacy,Ottawa,1887 Saint Joseph Blvd,-75.54429809,45.46423467,K1C7J2,K1C,Other/Independent
-75.5477305945.46211847Other/Independent,Vantage Medical Pharmacy,Ottawa,1803 St Joseph Blvd,-75.54773059,45.46211847,K1C6E7,K1C,Other/Independent
-75.5549985845.26337933Pharmasave,Greely Pharmasave,Ottawa,6045 Bank St,-75.55499858,45.26337933,K4P0G5,K4P,Pharmasave
-75.5584208845.26381073Other/Independent,The Greely Pharmacy,Ottawa,7163 Parkway Rd,-75.55842088,45.26381073,K4P1N3,K4P,Other/Independent
-75.5626075945.43115856Shoppers Drug Mart,Shoppers Drug Mart #634,Ottawa,2638 Innes Rd,-75.56260759,45.43115856,K1B4Z5,K1B,Shoppers Drug Mart
-75.5654600945.43187066Other/Independent,Queens Pharmacy Ltd,Ottawa,110 Bearbrook Rd,-75.56546009,45.43187066,K1B5R2,K1B,Other/Independent
-75.567252145.43096806Other/Independent,Blackburn Pharmacy,Ottawa,2575 Innes Rd,-75.5672521,45.43096806,K1B3K1,K1B,Other/Independent
-75.58388145.45481517Other/Independent,Canotek Pharmacy,Ottawa,5360 Canotek Rd,-75.583881,45.45481517,K1J9E5,K1J,Other/Independent
-75.5885048145.45295017Other/Independent,The Medicine Shoppe,Ottawa,5303 Canotek Rd,-75.58850481,45.45295017,K1J9M1,K1J,Other/Independent
-75.5918655145.44797766Rexall,Rexall #2212,Ottawa,2116 Montreal Rd,-75.59186551,45.44797766,K1J6M7,K1J,Rexall
-75.594226645.31981574Shoppers Drug Mart,Shoppers Drug Mart #1442,Ottawa,4744 Bank St,-75.5942266,45.31981574,K1T0K8,K1T,Shoppers Drug Mart
-75.5953894145.44542806Pharmasave,Ogilvie Square Pharmasave,Ottawa,1946 Montreal Rd,-75.59538941,45.44542806,K1J6N2,K1J,Pharmasave
-75.5979131145.45168136Shoppers Drug Mart,Shoppers Drug Mart #623,Ottawa,2339 Ogilvie Rd,-75.59791311,45.45168136,K1J8M6,K1J,Shoppers Drug Mart
-75.6029764845.14946971Other/Independent,Osgoode Pharmacy,Ottawa,3192 Logan Farm Dr,-75.60297648,45.14946971,K0A2W0,K0A,Other/Independent
-75.6033867145.41516976Costco,Costco Pharmacy #511,Ottawa,1900 Cyrville Rd,-75.60338671,45.41516976,K1B1A5,K1B,Costco
-75.6052824145.43670486Shoppers Drug Mart,Shoppers Drug Mart #637,Ottawa,2012 Ogilvie Rd,-75.60528241,45.43670486,K1J7N9,K1J,Shoppers Drug Mart
-75.6098258145.43252746Loblaw,Drugstore Pharmacy #1051,Ottawa,1980 Ogilvie Rd,-75.60982581,45.43252746,K1J9L3,K1J,Loblaw
-75.6098258145.43252746Rexall,Rexall #1156,Ottawa,1980 Ogilvie Rd,-75.60982581,45.43252746,K1J9L3,K1J,Rexall
-75.6098258145.43252746Walmart,Wal-Mart Pharmacy #1158,Ottawa,1980 Ogilvie Rd,-75.60982581,45.43252746,K1J9L3,K1J,Walmart
-75.6206550145.36967235Other/Independent,First Care Pharmacy,Ottawa,2 Lorry Greenberg Dr,-75.62065501,45.36967235,K1G5H6,K1G,Other/Independent
-75.6211592145.43076206Other/Independent,Whole Health Pharmacy Ogilvie,Ottawa,1150 Cadboro Rd,-75.62115921,45.43076206,K1J7R1,K1J,Other/Independent
-75.6221151145.39533445Other/Independent,Elmvale Pharmacy,Ottawa,1024 Pleasant Park Dr,-75.62211511,45.39533445,K1G2A1,K1G,Other/Independent
-75.6226430145.34453805Other/Independent,Blossom Park Pharmacy,Ottawa,2950 Bank St,-75.62264301,45.34453805,K1T1N8,K1T,Other/Independent
-75.6238443145.39941255Rexall,Rexall #414,Ottawa,1910 St Laurent Blvd,-75.62384431,45.39941255,K1G1A4,K1G,Rexall
-75.6244809145.41734976Other/Independent,Medical Pharmacy,Ottawa,1100 Algoma Rd,-75.62448091,45.41734976,K1B0A3,K1B,Other/Independent
-75.6247644145.34786975Other/Independent,South Ottawa Pharmacy,Ottawa,Queensdale Ave,-75.62476441,45.34786975,K1T1N8,K1T,Other/Independent
-75.6250141145.40170866Other/Independent,Extend Pharmacy,Ottawa,1929 Russell Rd,-75.62501411,45.40170866,K1G4G3,K1G,Other/Independent
-75.6295665845.02917219Walmart,Wal-Mart Pharmacy,Kemptville,340 Colonnade Dr,-75.62956658,45.02917219,K0G1J0,K0G,Walmart
-75.6301564245.44579676Shoppers Drug Mart,Shoppers Drug Mart #1556,Ottawa,876 Montreal Rd,-75.63015642,45.44579676,K1K4L3,K1K,Shoppers Drug Mart
-75.6355988245.40439746Other/Independent,Medical Pharmacy,Ottawa,1750 Russell Rd,-75.63559882,45.40439746,K1G5Z6,K1G,Other/Independent
-75.6365507245.44509406Rexall,Rexall #8134,Ottawa,753 Montreal Rd,-75.63655072,45.44509406,K1K0T1,K1K,Rexall
-75.6372280245.44475126Other/Independent,Pharmacie La Colombe Pharmacy,Ottawa,745 Montreal Rd,-75.63722802,45.44475126,K1K0T1,K1K,Other/Independent
-75.6383495245.43022276Other/Independent,St. Laurent Ida Pharmacy,Ottawa,1237 Donald St,-75.63834952,45.43022276,K1J8W3,K1J,Other/Independent
-75.6387057245.42194656Shoppers Drug Mart,Shoppers Drug Mart #621,Ottawa,1200 St Laurent Blvd,-75.63870572,45.42194656,K1K3B8,K1K,Shoppers Drug Mart
-75.6398977245.42776206Pharmasave,We Care Pharmasave,Ottawa,1020 St Laurent Blvd,-75.63989772,45.42776206,K1K4S2,K1K,Pharmasave
-75.6407884245.42975146Other/Independent,St. Laurent Medical Centre Pha,Ottawa,968 St Laurent Blvd,-75.64078842,45.42975146,K1K3B3,K1K,Other/Independent
-75.6435603245.44276996Other/Independent,Refresh Pharmacy,Ottawa,595 Montreal Rd,-75.64356032,45.44276996,K1K4L2,K1K,Other/Independent
-75.6435621245.44096916Guardian,Guardian Hills Pharmacy,Ottawa,596 Montreal Rd,-75.64356212,45.44096916,K1K0T9,K1K,Guardian
-75.6436138245.35430725Other/Independent,Bank Street Pharmacy,Ottawa,2531 A Bank St,-75.64361382,45.35430725,K1V8R9,K1V,Other/Independent
-75.6447579245.41424656Other/Independent,Trainyards Pharmacy,Ottawa,550 Terminal Ave,-75.64475792,45.41424656,K1G0Z3,K1G,Other/Independent
-75.6449325145.35465285Shoppers Drug Mart,Shoppers Drug Mart #635,Ottawa,2515 Bank St,-75.64493251,45.35465285,K1V8R9,K1V,Shoppers Drug Mart
-75.6450713245.38809225Pharmasave,Pharmasave Cyril Pharmacy,Ottawa,1795 Kilborn Ave,-75.64507132,45.38809225,K1H6N1,K1H,Pharmasave
-75.6459656245.37785865Rexall,Rexall #2014,Ottawa,1725 Walkley Rd,-75.64596562,45.37785865,K1V2P6,K1V,Rexall
-75.6462440245.44182086Shoppers Drug Mart,Shoppers Drug Mart #641,Ottawa,541 Montreal Rd,-75.64624402,45.44182086,K1K0V1,K1K,Shoppers Drug Mart
-75.6464531245.35280265Shoppers Drug Mart,Shoppers Drug Mart #1550,Ottawa,2446 Bank St,-75.64645312,45.35280265,K1V1A4,K1V,Shoppers Drug Mart
-75.6466201245.37687725Other/Independent,Walkley Pharmacy Remedy Rx,Ottawa,1584 Walkley Rd,-75.64662012,45.37687725,K1V6P5,K1V,Other/Independent
-75.6466335245.36400925Other/Independent,Greenboro Pharmacy,Ottawa,25 Tapiola Crescent,-75.64663352,45.36400925,K1T2J7,K1T,Other/Independent
-75.6476256245.40122395Other/Independent,Medical Pharmacy,Ottawa,501 Smyth Rd,-75.64762562,45.40122395,K1H8L6,K1H,Other/Independent
-75.6491647245.35377235Other/Independent,Hunt Club Pharmacy,Ottawa,2430 Bank St,-75.64916472,45.35377235,K1V0T7,K1V,Other/Independent
-75.6496399245.41314646Walmart,Wal-Mart Pharmacy,Ottawa,450 Terminal Ave,-75.64963992,45.41314646,K1G0Z3,K1G,Walmart
-75.6501902245.43191996Other/Independent,Pharmacie La Paix Pharmacy,Ottawa,390 Mcarthur Ave,-75.65019022,45.43191996,K1L6N6,K1L,Other/Independent
-75.6512818245.40091045Other/Independent,Kidcare Pharmacy/phcy Pediatr,Ottawa,401 Smyth Rd,-75.65128182,45.40091045,K1H8L1,K1H,Other/Independent
-75.6521542945.02301949Shoppers Drug Mart,Shoppers Drug Mart #1226,Kemptville,2727 Country Rd 43,-75.65215429,45.02301949,K0G1J0,K0G,Shoppers Drug Mart
-75.6534727245.37351445Other/Independent,Shas Pharmacy Ltd,Ottawa,1428 Walkley Rd,-75.65347272,45.37351445,K1V6P5,K1V,Other/Independent
-75.6535081245.42772176Other/Independent,Donald St. Pharmacy,Ottawa,336 Donald St,-75.65350812,45.42772176,K1K1M5,K1K,Other/Independent
-75.6546138245.35563375Loblaw,Loblaw Pharmacy 1188,Ottawa,2210 Bank St,-75.65461382,45.35563375,K1V1J5,K1V,Loblaw
-75.6546138245.35563375Walmart,Wal-Mart Pharmacy,Ottawa,2210 Bank St,-75.65461382,45.35563375,K1V0Y5,K1V,Walmart
-75.6550612345.43877906Other/Independent,Vanier Pharmacy,Ottawa,355 Montreal Rd,-75.65506123,45.43877906,K1L8H3,K1L,Other/Independent
-75.6553208245.43198546Other/Independent,Canadian Add. Treatm. Phcy. Lp,Ottawa,311 McArthur Ave,-75.65532082,45.43198546,K1L6P1,K1L,Other/Independent
-75.6565066945.01865699Loblaw,Loblaw Pharmacy,Kemptville,2600 Hwy 43 W,-75.65650669,45.01865699,K0G1J0,K0G,Loblaw
-75.6565066945.01865699Other/Independent,Kemptville Drugmart,Kemptville,2600 Hwy 43,-75.65650669,45.01865699,K0G1J0,K0G,Other/Independent
-75.6571787245.40876085Shoppers Drug Mart,Shoppers Drug Mart #639,Ottawa,1559 Alta Vista Dr,-75.65717872,45.40876085,K1G0E9,K1G,Shoppers Drug Mart
-75.6602523345.43629166Other/Independent,Pharmacie Jean Coutu,Ottawa,262 Montreal Rd,-75.66025233,45.43629166,K1L6C3,K1L,Other/Independent
-75.6615191245.36800455Other/Independent,Bank Street Medical Pharmacy,Ottawa,1935 Bank St,-75.66151912,45.36800455,K1V8A3,K1V,Other/Independent
-75.6624183945.01542869Other/Independent,Somerville Family Pharmacy,Kemptville,11 Somerville Rd,-75.66241839,45.01542869,K0G1J0,K0G,Other/Independent
-75.6626275245.36979975Guardian,Southkeys Guardian Pharmacy,Ottawa,1883 Bank St,-75.66262752,45.36979975,K1V7Z9,K1V,Guardian
-75.6630484245.37221335Loblaw,The Drugstore Pharmacy #4104,Ottawa,2681 Alta Vista Dr,-75.66304842,45.37221335,K1V7T5,K1V,Loblaw
-75.6636464245.36978435Shoppers Drug Mart,Shoppers Drug Mart #620,Ottawa,1180 Walkley Rd,-75.66364642,45.36978435,K1V2M5,K1V,Shoppers Drug Mart
-75.6642724245.37339985Other/Independent,Promed Pharmacy,Ottawa,2706 Alta Vista Dr,-75.66427242,45.37339985,K1V7T4,K1V,Other/Independent
-75.6646177345.43433636Shoppers Drug Mart,Shoppers Drug Mart #1229,Ottawa,150 Montreal Rd,-75.66461773,45.43433636,K1L8H2,K1L,Shoppers Drug Mart
-75.6648604345.42934156Loblaw,Drugstore Pharmacy #1014,Ottawa,100 McArthur Ave,-75.66486043,45.42934156,K1L6P9,K1L,Loblaw
-75.6662906245.37710405Other/Independent,Proactive Pharmacy,Ottawa,1645 Bank St,-75.66629062,45.37710405,K1V7Z1,K1V,Other/Independent
-75.6673033345.37984625Other/Independent,Evans Medical Pharmacy,Ottawa,1194 Evans Ave,-75.66730333,45.37984625,K1H7Z8,K1H,Other/Independent
-75.6683361245.37911615Shoppers Drug Mart,Shoppers Drug Mart #1527,Ottawa,1582 Bank St,-75.66833612,45.37911615,K1H7Z5,K1H,Shoppers Drug Mart
-75.6684229345.39702935Other/Independent,Specialty Rx,Ottawa,1919 Riverside Dr,-75.66842293,45.39702935,K1H1A2,K1H,Other/Independent
-75.6689921345.43217856Other/Independent,Respect Rx Pharmacy,Ottawa,11 Selkirk Ave,-75.66899213,45.43217856,K1L6N1,K1L,Other/Independent
-75.6702459345.44338186Other/Independent,Beechwood Whole Health Pharm,Ottawa,222 Beechwood Ave,-75.67024593,45.44338186,K1L8A7,K1L,Other/Independent
-75.6704267345.38099325Other/Independent,Health Smart Pharmacy,Ottawa,1500 Bank St,-75.67042673,45.38099325,K1H7Z1,K1H,Other/Independent
-75.6706661345.37693245Other/Independent,Medical Pharmacy,Ottawa,2447 Kaladar Ave,-75.67066613,45.37693245,K1V8B9,K1V,Other/Independent
-75.6711397345.38358175Other/Independent,Med Rx Altabank Pharmacy,Ottawa,1405 Bank St,-75.67113973,45.38358175,K1H8N1,K1H,Other/Independent
-75.6712799245.35074454Shoppers Drug Mart,Shoppers Drug Mart 629,Ottawa,3310 Mccarthy Rd,-75.67127992,45.35074454,K1V9S1,K1V,Shoppers Drug Mart
-75.6719173345.38439775Other/Independent,Kilborn Pharmacy,Ottawa,1385 Bank St,-75.67191733,45.38439775,K1H8N4,K1H,Other/Independent
-75.6746410245.23394352Shoppers Drug Mart,Shoppers Drug Mart 1366,Ottawa,5230 Mitch Owens Rd,-75.67464102,45.23394352,K4M1B2,K4M,Shoppers Drug Mart
