,location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
112,42.9861296-82.3867992Shoppers Drug Mart,Shoppers Drug Mart,Sarnia,Ontario,Yes,510 Exmouth St,2024-02-04,42.9861296,-82.3867992,N7T5P3,N7T,Shoppers Drug Mart
113,42.9875085-81.2928291Costco,Costco Pharmacy,London,Ontario,Yes,693 Wonderland Rd N,2021-07-23,42.9875085,-81.2928291,N6H4L1,N6H,Costco
114,42.9884697-80.5981275Shoppers Drug Mart,Shoppers Drug Mart,Norwich,Ontario,Yes,19 Stover St N,2023-12-09,42.9884697,-80.5981275,N0J1P0,N0J,Shoppers Drug Mart
115,42.9896891-81.2966989Rexall,Rexall,London,Ontario,Yes,1375 Beaverbrook Ave,2023-01-02,42.9896891,-81.2966989,N6H0J1,N6H,Rexall
116,42.9902358-81.275161Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,301 Oxford St W,2023-09-18,42.9902358,-81.275161,N6H1S6,N6H,Shoppers Drug Mart
117,42.9911469-81.1686344Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,142 Clarke Rd,2023-09-20,42.9911469,-81.1686344,N5W5E1,N5W,Shoppers Drug Mart
118,42.9990109-81.3292167Other/Independent,TMC Pharmacy,London,Ontario,Yes,990 Gainsborough Rd,2024-09-09,42.9990109,-81.3292167,N6H5L4,N6H,Other/Independent
119,42.9996199-81.2378412Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,759 Adelaide St N,2023-09-17,42.9996199,-81.2378412,N5Y2L7,N5Y,Shoppers Drug Mart
120,43.000843-81.1886035Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1657 Dundas St E,2023-09-27,43.000843,-81.1886035,N5W3C6,N5W,Shoppers Drug Mart
121,43.0015728-81.1862257Guardian,Coulter's Guardian Pharmacy,London,Ontario,Yes,1709 Dundas St,2021-08-13,43.0015728,-81.1862257,N5W3E1,N5W,Guardian
122,43.0016699-81.2271209Loblaw,Real Canadian Superstore,London,Ontario,Yes,825 Oxford St E,2022-10-21,43.0016699,-81.2271209,N5Y3J8,N5Y,Loblaw
123,43.0018851-81.1711164Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,330 Clarke Rd,2024-11-01,43.0018851,-81.1711164,N5W6G4,N5W,Walmart
124,43.0033909-79.2868229Shoppers Drug Mart,Shoppers Drug Mart,Welland,Ontario,Yes,595 S Pelham Rd,2024-05-31,43.0033909,-79.2868229,L3C3C7,L3C,Shoppers Drug Mart
125,43.003589-81.2277443Other/Independent,Bellwood Pharmacy,London,Ontario,Yes,900 Oxford St E Unit 14B,2021-05-15,43.003589,-81.2277443,N5Y5A1,N5Y,Other/Independent
126,43.0041391-82.3867568Rexall,Rexall,Sarnia,Ontario,Yes,697 Cathcart Blvd,2023-02-14,43.0041391,-82.3867568,N7V2N6,N7V,Rexall
127,43.0093978-81.3331287Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,1280 Fanshawe Park Rd W,2024-10-31,43.0093978,-81.3331287,N6G5B1,N6G,Walmart
128,43.0127361-81.2428052Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1118 Adelaide St N,2023-09-29,43.0127361,-81.2428052,N5Y2N5,N5Y,Shoppers Drug Mart
129,43.014907-79.249869Shoppers Drug Mart,Shoppers Drug Mart,Welland,Ontario,Yes,800 Niagara St N Unit H2,2024-06-01,43.014907,-79.249869,L3C5Z4,L3C,Shoppers Drug Mart
130,43.0171463-79.2516344Loblaw,Loblaw Pharmacy,Welland,Ontario,Yes,821 Niagara St N,2022-04-15,43.0171463,-79.2516344,L3C1M4,L3C,Loblaw
131,43.0186651-81.2133802Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1365 Huron St,2023-09-25,43.0186651,-81.2133802,N5V2E3,N5V,Shoppers Drug Mart
132,43.0198355-81.3104566Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,603 Fanshawe Park Rd W,2023-09-30,43.0198355,-81.3104566,N6G5B3,N6G,Shoppers Drug Mart
133,43.0202323-81.3097654Loblaw,Drugstore Pharmacy,London,Ontario,Yes,599 Fanshawe Park Rd W,2021-09-27,43.0202323,-81.3097654,N6G5B3,N6G,Loblaw
134,43.025599-81.2783801Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1680 Richmond St N Unit L104,2023-09-24,43.025599,-81.2783801,N6G3Y9,N6G,Shoppers Drug Mart
135,43.02789-82.255101Other/Independent,Bright's Grove Family Pharmacy,Brights Grove,Ontario,Yes,2670 New Lakeshore Rd,2021-06-08,43.02789,-82.255101,N0N1C0,N0N,Other/Independent
136,43.0316543-81.2223217Rexall,Rexall,London,Ontario,Yes,1505 Highbury Ave N,2022-12-31,43.0316543,-81.2223217,N5Y0A9,N5Y,Rexall
137,43.0317725-80.8932912Other/Independent,Ingersoll Remedy's Rx,Ingersoll,Ontario,Yes,273 King St W,2022-01-15,43.0317725,-80.8932912,N5C2K9,N5C,Other/Independent
138,43.0371488-81.2567598Rexall,Rexall,London,Ontario,Yes,1593 Adelaide St N,2023-01-03,43.0371488,-81.2567598,N5X4E8,N5X,Rexall
139,43.0380604-80.881612Pharmasave,Ingersoll Pharmasave,Ingersoll,Ontario,Yes,19 King St Unit 1,2022-01-14,43.0380604,-80.881612,N5C1G3,N5C,Pharmasave
140,43.042671-80.886849Shoppers Drug Mart,Shoppers Drug Mart,Ingersoll,Ontario,Yes,120 Thames St N,2023-08-22,43.042671,-80.886849,N5C4B1,N5C,Shoppers Drug Mart
141,43.0439591-79.2963616IDA,Boggio Fonthill Pharmacy IDA,Fonthill,Ontario,Yes,155 Hwy 20 W,2021-05-24,43.0439591,-79.2963616,L0S1E0,L0S,IDA
142,43.0455255-79.2826341Shoppers Drug Mart,Shoppers Drug Mart,Fonthill,Ontario,Yes,20 Hwy 20 E,2023-08-01,43.0455255,-79.2826341,L0S1E0,L0S,Shoppers Drug Mart
143,43.0478584-79.2745484Other/Independent,Family Health Pharmacy Pelham,Fonthill,Ontario,Yes,130 Hwy 20 Unit A6,2021-11-01,43.0478584,-79.2745484,L0S1E6,L0S,Other/Independent
