location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
42.2924181-82.6990493Shoppers Drug Mart,Shoppers Drug Mart,Belle River,Ontario,Yes,330 Notre Dame St,2023-05-27,42.2924181,-82.6990493,N0R1A0,N0R,Shoppers Drug Mart
42.2936952-82.7088738Other/Independent,Bradys Drug Store Belle River,Belle River,Ontario,Yes,190 Chisholm St,2021-05-30,42.2936952,-82.7088738,N0R1A0,N0R,Other/Independent
42.2987116-83.0160796Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,500 Tecumseh Rd E,2024-06-07,42.2987116,-83.0160796,N8X2S2,N8X,Shoppers Drug Mart
42.3042997-83.0273263Other/Independent,Windsor Avenue Pharmacy,Windsor,Ontario,Yes,1329 Windsor Ave,2025-02-04,42.3042997,-83.0273263,N8X3L8,N8X,Other/Independent
42.3048973-83.0314803Rexall,Rexall,Windsor,Ontario,Yes,1215 Ouellette Ave,2023-04-02,42.3048973,-83.0314803,N8X1J3,N8X,Rexall
42.3049209-82.5476026Other/Independent,Healthpoint Pharmacy and Clinic,Stoney Point,Ontario,Yes,7034 Tecumseh Rd,2021-12-31,42.3049209,-82.5476026,N0R1N0,N0R,Other/Independent
42.3064882-82.8675957Sobeys,Sobeys Pharmacy Lakeshore,Lakeshore,Ontario,Yes,19 Amy Croft Dr,2024-07-29,42.3064882,-82.8675957,N9K1C7,N9K,Sobeys
42.3071046-83.0555311Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1675 Wyandotte St W,2024-06-08,42.3071046,-83.0555311,N9B1H8,N9B,Shoppers Drug Mart
42.3077861-82.9634718Other/Independent,Westminster Pharmacy,Windsor,Ontario,Yes,5115 Tecumseh Rd E,2025-01-20,42.3077861,-82.9634718,N8T1C2,N8T,Other/Independent
42.3083012-82.9589626Other/Independent,Central Drug Mart,Windsor,Ontario,Yes,5415 Tecumseh Rd E Unit 501,2021-06-25,42.3083012,-82.9589626,N8T1C5,N8T,Other/Independent
42.3094775-82.9654459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,5050 Tecumseh Rd E,2024-06-09,42.3094775,-82.9654459,N8T1C1,N8T,Shoppers Drug Mart
42.3115441-82.8684313Shoppers Drug Mart,Shoppers Drug Mart,Tecumseh,Ontario,Yes,500 Manning Rd Unit 1,2024-03-09,42.3115441,-82.8684313,N8N5H3,N8N,Shoppers Drug Mart
42.3118054-82.9385598Loblaw,Zehrs,Windsor,Ontario,Yes,7201 Tecumseh Rd E,2025-02-13,42.3118054,-82.9385598,N8T3K4,N8T,Loblaw
42.3127014-83.003068Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,2109 Ottawa St,2024-06-10,42.3127014,-83.003068,N8Y1R8,N8Y,Shoppers Drug Mart
42.313369-82.9005054Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,11500 Tecumseh Rd E,2024-06-15,42.313369,-82.9005054,N8N1L7,N8N,Shoppers Drug Mart
42.3138143-83.0024803Other/Independent,Novacare Pharmacy,Windsor,Ontario,Yes,1275 Walker Rd,2022-07-30,42.3138143,-83.0024803,N8Y4X9,N8Y,Other/Independent
42.3140327-83.0362215Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,600 Ouellette Ave,2024-06-19,42.3140327,-83.0362215,N9A6Z3,N9A,Shoppers Drug Mart
42.3145461-82.9432657Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,7100 Tecumseth Rd E,2024-12-24,42.3145461,-82.9432657,N8T1E6,N8T,Walmart
42.314682-83.0016408Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1270 Walker Rd,2024-06-12,42.314682,-83.0016408,N8Y4T4,N8Y,Shoppers Drug Mart
42.3146959-82.8665862Loblaw,Zehrs,St. Clair Beach,Ontario,Yes,400 Manning Rd,2025-02-12,42.3146959,-82.8665862,N8N4Z4,N8N,Loblaw
42.3149785-82.9349425Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,7720 Tecumseh Rd E,2024-06-21,42.3149785,-82.9349425,N8T1E9,N8T,Shoppers Drug Mart
42.3152062-83.016814Other/Independent,Medica Pharmacy,Windsor,Ontario,Yes,1210 Erie St E,2022-05-21,42.3152062,-83.016814,N9A3Z5,N9A,Other/Independent
42.3161722-83.0304733Other/Independent,Neighborhood Drug Store,Windsor,Ontario,Yes,439 Wyandotte St E,2022-06-29,42.3161722,-83.0304733,N9A3H8,N9A,Other/Independent
42.3162421-82.982706Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3970 Seminole St,2024-06-11,42.3162421,-82.982706,N8Y4T2,N8Y,Shoppers Drug Mart
42.3162631-83.0394787Other/Independent,Downtown Windsor Pharmacy,Windsor,Ontario,Yes,100 Park St W,2021-09-01,42.3162631,-83.0394787,N9A7A5,N9A,Other/Independent
42.3262919-82.9786328Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,4835 Wyandotte St E,2024-06-14,42.3262919,-82.9786328,N8Y1H9,N8Y,Shoppers Drug Mart
42.3339249-82.943351Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,7980 Menard St,2024-06-16,42.3339249,-82.943351,N8S1V9,N8S,Shoppers Drug Mart
42.3962226-82.1773966Shoppers Drug Mart,Shoppers Drug Mart,Chatham,Ontario,Yes,420 Queen St,2023-07-08,42.3962226,-82.1773966,N7M2J2,N7M,Shoppers Drug Mart
42.4147854-82.1991911Rexall,Rexall,Chatham,Ontario,Yes,401 St Clair St,2022-11-29,42.4147854,-82.1991911,N7L3K3,N7L,Rexall
42.5901544-82.1797332Other/Independent,Mactavish Pharmacy,Dresden,Ontario,Yes,480 St George St,2022-05-08,42.5901544,-82.1797332,N0P1M0,N0P,Other/Independent
42.6040658-81.6068249Other/Independent,West Elgin Pharmacy,West Lorne,Ontario,Yes,229 Graham St,2025-01-16,42.6040658,-81.6068249,N0L2P0,N0L,Other/Independent
42.7627982-81.1760418Other/Independent,Health Centre Pharmacy,St. Thomas,Ontario,Yes,230 First Ave,2021-12-26,42.7627982,-81.1760418,N5R4P5,N5R,Other/Independent
42.7635021-81.1753527Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,204 First Ave,2024-03-01,42.7635021,-81.1753527,N5R4P5,N5R,Shoppers Drug Mart
42.7731066-80.9945019Other/Independent,Hills Clinic Pharmacy,Aylmer,Ontario,Yes,420 Talbot St W,2022-01-07,42.7731066,-80.9945019,N5H1K9,N5H,Other/Independent
42.7748897-81.1648766Pharmasave,Pharmasave Elgin Mall,St. Thomas,Ontario,Yes,417 Wellington St Unit 109,2022-09-18,42.7748897,-81.1648766,N5R5J5,N5R,Pharmasave
42.7756458-81.1751632Other/Independent,First Ave Pharmacy,St Thomas,Ontario,Yes,24 First Ave Unit 4,2021-11-05,42.7756458,-81.1751632,N5R4M5,N5R,Other/Independent
42.7787939-81.1968819Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,410 Talbot St,2024-02-29,42.7787939,-81.1968819,N5P1B9,N5P,Shoppers Drug Mart
42.7790377-81.1671523Loblaw,Real Canadian Superstore,St. Thomas,Ontario,Yes,1063 Talbot St Unit 50,2022-10-29,42.7790377,-81.1671523,N5P1G4,N5P,Loblaw
42.7790377-81.1671523Walmart,Wal-Mart Pharmacy,St. Thomas,Ontario,Yes,1063 Talbot St Unit 60,2024-12-05,42.7790377,-81.1671523,N5P1G4,N5P,Walmart
42.7790711-81.1936727Other/Independent,Yurek Pharmacy Ltd.,St. Thomas,Ontario,Yes,519 Talbot St,2025-02-09,42.7790711,-81.1936727,N5P1C3,N5P,Other/Independent
42.7852066-81.1760418Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,107 Edward St,2024-03-02,42.7852066,-81.1760418,N5P1Y8,N5P,Shoppers Drug Mart
42.7854236-80.9821054Other/Independent,NoFrills Pharmacy,Aylmer,Ontario,Yes,657 John St,2022-07-19,42.7854236,-80.9821054,N5H3J1,N5H,Other/Independent
42.8090362-81.5364685Pharmasave,Pharmasave,Muncey,Ontario,Yes,77 Anishnabeg Dr,2022-09-09,42.8090362,-81.5364685,N0L1Y0,N0L,Pharmasave
42.8472358-80.307992Shoppers Drug Mart,Shoppers Drug Mart,Simcoe,Ontario,Yes,470 Norfolk St,2024-02-25,42.8472358,-80.307992,N3Y3P7,N3Y,Shoppers Drug Mart
42.8489584-80.2857024Walmart,Wal-Mart Pharmacy,Simcoe,Ontario,Yes,160 Queensway E,2024-12-02,42.8489584,-80.2857024,N3Y0A8,N3Y,Walmart
42.855743-80.6912372Other/Independent,Tillsonburg Remedy's Rx,Tillsonburg,Ontario,Yes,400 Simcoe St,2024-09-07,42.855743,-80.6912372,N4G4X1,N4G,Other/Independent
42.8610907-80.7289126Other/Independent,Coward Pharmacy,Tillsonburg,Ontario,Yes,165 Broadway,2021-08-16,42.8610907,-80.7289126,N4G3P9,N4G,Other/Independent
42.8615007-80.7279676Walmart,Wal-Mart Pharmacy,Tillsonburg,Ontario,Yes,170 Broadway,2024-12-12,42.8615007,-80.7279676,N4G5A8,N4G,Walmart
42.8620568-80.7280248Shoppers Drug Mart,Shoppers Drug Mart,Tillsonburg,Ontario,Yes,200 Broadway,2024-03-16,42.8620568,-80.7280248,N4G5A7,N4G,Shoppers Drug Mart
42.878194-80.7450938Other/Independent,Tillsonburg Care Pharmacy,Tillsonburg,Ontario,Yes,594 Broadway St Unit 1,2024-09-06,42.878194,-80.7450938,N4G3S8,N4G,Other/Independent
42.8826551-81.0888747Other/Independent,Belmont Pharmacy,Belmont,Ontario,Yes,14091 Belmont Rd,2021-05-16,42.8826551,-81.0888747,N0L1B0,N0L,Other/Independent
42.8831805-79.0522665IDA,Boggio & Edwards Ridgeway IDA,Ridgeway,Ontario,Yes,307 Ridge Rd N,2021-05-22,42.8831805,-79.0522665,L0S1N0,L0S,IDA
42.885297-79.2529779Other/Independent,Boggio Pharmacy Ltd,Port Colborne,Ontario,Yes,200 Catharine St,2021-05-25,42.885297,-79.2529779,L3K4K8,L3K,Other/Independent
42.9034578-79.6174205Other/Independent,Hausers Pharmacy,Dunnville,Ontario,Yes,140 Broad St E,2021-12-21,42.9034578,-79.6174205,N1A1E9,N1A,Other/Independent
42.9051171-78.9256419Rexall,Rexall,Fort Erie,Ontario,Yes,310 Garrison Rd Unit C,2022-12-04,42.9051171,-78.9256419,L2A1M7,L2A,Rexall
42.9052732-78.9619671Other/Independent,Crescent Park Pharmacy,Fort Erie,Ontario,Yes,1264 Garrison Rd Unit 5,2021-08-19,42.9052732,-78.9619671,L2A1P1,L2A,Other/Independent
42.9074762-81.4205796Other/Independent,Delaware Pharmacy,Delaware,Ontario,Yes,11569 Longwoods Rd,2021-08-25,42.9074762,-81.4205796,N0L1E0,N0L,Other/Independent
42.9193074-81.2121683Costco,Costco Pharmacy,London,Ontario,Yes,4313 Wellington Rd S,2021-07-22,42.9193074,-81.2121683,N6E2Z8,N6E,Costco
42.9315865-81.2246887Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1105 Wellington Rd,2023-09-21,42.9315865,-81.2246887,N6E1V4,N6E,Shoppers Drug Mart
42.9315865-81.2246887Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,1105 Wellington Rd S,2024-10-30,42.9315865,-81.2246887,N6E1V4,N6E,Walmart
42.9343125-81.3164749Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,3090 Colonel Talbot Rd,2023-10-01,42.9343125,-81.3164749,N6P0B3,N6P,Shoppers Drug Mart
42.9382398-81.2781525Loblaw,Loblaw Pharmacy,London,Ontario,Yes,3040 Wonderland Rd S,2022-03-17,42.9382398,-81.2781525,N6L1A6,N6L,Loblaw
42.9420215-81.2372115Rexall,Rexall,London,Ontario,Yes,1795 Ernest Ave,2023-01-01,42.9420215,-81.2372115,N6E2V5,N6E,Rexall
42.9423592-81.2293366Loblaw,Loblaw Pharmacy,London,Ontario,Yes,635 Sdale Rd E,2022-03-18,42.9423592,-81.2293366,N6E3W6,N6E,Loblaw
42.945741-81.4311175Other/Independent,Komoka Pharmacy,Komoka,Ontario,Yes,9952 Glendon Dr Unit 3,2022-02-10,42.945741,-81.4311175,N0L1R0,N0L,Other/Independent
42.9477909-81.2923131IDA,Dini IDA Pharmacy,London,Ontario,Yes,785 Wonderland Rd S Unit C2,2021-08-27,42.9477909,-81.2923131,N6K1M6,N6K,IDA
42.9490133-81.6064712Walmart,Wal-Mart Pharmacy,Strathroy,Ontario,Yes,150 Carroll St E,2024-12-08,42.9490133,-81.6064712,N7G3H3,N7G,Walmart
42.9578-81.2599Loblaw,Drug Store Pharmacy,London,Ontario,Yes,7 Baseline Rd E,2021-09-08,42.9578,-81.2599,N6C5Z8,N6C,Loblaw
42.9579407-81.3314324Rexall,Rexall,London,Ontario,Yes,1240 Commissioners Rd W,2023-01-05,42.9579407,-81.3314324,N6K1C7,N6K,Rexall
42.9581982-81.6254925Other/Independent,Bossons Pharmacy,Strathroy,Ontario,Yes,35 Front St W,2021-05-27,42.9581982,-81.6254925,N7G1X5,N7G,Other/Independent
42.9585692-81.330272Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1224 Commissioners Rd W,2023-09-28,42.9585692,-81.330272,N6K1C7,N6K,Shoppers Drug Mart
42.9592678-81.6216919Shoppers Drug Mart,Shoppers Drug Mart,Strathroy,Ontario,Yes,78 Front St E,2024-03-07,42.9592678,-81.6216919,N7G1Y7,N7G,Shoppers Drug Mart
42.9600069-81.2623128Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,467 Wharncliffe Rd S,2023-09-19,42.9600069,-81.2623128,N6J2M8,N6J,Shoppers Drug Mart
42.9668463-81.6313682Loblaw,Loblaw Pharmacy,Strathroy,Ontario,Yes,626 Victoria St,2022-04-10,42.9668463,-81.6313682,N7G3C1,N7G,Loblaw
42.9748873-81.3221488Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1186 Oxford St W,2023-09-23,42.9748873,-81.3221488,N6H2N2,N6H,Shoppers Drug Mart
42.9770895-81.3218479Rexall,Rexall,London,Ontario,Yes,740 Hyde Park Rd,2023-01-04,42.9770895,-81.3218479,N6H5W9,N6H,Rexall
42.9774048-82.3658701Loblaw,Loblaw Pharmacy,Sarnia,Ontario,Yes,600 Murphy Rd,2022-04-06,42.9774048,-82.3658701,N7S2X1,N7S,Loblaw
42.9802153-81.0555419Shoppers Drug Mart,Shoppers Drug Mart,Dorchester,Ontario,Yes,2300 Dorchester Rd,2023-07-13,42.9802153,-81.0555419,N0L1G3,N0L,Shoppers Drug Mart
42.980769-81.2162859Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,510 Hamilton Rd,2023-09-26,42.980769,-81.2162859,N5Z1S4,N5Z,Shoppers Drug Mart
42.9829858-79.2517225Rexall,Rexall,Welland,Ontario,Yes,399 King St,2023-03-28,42.9829858,-79.2517225,L3B3K4,L3B,Rexall
42.9840053-81.2456735Other/Independent,Medpoint Care Pharmacy,London,Ontario,Yes,355 Wellington St Unit 169,2022-05-26,42.9840053,-81.2456735,N6A3N7,N6A,Other/Independent
42.9844495-81.2502828Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,431 Richmond St Unit 100,2023-09-22,42.9844495,-81.2502828,N6A6E2,N6A,Shoppers Drug Mart
42.9861296-82.3867992Shoppers Drug Mart,Shoppers Drug Mart,Sarnia,Ontario,Yes,510 Exmouth St,2024-02-04,42.9861296,-82.3867992,N7T5P3,N7T,Shoppers Drug Mart
42.9875085-81.2928291Costco,Costco Pharmacy,London,Ontario,Yes,693 Wonderland Rd N,2021-07-23,42.9875085,-81.2928291,N6H4L1,N6H,Costco
42.9884697-80.5981275Shoppers Drug Mart,Shoppers Drug Mart,Norwich,Ontario,Yes,19 Stover St N,2023-12-09,42.9884697,-80.5981275,N0J1P0,N0J,Shoppers Drug Mart
42.9896891-81.2966989Rexall,Rexall,London,Ontario,Yes,1375 Beaverbrook Ave,2023-01-02,42.9896891,-81.2966989,N6H0J1,N6H,Rexall
42.9902358-81.275161Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,301 Oxford St W,2023-09-18,42.9902358,-81.275161,N6H1S6,N6H,Shoppers Drug Mart
42.9911469-81.1686344Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,142 Clarke Rd,2023-09-20,42.9911469,-81.1686344,N5W5E1,N5W,Shoppers Drug Mart
42.9990109-81.3292167Other/Independent,TMC Pharmacy,London,Ontario,Yes,990 Gainsborough Rd,2024-09-09,42.9990109,-81.3292167,N6H5L4,N6H,Other/Independent
42.9996199-81.2378412Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,759 Adelaide St N,2023-09-17,42.9996199,-81.2378412,N5Y2L7,N5Y,Shoppers Drug Mart
43.000843-81.1886035Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1657 Dundas St E,2023-09-27,43.000843,-81.1886035,N5W3C6,N5W,Shoppers Drug Mart
43.0015728-81.1862257Guardian,Coulter's Guardian Pharmacy,London,Ontario,Yes,1709 Dundas St,2021-08-13,43.0015728,-81.1862257,N5W3E1,N5W,Guardian
43.0016699-81.2271209Loblaw,Real Canadian Superstore,London,Ontario,Yes,825 Oxford St E,2022-10-21,43.0016699,-81.2271209,N5Y3J8,N5Y,Loblaw
43.0018851-81.1711164Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,330 Clarke Rd,2024-11-01,43.0018851,-81.1711164,N5W6G4,N5W,Walmart
43.0033909-79.2868229Shoppers Drug Mart,Shoppers Drug Mart,Welland,Ontario,Yes,595 S Pelham Rd,2024-05-31,43.0033909,-79.2868229,L3C3C7,L3C,Shoppers Drug Mart
43.003589-81.2277443Other/Independent,Bellwood Pharmacy,London,Ontario,Yes,900 Oxford St E Unit 14B,2021-05-15,43.003589,-81.2277443,N5Y5A1,N5Y,Other/Independent
43.0041391-82.3867568Rexall,Rexall,Sarnia,Ontario,Yes,697 Cathcart Blvd,2023-02-14,43.0041391,-82.3867568,N7V2N6,N7V,Rexall
43.0093978-81.3331287Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,1280 Fanshawe Park Rd W,2024-10-31,43.0093978,-81.3331287,N6G5B1,N6G,Walmart
43.0127361-81.2428052Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1118 Adelaide St N,2023-09-29,43.0127361,-81.2428052,N5Y2N5,N5Y,Shoppers Drug Mart
43.014907-79.249869Shoppers Drug Mart,Shoppers Drug Mart,Welland,Ontario,Yes,800 Niagara St N Unit H2,2024-06-01,43.014907,-79.249869,L3C5Z4,L3C,Shoppers Drug Mart
43.0171463-79.2516344Loblaw,Loblaw Pharmacy,Welland,Ontario,Yes,821 Niagara St N,2022-04-15,43.0171463,-79.2516344,L3C1M4,L3C,Loblaw
43.0186651-81.2133802Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1365 Huron St,2023-09-25,43.0186651,-81.2133802,N5V2E3,N5V,Shoppers Drug Mart
43.0198355-81.3104566Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,603 Fanshawe Park Rd W,2023-09-30,43.0198355,-81.3104566,N6G5B3,N6G,Shoppers Drug Mart
43.0202323-81.3097654Loblaw,Drugstore Pharmacy,London,Ontario,Yes,599 Fanshawe Park Rd W,2021-09-27,43.0202323,-81.3097654,N6G5B3,N6G,Loblaw
43.025599-81.2783801Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1680 Richmond St N Unit L104,2023-09-24,43.025599,-81.2783801,N6G3Y9,N6G,Shoppers Drug Mart
43.02789-82.255101Other/Independent,Bright's Grove Family Pharmacy,Brights Grove,Ontario,Yes,2670 New Lakeshore Rd,2021-06-08,43.02789,-82.255101,N0N1C0,N0N,Other/Independent
43.0316543-81.2223217Rexall,Rexall,London,Ontario,Yes,1505 Highbury Ave N,2022-12-31,43.0316543,-81.2223217,N5Y0A9,N5Y,Rexall
43.0317725-80.8932912Other/Independent,Ingersoll Remedy's Rx,Ingersoll,Ontario,Yes,273 King St W,2022-01-15,43.0317725,-80.8932912,N5C2K9,N5C,Other/Independent
43.0371488-81.2567598Rexall,Rexall,London,Ontario,Yes,1593 Adelaide St N,2023-01-03,43.0371488,-81.2567598,N5X4E8,N5X,Rexall
43.0380604-80.881612Pharmasave,Ingersoll Pharmasave,Ingersoll,Ontario,Yes,19 King St Unit 1,2022-01-14,43.0380604,-80.881612,N5C1G3,N5C,Pharmasave
43.042671-80.886849Shoppers Drug Mart,Shoppers Drug Mart,Ingersoll,Ontario,Yes,120 Thames St N,2023-08-22,43.042671,-80.886849,N5C4B1,N5C,Shoppers Drug Mart
43.0439591-79.2963616IDA,Boggio Fonthill Pharmacy IDA,Fonthill,Ontario,Yes,155 Hwy 20 W,2021-05-24,43.0439591,-79.2963616,L0S1E0,L0S,IDA
43.0455255-79.2826341Shoppers Drug Mart,Shoppers Drug Mart,Fonthill,Ontario,Yes,20 Hwy 20 E,2023-08-01,43.0455255,-79.2826341,L0S1E0,L0S,Shoppers Drug Mart
43.0478584-79.2745484Other/Independent,Family Health Pharmacy Pelham,Fonthill,Ontario,Yes,130 Hwy 20 Unit A6,2021-11-01,43.0478584,-79.2745484,L0S1E6,L0S,Other/Independent
43.0653121-79.1262894Costco,Costco Pharmacy,Niagara Falls,Ontario,Yes,7500 Pin Oak Dr,2021-07-30,43.0653121,-79.1262894,L2H2E9,L2H,Costco
43.0671835-79.1196087Walmart,Wal-Mart Pharmacy,Niagara Falls,Ontario,Yes,7481 Oakwood Dr,2024-11-16,43.0671835,-79.1196087,L2E6S5,L2E,Walmart
43.0779821-81.3851136Other/Independent,Ilderton Medical Pharmacy,Ilderton,Ontario,Yes,13187 Ilderton Rd Unit 1,2022-01-13,43.0779821,-81.3851136,N0M2A0,N0M,Other/Independent
