,location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
157,43.1205529-79.8042467Other/Independent,Binbrook Pharmacy,Binbrook,Ontario,Yes,3011 Hwy 56,2021-05-18,43.1205529,-79.8042467,L0R1C0,L0R,Other/Independent
158,43.1297934-80.7629234Shoppers Drug Mart,Shoppers Drug Mart,Woodstock,Ontario,Yes,333 Dundas St,2024-06-28,43.1297934,-80.7629234,N4S1B5,N4S,Shoppers Drug Mart
160,43.1348419-80.7326153Shoppers Drug Mart,Shoppers Drug Mart,Woodstock,Ontario,Yes,959 Dundas St E,2024-06-27,43.1348419,-80.7326153,N4S1H2,N4S,Shoppers Drug Mart
161,43.1354121-80.7313161Loblaw,Zehrs Pharmacy,Woodstock,Ontario,Yes,969 Dundas St,2025-02-23,43.1354121,-80.7313161,N4S1H2,N4S,Loblaw
166,43.1513632-80.7719089Other/Independent,Lakeview Pharmacy,Woodstock,Ontario,Yes,805 Vansittart Ave Unit 2,2022-02-16,43.1513632,-80.7719089,N4T0L6,N4T,Other/Independent
167,43.1538816-79.2665606Loblaw,Real Canadian Superstore,St. Catharines,Ontario,Yes,411 Louth St,2022-10-28,43.1538816,-79.2665606,L2S4A2,L2S,Loblaw
168,43.154352-79.2692223Walmart,Wal-Mart Pharmacy,St. Catharines,Ontario,Yes,420 Vansickle Rd,2024-12-04,43.154352,-79.2692223,L2R6P9,L2R,Walmart
169,43.1561634-79.2699316Shoppers Drug Mart,Shoppers Drug Mart,St. Catharines,Ontario,Yes,275 Fourth Ave,2024-02-27,43.1561634,-79.2699316,L2R6P9,L2R,Shoppers Drug Mart
170,43.1631825-81.6836802Other/Independent,Mcintyre Pharmacy,Parkhill,Ontario,Yes,238 Main St,2022-05-15,43.1631825,-81.6836802,N0M2K0,N0M,Other/Independent
171,43.1677441-79.47698Shoppers Drug Mart,Shoppers Drug Mart,Beamsville,Ontario,Yes,5005 Serena Dr,2023-05-26,43.1677441,-79.47698,L0R1B4,L0R,Shoppers Drug Mart
172,43.1712173-80.2495657Loblaw,Drugstore Pharmacy,Brantford,Ontario,Yes,410 Fairview Dr,2021-09-20,43.1712173,-80.2495657,N3R7N7,N3R,Loblaw
175,43.1813869-80.2786487Loblaw,Loblaw Pharmacy,Brantford,Ontario,Yes,290 King George Rd,2022-03-03,43.1813869,-80.2786487,N3R5L8,N3R,Loblaw
176,43.185202-79.2077514Other/Independent,HealthMax Pharmacy,St. Catharines,Ontario,Yes,366 Bunting Rd Unit 1,2021-12-30,43.185202,-79.2077514,L2M3Y6,L2M,Other/Independent
178,43.1904028-79.2270519Shoppers Drug Mart,Shoppers Drug Mart,St. Catharines,Ontario,Yes,387 Scott St Unit 1,2024-02-28,43.1904028,-79.2270519,L2M3W2,L2M,Shoppers Drug Mart
179,43.1929152-79.8105008Pharmasave,Paramount Pharmasave,Stoney Creek,Ontario,Yes,1795 Stone Church Rd E Unit 5001,2022-08-09,43.1929152,-79.8105008,L8J0B4,L8J,Pharmasave
180,43.1929824-79.8522568Other/Independent,Rymal Gage Pharmacy,Hamilton,Ontario,Yes,905 Rymal Rd E Unit 153,2023-04-27,43.1929824,-79.8522568,L8W3M2,L8W,Other/Independent
183,43.1966612-79.567614Shoppers Drug Mart,Shoppers Drug Mart,Grimsby,Ontario,Yes,42 St Andrews Ave Unit 1,2023-08-07,43.1966612,-79.567614,L3M3S2,L3M,Shoppers Drug Mart
186,43.2016524-79.8915437Other/Independent,People's Pharmachoice,Hamilton,Ontario,Yes,30 Rymal Rd E Unit 4,2022-08-16,43.2016524,-79.8915437,L9B1T7,L9B,Other/Independent
188,43.2045328-79.5945331Loblaw,Real Canadian Superstore,Grimsby,Ontario,Yes,361 S Service Rd,2022-10-18,43.2045328,-79.5945331,L3M4E8,L3M,Loblaw
189,43.2057906-79.8648585Other/Independent,Stonechurch Pharmacy,Hamilton,Ontario,Yes,25 Redmond Dr Unit 3,2024-08-09,43.2057906,-79.8648585,L8W3K7,L8W,Other/Independent
190,43.2099142-79.9263728Other/Independent,Westmount Pharmacy,Hamilton,Ontario,Yes,723 Rymal Rd W Unit 200,2025-01-22,43.2099142,-79.9263728,L9B2N9,L9B,Other/Independent
191,43.21261-80.388815Sobeys,Sobeys Pharmacy,Paris,Ontario,Yes,307 Grand River St N,2024-07-23,43.21261,-80.388815,N3L2N9,N3L,Sobeys
193,43.2153311-79.9893781Loblaw,Drugstore Pharmacy,Ancaster,Ontario,Yes,54 Wilson St W,2021-09-15,43.2153311,-79.9893781,L9G1N2,L9G,Loblaw
194,43.217688-79.919558Rexall,Rexall,Hamilton,Ontario,Yes,930 Upper Paradise Rd 13,2022-12-16,43.217688,-79.919558,L9B2N1,L9B,Rexall
197,43.220512-79.907289Shoppers Drug Mart,Shoppers Drug Mart,Hamilton,Ontario,Yes,1300 Garth St,2023-08-15,43.220512,-79.907289,L9C4L7,L9C,Shoppers Drug Mart
198,43.222264-79.853132Walmart,Wal-Mart Pharmacy,Hamilton,Ontario,Yes,499 Mohawk Rd E,2024-10-22,43.222264,-79.853132,L8V4L7,L8V,Walmart
201,43.2263173-79.976931Other/Independent,Rastin's Wilson St. Pharmacy,Ancaster,Ontario,Yes,323 Wilson St E,2022-10-17,43.2263173,-79.976931,L9G4A8,L9G,Other/Independent
204,43.2298044-79.8792324Other/Independent,Food Basics Pharmacy,Hamilton,Ontario,Yes,751 Upper James St,2021-11-09,43.2298044,-79.8792324,L9C3A1,L9C,Other/Independent
209,43.2330512-79.9230305Shoppers Drug Mart,Shoppers Drug Mart,Hamilton,Ontario,Yes,801 Mohawk Rd W,2023-08-13,43.2330512,-79.9230305,L9C6C2,L9C,Shoppers Drug Mart
211,43.2339729-79.9106616Rexall,Rexall,Hamilton,Ontario,Yes,640 Mohawk Rd W Unit 21,2022-12-13,43.2339729,-79.9106616,L9C1X6,L9C,Rexall
212,43.2344404-79.8781618Walmart,Wal-Mart Pharmacy,Hamilton,Ontario,Yes,675 Upper James St,2024-10-21,43.2344404,-79.8781618,L9C2Z5,L9C,Walmart
217,43.2414738-79.7536566Walmart,Wal-Mart Pharmacy,Stoney Creek,Ontario,Yes,500 Centennial Parkway N,2024-12-06,43.2414738,-79.7536566,L8E0G2,L8E,Walmart
221,43.2521461-79.8140907Walmart,Wal-Mart Pharmacy,Hamilton,Ontario,Yes,1115 Barton St E,2024-10-20,43.2521461,-79.8140907,L8H2V2,L8H,Walmart
222,43.2531598-79.8587006Other/Independent,First Place Pharmacy,Hamilton,Ontario,Yes,350 King St E Unit 117,2021-11-06,43.2531598,-79.8587006,L8N3Y3,L8N,Other/Independent
224,43.2540434-79.0719516Other/Independent,Simpson's Apothecary,Niagara On The Lake,Ontario,Yes,233 King St Unit 2,2024-07-03,43.2540434,-79.0719516,L0S1J0,L0S,Other/Independent
226,43.257057-79.9422669Shoppers Drug Mart,Shoppers Drug Mart,Dundas,Ontario,Yes,101 Osler Dr Unit 102,2023-07-16,43.257057,-79.9422669,L9H4H4,L9H,Shoppers Drug Mart
229,43.2584184-79.8708274Rexall,Rexall,Hamilton,Ontario,Yes,2 King St W Unit 18,2022-12-11,43.2584184,-79.8708274,L8P1A1,L8P,Rexall
231,43.2614289-79.8895317Loblaw,Loblaw Pharmacy,Hamilton,Ontario,Yes,50 Dundurn St,2022-03-10,43.2614289,-79.8895317,L8P4W3,L8P,Loblaw
234,43.2668435-79.9581774Pharmasave,Pharmasave,Dundas,Ontario,Yes,105 King St W Unit B,2022-09-07,43.2668435,-79.9581774,L9H1V1,L9H,Pharmasave
236,43.3062469-79.8548605Other/Independent,Plains Road West Pharmacy,Burlington,Ontario,Yes,29 Plains Rd W,2022-09-29,43.3062469,-79.8548605,L7T1E8,L7T,Other/Independent
237,43.3102882-81.7510959Shoppers Drug Mart,Shoppers Drug Mart,Grand Bend,Ontario,Yes,65 Main St E,2023-08-05,43.3102882,-81.7510959,N0M1T0,N0M,Shoppers Drug Mart
238,43.31922-79.83685Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,503 Plains Rd E Unit 501,2023-06-29,43.31922,-79.83685,L7T2E2,L7T,Shoppers Drug Mart
240,43.3317334-79.8974921Shoppers Drug Mart,Shoppers Drug Mart,Waterdown,Ontario,Yes,25 Hamilton St N,2024-05-25,43.3317334,-79.8974921,L0R2H6,L0R,Shoppers Drug Mart
241,43.336838-79.904292Other/Independent,Waterdown Pharmacy,Waterdown,Ontario,Yes,145 Hamilton St N Unit 4,2025-01-06,43.336838,-79.904292,L8B0Y7,L8B,Other/Independent
247,43.3485131-79.7935979Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,777 Guelph Line Unit D001,2023-06-26,43.3485131,-79.7935979,L7R3N2,L7R,Shoppers Drug Mart
251,43.3592744-80.2940617Shoppers Drug Mart,Shoppers Drug Mart,Cambridge,Ontario,Yes,115 Dundas St Unit 1,2023-07-05,43.3592744,-80.2940617,N1R5T8,N1R,Shoppers Drug Mart
252,43.3625826-81.4825624Guardian,Exeter Guardian Pharmacy,Exeter,Ontario,Yes,44 Thames Rd E Unit 38,2021-10-26,43.3625826,-81.4825624,N0M1S3,N0M,Guardian
255,43.3667792-79.8224957Loblaw,Loblaw Pharmacy,Burlington,Ontario,Yes,2025 Guelph Line,2022-03-06,43.3667792,-79.8224957,L7P4M8,L7P,Loblaw
257,43.3681307-79.7328835Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,5353 Lakeshore Rd,2023-06-28,43.3681307,-79.7328835,L7L1C8,L7L,Shoppers Drug Mart
265,43.3819193-80.4276536Other/Independent,Doon Mills Pharmacy,Kitchener,Ontario,Yes,260 Doon S Dr Unit 4,2021-08-31,43.3819193,-80.4276536,N2P2L8,N2P,Other/Independent
267,43.390191-80.3459921Other/Independent,Bishop Pharmacy Pharmachoice,Cambridge,Ontario,Yes,1515 King St E Unit 111,2021-05-20,43.390191,-80.3459921,N3H3R6,N3H,Other/Independent
270,43.393728-79.823521Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,3051 Walkers Line,2023-06-30,43.393728,-79.823521,L7M0W3,L7M,Shoppers Drug Mart
271,43.3939692-80.3163143Loblaw,Zehrs Pharmacy,Cambridge,Ontario,Yes,400 Conestoga Blvd,2025-02-15,43.3939692,-80.3163143,N1R7L7,N1R,Loblaw
273,43.3954137-79.7122048Rexall,Rexall,Oakville,Ontario,Yes,2441 Lakeshore Rd W Unit 2,2023-01-23,43.3954137,-79.7122048,L6L1H6,L6L,Rexall
275,43.3969689-80.3442712Other/Independent,Langs Medical Pharmacy,Cambridge,Ontario,Yes,1145 Concession Rd,2022-02-17,43.3969689,-80.3442712,N3H4L5,N3H,Other/Independent
276,43.3972487-79.7970157Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,2080 Appleby Line,2023-07-02,43.3972487,-79.7970157,L7L6M6,L7L,Shoppers Drug Mart
278,43.4042065-80.6696421Other/Independent,Baden Village Pharmacy,Baden,Ontario,Yes,18 Snyders Rd Unit 6A,2021-05-06,43.4042065,-80.6696421,N3A0A7,N3A,Other/Independent
279,43.4051209-79.8074362Other/Independent,Millcroft Pharmacy,Burlington,Ontario,Yes,2500 Appleby Line Unit D10,2022-06-19,43.4051209,-79.8074362,L7L0A2,L7L,Other/Independent
280,43.4055824-80.5012615Other/Independent,Williamsburg Pharmacy,Kitchener,Ontario,Yes,1187 Fischer Hallman Rd Unit 440,2025-02-02,43.4055824,-80.5012615,N2E4H9,N2E,Other/Independent
281,43.4055824-80.5012615Sobeys,Sobeys Pharmacy,Kitchener,Ontario,Yes,1187 Fischer Hallman Rd,2024-07-16,43.4055824,-80.5012615,N2E4H9,N2E,Sobeys
282,43.4061743-79.8116101Walmart,Wal-Mart Pharmacy,Burlington,Ontario,Yes,4515 Dundas St W,2024-10-12,43.4061743,-79.8116101,L7M5B4,L7M,Walmart
285,43.4079555-79.8085515Shoppers Drug Mart,Shoppers Drug Mart,Burlington,Ontario,Yes,3035 Appleby Line,2023-07-01,43.4079555,-79.8085515,L7M0V7,L7M,Shoppers Drug Mart
288,43.4136656-80.4722297Other/Independent,Country Hills Pharmacy,Kitchener,Ontario,Yes,153 Country Hill Dr Unit 5,2021-08-14,43.4136656,-80.4722297,N2E2G7,N2E,Other/Independent
290,43.4175128-80.3090465Other/Independent,Hespeler Pharmacy,Cambridge,Ontario,Yes,100 Jamieson Parkway Unit 13,2022-01-03,43.4175128,-80.3090465,N3C4B3,N3C,Other/Independent
291,43.419017-80.469675Other/Independent,Cook's Pharmacy,Kitchener,Ontario,Yes,1450 Block Line Rd Unit 201,2021-07-05,43.419017,-80.469675,N2C0A5,N2C,Other/Independent
297,43.4266049-80.4386855Walmart,Wal-Mart Pharmacy,Kitchener,Ontario,Yes,2960 Kingsway Dr,2024-10-28,43.4266049,-80.4386855,N2C1X1,N2C,Walmart
300,43.4342044-80.5166363Shoppers Drug Mart,Shoppers Drug Mart,Kitchener,Ontario,Yes,563 Highland Rd W,2023-09-09,43.4342044,-80.5166363,N2M5K2,N2M,Shoppers Drug Mart
303,43.4380766-79.677055Loblaw,The Drug Store Pharmacy,Oakville,Ontario,Yes,173 Lakeshore Rd W,2024-08-26,43.4380766,-79.677055,L6K1E7,L6K,Loblaw
305,43.438223-80.4597257Other/Independent,Rockway Pharmacy,Kitchener,Ontario,Yes,815 Weber St E Unit 5,2023-04-19,43.438223,-80.4597257,N2H1H5,N2H,Other/Independent
307,43.4425165-80.4149604Other/Independent,Fairway Lackner Pharmacy,Kitchener,Ontario,Yes,900 Fairway Crescent Unit 5,2021-10-28,43.4425165,-80.4149604,N2A0A1,N2A,Other/Independent
309,43.4453954-80.579634Costco,Costco Pharmacy,Waterloo,Ontario,Yes,930 Erb St W RR 3,2021-08-08,43.4453954,-80.579634,N2J3Z4,N2J,Costco
311,43.4465199-79.6888853Shoppers Drug Mart,Shoppers Drug Mart,Oakville,Ontario,Yes,550 Kerr St,2023-12-16,43.4465199,-79.6888853,L6K3C7,L6K,Shoppers Drug Mart
